time_captured,05_unb_raw_accX
1970-01-01 00:00:00.000000259,-286.578
1970-01-01 00:00:00.000000260,-1085.068
1970-01-01 00:00:00.000000261,-909.266
1970-01-01 00:00:00.000000262,-1002.84
1970-01-01 00:00:00.000000263,-514.84
1970-01-01 00:00:00.000000264,406.87
1970-01-01 00:00:00.000000265,1011.868
1970-01-01 00:00:00.000000266,1185.84
1970-01-01 00:00:00.000000267,-340.014
1970-01-01 00:00:00.000000268,-727.12
1970-01-01 00:00:00.000000269,-813.374
1970-01-01 00:00:00.000000270,-56.73
1970-01-01 00:00:00.000000271,79.178
1970-01-01 00:00:00.000000272,249.002
1970-01-01 00:00:00.000000273,581.452
1970-01-01 00:00:00.000000274,1099.342
1970-01-01 00:00:00.000000275,1262.456
1970-01-01 00:00:00.000000276,550.098
1970-01-01 00:00:00.000000277,-629.398
1970-01-01 00:00:00.000000278,-864.126
1970-01-01 00:00:00.000000279,-890.844
1970-01-01 00:00:00.000000280,-821.792
1970-01-01 00:00:00.000000281,-408.09
1970-01-01 00:00:00.000000282,737.734
1970-01-01 00:00:00.000000283,1308.816
1970-01-01 00:00:00.000000284,250.222
1970-01-01 00:00:00.000000285,-428.464
1970-01-01 00:00:00.000000286,-847.534
1970-01-01 00:00:00.000000287,-419.07
1970-01-01 00:00:00.000000288,-46.604
1970-01-01 00:00:00.000000289,232.166
1970-01-01 00:00:00.000000290,203.984
1970-01-01 00:00:00.000000291,509.35
1970-01-01 00:00:00.000000292,1510.36
1970-01-01 00:00:00.000000293,1352.98
1970-01-01 00:00:00.000000294,-101.87
1970-01-01 00:00:00.000000295,-1147.898
1970-01-01 00:00:00.000000296,-1198.284
1970-01-01 00:00:00.000000297,-777.506
1970-01-01 00:00:00.000000298,-649.894
1970-01-01 00:00:00.000000299,-244.122
1970-01-01 00:00:00.000000300,690.398
1970-01-01 00:00:00.000000301,1254.282
1970-01-01 00:00:00.000000302,-20.984
1970-01-01 00:00:00.000000303,-611.952
1970-01-01 00:00:00.000000304,-824.11
1970-01-01 00:00:00.000000305,-141.764
1970-01-01 00:00:00.000000306,247.904
1970-01-01 00:00:00.000000307,169.092
1970-01-01 00:00:00.000000308,348.554
1970-01-01 00:00:00.000000309,1026.752
1970-01-01 00:00:00.000000310,1374.452
1970-01-01 00:00:00.000000311,-476.654
