time_captured,GE_Open
2006-11-08,35.45
2006-11-09,35.51
2006-11-10,35.3
2006-11-13,35.28
2006-11-14,35.46
2006-11-15,35.51
2006-11-16,35.87
2006-11-17,35.85
2006-11-20,36.17
2006-11-21,35.98
2006-11-22,35.8
2006-11-24,35.85
2006-11-27,35.57
2006-11-28,35.3
2006-11-29,35.25
2006-11-30,35.41
2006-12-01,35.38
2006-12-04,35.43
2006-12-05,35.41
2006-12-06,35.35
2006-12-07,35.16
2006-12-08,35.15
2006-12-11,35.24
2006-12-12,35.21
2006-12-13,35.85
2006-12-14,35.49
2006-12-15,36.28
2006-12-18,37.45
2006-12-19,37.75
2006-12-20,38.13
2006-12-21,38.05
2006-12-22,37.89
2006-12-26,37.6
2006-12-27,37.79
2006-12-28,37.76
2006-12-29,37.48
2007-01-03,37.41
2007-01-04,37.97
2007-01-05,37.57
2007-01-08,37.45
2007-01-09,37.78
2007-01-10,37.38
2007-01-11,37.5
2007-01-12,37.84
2007-01-16,38.0
2007-01-17,38.18
2007-01-18,38.01
2007-01-19,37.15
2007-01-22,37.13
2007-01-23,36.68
2007-01-24,36.7
2007-01-25,36.65
2007-01-26,36.45
2007-01-29,36.07
2007-01-30,36.2
2007-01-31,36.0
2007-02-01,36.18
2007-02-02,36.26
2007-02-05,36.27
2007-02-06,36.4
2007-02-07,36.32
2007-02-08,36.06
2007-02-09,35.71
2007-02-12,35.53
2007-02-13,35.64
2007-02-14,35.93
2007-02-15,36.47
2007-02-16,36.07
2007-02-20,35.86
2007-02-21,35.99
2007-02-22,35.91
2007-02-23,35.4
2007-02-26,35.4
2007-02-27,35.34
2007-02-28,34.8
2007-03-01,34.61
2007-03-02,34.93
2007-03-05,34.74
2007-03-06,34.73
2007-03-07,34.72
2007-03-08,34.6
2007-03-09,34.57
2007-03-12,34.35
2007-03-13,34.27
2007-03-14,34.44
2007-03-15,34.2
2007-03-16,34.52
2007-03-19,34.5
2007-03-20,34.63
2007-03-21,34.77
2007-03-22,35.44
2007-03-23,35.79
2007-03-26,35.85
2007-03-27,35.8
2007-03-28,35.7
2007-03-29,35.6
2007-03-30,35.56
2007-04-02,35.36
2007-04-03,35.43
2007-04-04,35.37
2007-04-05,35.13
2007-04-09,35.1
2007-04-10,34.8
2007-04-11,35.0
2007-04-12,35.16
2007-04-13,35.5
2007-04-16,35.5
2007-04-17,35.37
2007-04-18,35.16
2007-04-19,35.05
2007-04-20,35.23
2007-04-23,35.13
2007-04-24,34.8
2007-04-25,34.98
2007-04-26,35.46
2007-04-27,36.1
2007-04-30,36.9
2007-05-01,36.82
2007-05-02,37.12
2007-05-03,37.34
2007-05-04,37.44
2007-05-07,37.23
2007-05-08,37.09
2007-05-09,36.92
2007-05-10,37.1
2007-05-11,36.8
2007-05-14,37.0
2007-05-15,36.67
2007-05-16,36.64
2007-05-17,36.75
2007-05-18,36.53
2007-05-21,37.31
2007-05-22,37.22
2007-05-23,37.5
2007-05-24,37.74
2007-05-25,37.43
2007-05-29,37.61
2007-05-30,37.19
2007-05-31,37.78
2007-06-01,37.68
2007-06-04,37.79
2007-06-05,37.81
2007-06-06,37.4
2007-06-07,37.21
2007-06-08,36.8
2007-06-11,37.07
2007-06-12,37.35
2007-06-13,37.25
2007-06-14,37.6
2007-06-15,37.96
2007-06-18,38.18
2007-06-19,37.95
2007-06-20,39.29
2007-06-21,38.87
2007-06-22,38.71
2007-06-25,38.33
2007-06-26,38.21
2007-06-27,37.82
2007-06-28,38.02
2007-06-29,38.12
2007-07-02,38.42
2007-07-03,38.26
2007-07-05,38.58
2007-07-06,38.48
2007-07-09,38.56
2007-07-10,38.45
2007-07-11,37.8
2007-07-12,38.44
2007-07-13,39.63
2007-07-16,39.6
2007-07-17,40.01
2007-07-18,40.32
2007-07-19,40.58
2007-07-20,40.44
2007-07-23,40.3
2007-07-24,40.63
2007-07-25,40.57
2007-07-26,40.01
2007-07-27,39.61
2007-07-30,39.03
2007-07-31,39.54
2007-08-01,38.6
2007-08-02,39.0
2007-08-03,38.85
2007-08-06,38.23
2007-08-07,38.89
2007-08-08,39.5
2007-08-09,39.67
2007-08-10,38.5
2007-08-13,38.57
2007-08-14,38.17
2007-08-15,37.58
2007-08-16,36.51
2007-08-17,38.11
2007-08-20,38.49
2007-08-21,38.03
2007-08-22,38.65
2007-08-23,39.14
2007-08-24,39.04
2007-08-27,39.26
2007-08-28,38.83
2007-08-29,38.24
2007-08-30,38.32
2007-08-31,38.8
2007-09-04,38.84
2007-09-05,38.77
2007-09-06,38.81
2007-09-07,38.91
2007-09-10,38.8
2007-09-11,39.2
2007-09-12,39.39
2007-09-13,40.01
2007-09-14,40.51
2007-09-17,40.08
2007-09-18,40.36
2007-09-19,41.68
2007-09-20,41.5
2007-09-21,41.61
2007-09-24,41.25
2007-09-25,40.75
2007-09-26,41.18
2007-09-27,41.4
2007-09-28,41.26
2007-10-01,41.28
2007-10-02,42.03
2007-10-03,41.95
2007-10-04,41.71
2007-10-05,41.93
2007-10-08,41.74
2007-10-09,41.51
2007-10-10,41.92
2007-10-11,41.95
2007-10-12,40.86
2007-10-15,40.9
2007-10-16,40.78
2007-10-17,40.93
2007-10-18,40.93
2007-10-19,40.53
2007-10-22,39.84
2007-10-23,40.26
2007-10-24,40.42
2007-10-25,40.38
2007-10-26,40.35
2007-10-29,40.47
2007-10-30,40.49
2007-10-31,40.62
2007-11-01,40.89
2007-11-02,40.5
2007-11-05,39.95
2007-11-06,40.2
2007-11-07,39.9
2007-11-08,39.2
2007-11-09,38.52
2007-11-12,38.24
2007-11-13,38.5
2007-11-14,39.9
2007-11-15,38.93
2007-11-16,38.5
2007-11-19,38.48
2007-11-20,38.15
2007-11-21,37.65
2007-11-23,37.37
2007-11-26,37.75
2007-11-27,36.85
2007-11-28,37.69
2007-11-29,38.29
2007-11-30,38.67
2007-12-03,38.2
2007-12-04,36.72
2007-12-05,36.6
2007-12-06,36.7
2007-12-07,37.25
2007-12-10,37.26
2007-12-11,37.4
2007-12-12,37.95
2007-12-13,37.0
2007-12-14,37.48
2007-12-17,36.82
2007-12-18,36.68
2007-12-19,36.78
2007-12-20,36.6
2007-12-21,36.71
2007-12-24,37.4
2007-12-26,37.41
2007-12-27,37.4
2007-12-28,37.35
2007-12-31,37.3
2008-01-02,37.1
2008-01-03,36.81
2008-01-04,36.54
2008-01-07,36.21
2008-01-08,36.43
2008-01-09,35.48
2008-01-10,35.6
2008-01-11,35.56
2008-01-14,35.76
2008-01-15,35.26
2008-01-16,34.33
2008-01-17,34.74
2008-01-18,33.92
2008-01-22,33.2
2008-01-23,33.75
2008-01-24,34.65
2008-01-25,34.95
2008-01-28,34.31
2008-01-29,34.97
2008-01-30,34.68
2008-01-31,34.61
2008-02-01,35.59
2008-02-04,36.17
2008-02-05,35.09
2008-02-06,34.46
2008-02-07,34.08
2008-02-08,34.11
2008-02-11,33.94
2008-02-12,34.25
2008-02-13,34.65
2008-02-14,34.99
2008-02-15,34.36
2008-02-19,34.56
2008-02-20,34.05
2008-02-21,34.36
2008-02-22,33.71
2008-02-25,33.55
2008-02-26,34.07
2008-02-27,33.8
2008-02-28,33.98
2008-02-29,33.74
2008-03-03,33.34
2008-03-04,33.17
2008-03-05,33.73
2008-03-06,33.54
2008-03-07,32.67
2008-03-10,32.44
2008-03-11,32.41
2008-03-12,33.45
2008-03-13,33.51
2008-03-14,34.52
2008-03-17,32.99
2008-03-18,34.91
2008-03-19,36.2
2008-03-20,36.54
2008-03-24,37.63
2008-03-25,37.25
2008-03-26,37.02
2008-03-27,37.26
2008-03-28,36.87
2008-03-31,36.58
2008-04-01,37.36
2008-04-02,38.26
2008-04-03,37.74
2008-04-04,37.82
2008-04-07,37.87
2008-04-08,36.9
2008-04-09,36.9
2008-04-10,36.4
2008-04-11,32.5
2008-04-14,32.38
2008-04-15,32.04
2008-04-16,32.34
2008-04-17,32.11
2008-04-18,32.42
2008-04-21,32.7
2008-04-22,32.5
2008-04-23,32.49
2008-04-24,32.44
2008-04-25,33.01
2008-04-28,33.47
2008-04-29,33.19
2008-04-30,32.85
2008-05-01,32.8
2008-05-02,33.41
2008-05-05,33.36
2008-05-06,33.07
2008-05-07,33.01
2008-05-08,32.72
2008-05-09,32.46
2008-05-12,32.33
2008-05-13,32.53
2008-05-14,32.42
2008-05-15,32.66
2008-05-16,32.45
2008-05-19,32.13
2008-05-20,32.25
2008-05-21,31.77
2008-05-22,31.01
2008-05-23,30.96
2008-05-27,30.42
2008-05-28,30.57
2008-05-29,30.45
2008-05-30,30.79
2008-06-02,30.75
2008-06-03,30.56
2008-06-04,30.46
2008-06-05,30.56
2008-06-06,30.86
2008-06-09,30.23
2008-06-10,29.93
2008-06-11,30.38
2008-06-12,29.97
2008-06-13,29.36
2008-06-16,28.69
2008-06-17,29.18
2008-06-18,28.7
2008-06-19,28.17
2008-06-20,27.86
2008-06-23,27.59
2008-06-24,27.37
2008-06-25,27.74
2008-06-26,27.59
2008-06-27,26.81
2008-06-30,26.35
2008-07-01,26.42
2008-07-02,27.2
2008-07-03,26.75
2008-07-07,27.1
2008-07-08,27.18
2008-07-09,28.14
2008-07-10,27.55
2008-07-11,27.6
2008-07-14,28.13
2008-07-15,27.05
2008-07-16,26.8
2008-07-17,28.1
2008-07-18,28.12
2008-07-21,28.12
2008-07-22,27.82
2008-07-23,28.78
2008-07-24,29.74
2008-07-25,28.95
2008-07-28,28.7
2008-07-29,27.78
2008-07-30,28.73
2008-07-31,28.7
2008-08-01,28.43
2008-08-04,28.14
2008-08-05,28.38
2008-08-06,29.17
2008-08-07,28.77
2008-08-08,28.58
2008-08-11,29.62
2008-08-12,29.92
2008-08-13,29.58
2008-08-14,29.12
2008-08-15,29.66
2008-08-18,29.97
2008-08-19,29.2
2008-08-20,28.74
2008-08-21,28.3
2008-08-22,28.91
2008-08-25,29.04
2008-08-26,28.49
2008-08-27,28.27
2008-08-28,28.35
2008-08-29,28.78
2008-09-02,28.54
2008-09-03,28.45
2008-09-04,28.39
2008-09-05,27.49
2008-09-08,28.88
2008-09-09,28.96
2008-09-10,28.37
2008-09-11,27.7
2008-09-12,27.73
2008-09-15,24.82
2008-09-16,22.17
2008-09-17,23.99
2008-09-18,23.74
2008-09-19,29.12
2008-09-22,27.38
2008-09-23,25.36
2008-09-24,25.08
2008-09-25,23.66
2008-09-26,24.75
2008-09-29,25.12
2008-09-30,23.87
2008-10-01,24.0
2008-10-02,22.83
2008-10-03,22.7
2008-10-06,20.54
2008-10-07,22.28
2008-10-08,20.02
2008-10-09,21.4
2008-10-10,18.7
2008-10-13,22.27
2008-10-14,22.31
2008-10-15,20.46
2008-10-16,19.51
2008-10-17,19.35
2008-10-20,20.26
2008-10-21,19.93
2008-10-22,20.04
2008-10-23,19.24
2008-10-24,17.46
2008-10-27,18.04
2008-10-28,18.37
2008-10-29,19.54
2008-10-30,19.79
2008-10-31,19.27
2008-11-03,19.78
2008-11-04,19.83
2008-11-05,20.69
2008-11-06,19.75
2008-11-07,18.62
2008-11-10,19.34
2008-11-11,18.17
2008-11-12,17.48
2008-11-13,16.41
2008-11-14,16.36
2008-11-17,15.95
2008-11-18,16.03
2008-11-19,15.87
2008-11-20,14.1
2008-11-21,13.56
2008-11-24,14.63
2008-11-25,15.94
2008-11-26,15.44
2008-11-28,16.37
2008-12-01,16.36
2008-12-02,16.14
2008-12-03,17.07
2008-12-04,17.83
2008-12-05,17.38
2008-12-08,18.42
2008-12-09,18.28
2008-12-10,18.03
2008-12-11,17.4
2008-12-12,16.6
2008-12-15,16.95
2008-12-16,17.13
2008-12-17,17.62
2008-12-18,17.54
2008-12-19,16.16
2008-12-22,16.56
2008-12-23,16.27
2008-12-24,16.1
2008-12-26,16.05
2008-12-29,15.95
2008-12-30,15.8
2008-12-31,15.82
2009-01-02,16.51
2009-01-05,17.17
2009-01-06,16.86
2009-01-07,16.67
2009-01-08,16.05
2009-01-09,16.21
2009-01-12,15.96
2009-01-13,15.65
2009-01-14,14.59
2009-01-15,14.08
2009-01-16,14.2
2009-01-20,13.95
2009-01-21,11.88
2009-01-22,12.39
2009-01-23,12.69
2009-01-26,12.48
2009-01-27,12.73
2009-01-28,13.31
2009-01-29,13.33
2009-01-30,12.72
2009-02-02,12.03
2009-02-03,11.88
2009-02-04,11.56
2009-02-05,11.09
2009-02-06,10.9
2009-02-09,11.34
2009-02-10,12.54
2009-02-11,11.95
2009-02-12,11.75
2009-02-13,11.55
2009-02-17,11.2
2009-02-18,11.07
2009-02-19,10.94
2009-02-20,9.71
2009-02-23,9.58
2009-02-24,8.95
2009-02-25,9.09
2009-02-26,9.28
2009-02-27,8.6
2009-03-02,8.29
2009-03-03,7.84
2009-03-04,7.24
2009-03-05,6.75
2009-03-06,7.0
2009-03-09,6.95
2009-03-10,8.01
2009-03-11,9.23
2009-03-12,8.73
2009-03-13,9.9
2009-03-16,9.97
2009-03-17,9.85
2009-03-18,9.93
2009-03-19,11.2
2009-03-20,10.05
2009-03-23,10.28
2009-03-24,10.22
2009-03-25,10.74
2009-03-26,10.85
2009-03-27,10.77
2009-03-30,10.33
2009-03-31,10.33
2009-04-01,9.91
2009-04-02,10.75
2009-04-03,10.81
2009-04-06,10.85
2009-04-07,10.9
2009-04-08,10.73
2009-04-09,11.24
2009-04-13,11.44
2009-04-14,12.49
2009-04-15,11.49
2009-04-16,12.06
2009-04-17,12.4
2009-04-20,12.0
2009-04-21,10.99
2009-04-22,11.66
2009-04-23,12.16
2009-04-24,12.03
2009-04-27,12.13
2009-04-28,11.95
2009-04-29,12.17
2009-04-30,12.53
2009-05-01,12.74
2009-05-04,12.96
2009-05-05,13.25
2009-05-06,13.47
2009-05-07,14.3
2009-05-08,14.38
2009-05-11,14.38
2009-05-12,14.24
2009-05-13,13.21
2009-05-14,12.77
2009-05-15,13.07
2009-05-18,13.11
2009-05-19,13.64
2009-05-20,14.03
2009-05-21,13.51
2009-05-22,13.36
2009-05-26,13.02
2009-05-27,13.47
2009-05-28,13.23
2009-05-29,13.33
2009-06-01,13.82
2009-06-02,13.7
2009-06-03,13.65
2009-06-04,13.62
2009-06-05,13.96
2009-06-08,13.5
2009-06-09,13.56
2009-06-10,13.72
2009-06-11,13.43
2009-06-12,13.45
2009-06-15,13.36
2009-06-16,13.18
2009-06-17,12.71
2009-06-18,12.19
2009-06-19,12.13
2009-06-22,11.86
2009-06-23,11.53
2009-06-24,11.77
2009-06-25,11.62
2009-06-26,11.9
2009-06-29,11.82
2009-06-30,11.84
2009-07-01,11.76
2009-07-02,11.64
2009-07-06,11.37
2009-07-07,11.47
2009-07-08,10.99
2009-07-09,10.94
2009-07-10,10.74
2009-07-13,10.88
2009-07-14,11.57
2009-07-15,11.92
2009-07-16,12.07
2009-07-17,11.91
2009-07-20,11.71
2009-07-21,11.78
2009-07-22,11.36
2009-07-23,11.65
2009-07-24,11.89
2009-07-27,12.17
2009-07-28,12.25
2009-07-29,12.44
2009-07-30,13.01
2009-07-31,13.24
2009-08-03,13.65
2009-08-04,13.66
2009-08-05,13.85
2009-08-06,14.19
2009-08-07,14.53
2009-08-10,14.62
2009-08-11,14.44
2009-08-12,13.8
2009-08-13,14.38
2009-08-14,14.11
2009-08-17,13.35
2009-08-18,13.53
2009-08-19,13.33
2009-08-20,13.66
2009-08-21,14.16
2009-08-24,14.36
2009-08-25,14.23
2009-08-26,14.24
2009-08-27,14.11
2009-08-28,14.35
2009-08-31,13.94
2009-09-01,13.74
2009-09-02,13.21
2009-09-03,13.35
2009-09-04,13.48
2009-09-08,14.52
2009-09-09,14.78
2009-09-10,14.92
2009-09-11,14.87
2009-09-14,14.55
2009-09-15,15.49
2009-09-16,16.39
2009-09-17,16.97
2009-09-18,16.88
2009-09-21,16.43
2009-09-22,17.06
2009-09-23,17.17
2009-09-24,17.06
2009-09-25,16.35
2009-09-28,16.47
2009-09-29,16.91
2009-09-30,16.83
2009-10-01,16.31
2009-10-02,15.45
2009-10-05,15.59
2009-10-06,16.14
2009-10-07,16.03
2009-10-08,16.46
2009-10-09,16.2
2009-10-12,16.36
2009-10-13,16.32
2009-10-14,16.77
2009-10-15,16.79
2009-10-16,16.35
2009-10-19,16.05
2009-10-20,15.8
2009-10-21,15.51
2009-10-22,15.5
2009-10-23,15.37
2009-10-26,15.24
2009-10-27,15.07
2009-10-28,14.77
2009-10-29,14.54
2009-10-30,14.93
2009-11-02,14.3
2009-11-03,14.2
2009-11-04,14.44
2009-11-05,14.28
2009-11-06,14.98
2009-11-09,15.7
2009-11-10,15.95
2009-11-11,15.94
2009-11-12,15.8
2009-11-13,15.76
2009-11-16,15.8
2009-11-17,15.96
2009-11-18,16.01
2009-11-19,15.92
2009-11-20,15.66
2009-11-23,15.83
2009-11-24,16.08
2009-11-25,16.24
2009-11-27,15.49
2009-11-30,15.82
2009-12-01,16.27
2009-12-02,16.12
2009-12-03,16.12
2009-12-04,16.34
2009-12-07,16.07
2009-12-08,15.9
2009-12-09,15.73
2009-12-10,15.81
2009-12-11,15.72
2009-12-14,15.98
2009-12-15,15.83
2009-12-16,15.8
2009-12-17,15.59
2009-12-18,15.91
2009-12-21,15.69
2009-12-22,15.57
2009-12-23,15.46
2009-12-24,15.38
2009-12-28,15.38
2009-12-29,15.36
2009-12-30,15.3
2009-12-31,15.27
2010-01-04,15.22
2010-01-05,15.46
2010-01-06,15.53
2010-01-07,15.48
2010-01-08,16.31
2010-01-11,16.83
2010-01-12,16.58
2010-01-13,16.76
2010-01-14,16.79
2010-01-15,16.68
2010-01-19,16.35
2010-01-20,16.5
2010-01-21,16.47
2010-01-22,16.55
2010-01-25,16.46
2010-01-26,16.33
2010-01-27,16.29
2010-01-28,16.43
2010-01-29,16.22
2010-02-01,16.2
2010-02-02,16.27
2010-02-03,16.79
2010-02-04,16.48
2010-02-05,16.04
2010-02-08,15.83
2010-02-09,15.76
2010-02-10,15.57
2010-02-11,15.62
2010-02-12,15.59
2010-02-16,15.7
2010-02-17,16.19
2010-02-18,16.1
2010-02-19,16.14
2010-02-22,16.23
2010-02-23,16.19
2010-02-24,15.98
2010-02-25,15.76
2010-02-26,16.0
2010-03-01,16.1
2010-03-02,15.92
2010-03-03,15.98
2010-03-04,16.07
2010-03-05,16.19
2010-03-08,16.37
2010-03-09,16.3
2010-03-10,16.49
2010-03-11,16.49
2010-03-12,16.58
2010-03-15,17.02
2010-03-16,17.49
2010-03-17,18.32
2010-03-18,18.09
2010-03-19,18.32
2010-03-22,17.86
2010-03-23,18.16
2010-03-24,18.36
2010-03-25,18.71
2010-03-26,18.32
2010-03-29,18.52
2010-03-30,18.47
2010-03-31,18.21
2010-04-01,18.27
2010-04-05,18.42
2010-04-06,18.45
2010-04-07,18.57
2010-04-08,18.39
2010-04-09,18.59
2010-04-12,18.56
2010-04-13,18.75
2010-04-14,19.21
2010-04-15,19.45
2010-04-16,19.44
2010-04-19,18.64
2010-04-20,19.04
2010-04-21,19.1
2010-04-22,18.91
2010-04-23,18.86
2010-04-26,19.19
2010-04-27,19.24
2010-04-28,18.67
2010-04-29,19.04
2010-04-30,19.46
2010-05-03,18.97
2010-05-04,19.06
2010-05-05,18.22
2010-05-06,18.0
2010-05-07,17.51
2010-05-10,18.04
2010-05-11,17.85
2010-05-12,18.09
2010-05-13,18.41
2010-05-14,17.97
2010-05-17,17.61
2010-05-18,17.72
2010-05-19,17.07
2010-05-20,16.81
2010-05-21,15.7
2010-05-24,16.32
2010-05-25,15.5
2010-05-26,16.34
2010-05-27,16.42
2010-05-28,16.66
2010-06-01,16.24
2010-06-02,16.16
2010-06-03,16.41
2010-06-04,16.08
2010-06-07,15.73
2010-06-08,15.46
2010-06-09,15.58
2010-06-10,15.59
2010-06-11,15.53
2010-06-14,15.77
2010-06-15,15.52
2010-06-16,15.71
2010-06-17,15.87
2010-06-18,16.0
2010-06-21,16.21
2010-06-22,16.09
2010-06-23,15.76
2010-06-24,15.38
2010-06-25,15.12
2010-06-28,14.96
2010-06-29,14.75
2010-06-30,14.47
2010-07-01,14.33
2010-07-02,14.16
2010-07-06,14.11
2010-07-07,13.99
2010-07-08,14.87
2010-07-09,14.95
2010-07-12,14.9
2010-07-13,15.22
2010-07-14,15.26
2010-07-15,15.16
2010-07-16,15.0
2010-07-19,14.64
2010-07-20,14.36
2010-07-21,15.11
2010-07-22,15.08
2010-07-23,15.21
2010-07-26,15.91
2010-07-27,16.3
2010-07-28,16.1
2010-07-29,16.15
2010-07-30,15.92
2010-08-02,16.32
2010-08-03,16.39
2010-08-04,16.41
2010-08-05,16.35
2010-08-06,16.32
2010-08-09,16.42
2010-08-10,16.19
2010-08-11,15.98
2010-08-12,15.42
2010-08-13,15.34
2010-08-16,15.29
2010-08-17,15.66
2010-08-18,15.58
2010-08-19,15.56
2010-08-20,15.18
2010-08-23,15.22
2010-08-24,14.74
2010-08-25,14.46
2010-08-26,14.66
2010-08-27,14.61
2010-08-30,14.67
2010-08-31,14.36
2010-09-01,14.73
2010-09-02,15.1
2010-09-03,15.39
2010-09-07,15.28
2010-09-08,15.39
2010-09-09,15.91
2010-09-10,15.96
2010-09-13,16.19
2010-09-14,16.18
2010-09-15,16.07
2010-09-16,16.18
2010-09-17,16.31
2010-09-20,16.27
2010-09-21,16.52
2010-09-22,16.51
2010-09-23,16.27
2010-09-24,16.33
2010-09-27,16.65
2010-09-28,16.43
2010-09-29,16.34
2010-09-30,16.46
2010-10-01,16.4
2010-10-04,16.31
2010-10-05,16.25
2010-10-06,16.49
2010-10-07,17.0
2010-10-08,17.13
2010-10-11,17.24
2010-10-12,16.97
2010-10-13,17.3
2010-10-14,17.39
2010-10-15,16.78
2010-10-18,16.31
2010-10-19,16.1
2010-10-20,16.19
2010-10-21,16.09
2010-10-22,16.11
2010-10-25,16.26
2010-10-26,16.06
2010-10-27,16.06
2010-10-28,16.22
2010-10-29,16.07
2010-11-01,16.09
2010-11-02,16.0
2010-11-03,15.96
2010-11-04,16.2
2010-11-05,16.52
2010-11-08,16.62
2010-11-09,16.82
2010-11-10,16.64
2010-11-11,16.44
2010-11-12,16.25
2010-11-15,16.23
2010-11-16,16.14
2010-11-17,15.87
2010-11-18,16.0
2010-11-19,16.06
2010-11-22,16.14
2010-11-23,15.83
2010-11-24,15.81
2010-11-26,15.78
2010-11-29,15.73
2010-11-30,15.75
2010-12-01,16.03
2010-12-02,16.29
2010-12-03,16.49
2010-12-06,16.7
2010-12-07,16.92
2010-12-08,17.01
2010-12-09,17.21
2010-12-10,17.22
2010-12-13,17.89
2010-12-14,17.66
2010-12-15,17.64
2010-12-16,17.53
2010-12-17,17.73
2010-12-20,17.77
2010-12-21,17.78
2010-12-22,17.83
2010-12-23,18.0
2010-12-27,17.92
2010-12-28,18.21
2010-12-29,18.37
2010-12-30,18.28
2010-12-31,18.15
2011-01-03,18.49
2011-01-04,18.34
2011-01-05,18.52
2011-01-06,18.69
2011-01-07,18.58
2011-01-10,18.61
2011-01-11,18.7
2011-01-12,18.57
2011-01-13,18.73
2011-01-14,18.61
2011-01-18,18.98
