time_captured,UTX_High
2008-06-06,69.43
2008-06-09,67.74
2008-06-10,67.61
2008-06-11,67.2
2008-06-12,69.0
2008-06-13,69.14
2008-06-16,69.23
2008-06-17,69.37
2008-06-18,68.69
2008-06-19,69.0
2008-06-20,68.94
2008-06-23,69.23
2008-06-24,69.0
2008-06-25,68.28
2008-06-26,65.68
2008-06-27,62.75
2008-06-30,62.15
2008-07-01,61.34
2008-07-02,61.21
2008-07-03,61.09
2008-07-07,62.06
2008-07-08,62.46
2008-07-09,62.18
2008-07-10,62.4
2008-07-11,61.8
2008-07-14,61.56
2008-07-15,60.84
2008-07-16,61.25
2008-07-17,65.31
2008-07-18,65.0
2008-07-21,64.48
2008-07-22,65.33
2008-07-23,65.96
2008-07-24,65.98
2008-07-25,65.29
2008-07-28,65.48
2008-07-29,65.63
2008-07-30,66.62
2008-07-31,66.05
2008-08-01,64.33
2008-08-04,64.23
2008-08-05,65.6
2008-08-06,66.74
2008-08-07,65.95
2008-08-08,66.95
2008-08-11,67.6
2008-08-12,67.24
2008-08-13,66.56
2008-08-14,67.0
2008-08-15,67.3
2008-08-18,67.11
2008-08-19,65.46
2008-08-20,65.15
2008-08-21,64.68
2008-08-22,66.06
2008-08-25,65.79
2008-08-26,65.13
2008-08-27,65.3
2008-08-28,66.98
2008-08-29,66.89
2008-09-02,67.95
2008-09-03,67.8
2008-09-04,66.99
2008-09-05,65.07
2008-09-08,66.08
2008-09-09,66.0
2008-09-10,64.45
2008-09-11,63.93
2008-09-12,64.9
2008-09-15,64.12
2008-09-16,63.79
2008-09-17,62.58
2008-09-18,62.78
2008-09-19,68.0
2008-09-22,64.6
2008-09-23,62.47
2008-09-24,60.72
2008-09-25,60.46
2008-09-26,60.92
2008-09-29,60.2
2008-09-30,60.36
2008-10-01,59.96
2008-10-02,58.89
2008-10-03,57.1
2008-10-06,54.48
2008-10-07,53.99
2008-10-08,51.99
2008-10-09,50.95
2008-10-10,50.63
2008-10-13,54.19
2008-10-14,57.63
2008-10-15,54.29
2008-10-16,53.47
2008-10-17,53.51
2008-10-20,52.29
2008-10-21,52.29
2008-10-22,50.66
2008-10-23,49.96
2008-10-24,48.91
2008-10-27,47.78
2008-10-28,51.46
2008-10-29,54.0
2008-10-30,54.84
2008-10-31,55.62
2008-11-03,55.7
2008-11-04,57.64
2008-11-05,56.94
2008-11-06,54.2
2008-11-07,51.96
2008-11-10,54.24
2008-11-11,53.0
2008-11-12,50.85
2008-11-13,52.45
2008-11-14,53.56
2008-11-17,50.54
2008-11-18,49.5
2008-11-19,49.55
2008-11-20,46.39
2008-11-21,47.03
2008-11-24,49.87
2008-11-25,50.0
2008-11-26,47.77
2008-11-28,48.7
2008-12-01,47.93
2008-12-02,46.6
2008-12-03,47.51
2008-12-04,48.2
2008-12-05,49.4
2008-12-08,50.5
2008-12-09,48.78
2008-12-10,48.97
2008-12-11,48.64
2008-12-12,48.95
2008-12-15,50.1
2008-12-16,51.82
2008-12-17,51.47
2008-12-18,51.72
2008-12-19,52.37
