time_captured,07_c75_raw_accZ
1970-01-01 00:00:00.000000178,792.756
1970-01-01 00:00:00.000000179,1105.93
1970-01-01 00:00:00.000000180,890.844
1970-01-01 00:00:00.000000181,1439.844
1970-01-01 00:00:00.000000182,1070.062
1970-01-01 00:00:00.000000183,973.682
1970-01-01 00:00:00.000000184,389.424
1970-01-01 00:00:00.000000185,568.032
1970-01-01 00:00:00.000000186,572.79
1970-01-01 00:00:00.000000187,1189.866
1970-01-01 00:00:00.000000188,765.672
1970-01-01 00:00:00.000000189,1281.732
1970-01-01 00:00:00.000000190,1085.19
1970-01-01 00:00:00.000000191,1026.874
1970-01-01 00:00:00.000000192,747.738
1970-01-01 00:00:00.000000193,617.686
1970-01-01 00:00:00.000000194,762.988
1970-01-01 00:00:00.000000195,609.146
1970-01-01 00:00:00.000000196,847.778
1970-01-01 00:00:00.000000197,1084.214
1970-01-01 00:00:00.000000198,1604.422
1970-01-01 00:00:00.000000199,1401.292
1970-01-01 00:00:00.000000200,1433.5
1970-01-01 00:00:00.000000201,794.342
1970-01-01 00:00:00.000000202,552.904
1970-01-01 00:00:00.000000203,552.904
1970-01-01 00:00:00.000000204,864.004
1970-01-01 00:00:00.000000205,1190.232
1970-01-01 00:00:00.000000206,1723.738
1970-01-01 00:00:00.000000207,746.152
1970-01-01 00:00:00.000000208,1356.152
1970-01-01 00:00:00.000000209,668.804
1970-01-01 00:00:00.000000210,741.028
1970-01-01 00:00:00.000000211,768.722
1970-01-01 00:00:00.000000212,517.402
1970-01-01 00:00:00.000000213,445.422
1970-01-01 00:00:00.000000214,830.454
1970-01-01 00:00:00.000000215,800.808
1970-01-01 00:00:00.000000216,1799.744
1970-01-01 00:00:00.000000217,1203.774
1970-01-01 00:00:00.000000218,1147.41
1970-01-01 00:00:00.000000219,728.462
1970-01-01 00:00:00.000000220,617.442
1970-01-01 00:00:00.000000221,915.244
1970-01-01 00:00:00.000000222,778.848
1970-01-01 00:00:00.000000223,1461.072
1970-01-01 00:00:00.000000224,1534.638
1970-01-01 00:00:00.000000225,1128.256
1970-01-01 00:00:00.000000226,1031.998
1970-01-01 00:00:00.000000227,755.546
1970-01-01 00:00:00.000000228,428.342
1970-01-01 00:00:00.000000229,609.146
1970-01-01 00:00:00.000000230,683.566
1970-01-01 00:00:00.000000231,771.528
1970-01-01 00:00:00.000000232,392.108
1970-01-01 00:00:00.000000233,1125.938
1970-01-01 00:00:00.000000234,1913.082
1970-01-01 00:00:00.000000235,1348.71
1970-01-01 00:00:00.000000236,1131.184
1970-01-01 00:00:00.000000237,622.81
1970-01-01 00:00:00.000000238,700.768
1970-01-01 00:00:00.000000239,1051.396
1970-01-01 00:00:00.000000240,508.74
1970-01-01 00:00:00.000000241,1104.344
1970-01-01 00:00:00.000000242,1043.222
1970-01-01 00:00:00.000000243,980.758
1970-01-01 00:00:00.000000244,1010.77
1970-01-01 00:00:00.000000245,775.554
1970-01-01 00:00:00.000000246,602.07
1970-01-01 00:00:00.000000247,1267.336
1970-01-01 00:00:00.000000248,451.766
1970-01-01 00:00:00.000000249,630.618
1970-01-01 00:00:00.000000250,1041.636
1970-01-01 00:00:00.000000251,880.352
1970-01-01 00:00:00.000000252,1003.45
1970-01-01 00:00:00.000000253,1535.614
1970-01-01 00:00:00.000000254,540.216
1970-01-01 00:00:00.000000255,781.41
1970-01-01 00:00:00.000000256,779.336
1970-01-01 00:00:00.000000257,687.592
1970-01-01 00:00:00.000000258,783.362
1970-01-01 00:00:00.000000259,1576.972
1970-01-01 00:00:00.000000260,1008.94
1970-01-01 00:00:00.000000261,1249.768
1970-01-01 00:00:00.000000262,662.338
1970-01-01 00:00:00.000000263,799.466
1970-01-01 00:00:00.000000264,867.42
1970-01-01 00:00:00.000000265,614.514
1970-01-01 00:00:00.000000266,202.642
1970-01-01 00:00:00.000000267,401.99
1970-01-01 00:00:00.000000268,1250.744
1970-01-01 00:00:00.000000269,1749.114
1970-01-01 00:00:00.000000270,1213.9
1970-01-01 00:00:00.000000271,1177.056
1970-01-01 00:00:00.000000272,835.822
1970-01-01 00:00:00.000000273,850.096
1970-01-01 00:00:00.000000274,611.586
1970-01-01 00:00:00.000000275,769.088
1970-01-01 00:00:00.000000276,1200.48
1970-01-01 00:00:00.000000277,1089.094
1970-01-01 00:00:00.000000278,612.318
1970-01-01 00:00:00.000000279,1154.242
1970-01-01 00:00:00.000000280,622.932
1970-01-01 00:00:00.000000281,632.204
1970-01-01 00:00:00.000000282,969.412
1970-01-01 00:00:00.000000283,434.808
1970-01-01 00:00:00.000000284,532.042
1970-01-01 00:00:00.000000285,605.852
1970-01-01 00:00:00.000000286,1287.1
1970-01-01 00:00:00.000000287,1058.716
1970-01-01 00:00:00.000000288,580.72
1970-01-01 00:00:00.000000289,850.95
1970-01-01 00:00:00.000000290,796.904
1970-01-01 00:00:00.000000291,417.606
1970-01-01 00:00:00.000000292,748.714
1970-01-01 00:00:00.000000293,642.94
1970-01-01 00:00:00.000000294,1030.29
1970-01-01 00:00:00.000000295,1971.276
1970-01-01 00:00:00.000000296,1109.834
1970-01-01 00:00:00.000000297,729.316
1970-01-01 00:00:00.000000298,742.126
1970-01-01 00:00:00.000000299,844.728
1970-01-01 00:00:00.000000300,807.884
1970-01-01 00:00:00.000000301,127.978
1970-01-01 00:00:00.000000302,603.656
1970-01-01 00:00:00.000000303,1044.32
1970-01-01 00:00:00.000000304,1020.53
1970-01-01 00:00:00.000000305,1175.958
1970-01-01 00:00:00.000000306,1205.36
1970-01-01 00:00:00.000000307,981.856
1970-01-01 00:00:00.000000308,932.69
1970-01-01 00:00:00.000000309,474.58
1970-01-01 00:00:00.000000310,316.346
1970-01-01 00:00:00.000000311,1171.444
1970-01-01 00:00:00.000000312,1689.944
1970-01-01 00:00:00.000000313,1080.066
1970-01-01 00:00:00.000000314,451.034
1970-01-01 00:00:00.000000315,737.856
