time_captured,JPM_Open
2007-03-15,47.3
2007-03-16,47.62
2007-03-19,47.2
2007-03-20,47.51
2007-03-21,47.81
2007-03-22,49.05
2007-03-23,48.59
2007-03-26,48.55
2007-03-27,48.59
2007-03-28,48.57
2007-03-29,47.99
2007-03-30,48.61
2007-04-02,48.38
2007-04-03,48.25
2007-04-04,48.56
2007-04-05,48.35
2007-04-09,48.78
2007-04-10,49.01
2007-04-11,49.1
2007-04-12,49.52
2007-04-13,49.45
2007-04-16,49.47
2007-04-17,49.97
2007-04-18,51.6
2007-04-19,52.03
2007-04-20,52.65
2007-04-23,52.35
2007-04-24,52.06
2007-04-25,52.24
2007-04-26,52.82
2007-04-27,52.77
2007-04-30,52.46
2007-05-01,52.4
2007-05-02,52.26
2007-05-03,52.83
2007-05-04,52.8
2007-05-07,52.81
2007-05-08,52.48
2007-05-09,52.55
2007-05-10,52.79
2007-05-11,52.12
2007-05-14,52.0
2007-05-15,52.09
2007-05-16,52.37
2007-05-17,52.78
2007-05-18,52.62
2007-05-21,52.38
2007-05-22,52.56
2007-05-23,52.33
2007-05-24,52.0
2007-05-25,51.53
2007-05-29,51.65
2007-05-30,51.43
2007-05-31,52.25
2007-06-01,51.83
2007-06-04,51.56
2007-06-05,51.24
2007-06-06,51.22
2007-06-07,50.3
2007-06-08,49.83
2007-06-11,50.41
2007-06-12,50.22
2007-06-13,49.63
2007-06-14,50.29
2007-06-15,50.64
2007-06-18,50.83
2007-06-19,50.44
2007-06-20,50.85
2007-06-21,49.69
2007-06-22,49.56
2007-06-25,48.72
2007-06-26,48.45
2007-06-27,48.6
2007-06-28,49.25
2007-06-29,49.23
2007-07-02,48.9
2007-07-03,49.19
2007-07-05,49.1
2007-07-06,48.62
2007-07-09,49.21
2007-07-10,48.3
2007-07-11,47.52
2007-07-12,48.69
2007-07-13,49.68
2007-07-16,49.91
2007-07-17,49.95
2007-07-18,48.81
2007-07-19,49.5
2007-07-20,48.81
2007-07-23,47.75
2007-07-24,46.63
2007-07-25,45.67
2007-07-26,44.3
2007-07-27,44.08
2007-07-30,44.75
2007-07-31,45.07
2007-08-01,43.7
2007-08-02,44.41
2007-08-03,44.6
2007-08-06,43.76
2007-08-07,44.99
2007-08-08,45.75
2007-08-09,45.04
2007-08-10,43.36
2007-08-13,45.23
2007-08-14,43.94
2007-08-15,43.13
2007-08-16,42.75
2007-08-17,48.08
2007-08-20,47.17
2007-08-21,46.12
2007-08-22,46.67
2007-08-23,46.45
2007-08-24,45.5
2007-08-27,45.75
2007-08-28,44.48
2007-08-29,43.88
2007-08-30,43.64
2007-08-31,45.0
2007-09-04,44.4
2007-09-05,44.83
2007-09-06,44.24
2007-09-07,43.27
2007-09-10,43.75
2007-09-11,43.96
2007-09-12,44.5
2007-09-13,44.42
2007-09-14,45.6
2007-09-17,45.39
2007-09-18,45.68
2007-09-19,47.97
2007-09-20,47.62
2007-09-21,47.5
2007-09-24,47.2
2007-09-25,46.25
2007-09-26,46.26
2007-09-27,46.2
2007-09-28,46.05
2007-10-01,45.47
2007-10-02,46.99
2007-10-03,46.71
2007-10-04,47.2
2007-10-05,47.45
2007-10-08,47.31
2007-10-09,47.59
2007-10-10,47.47
2007-10-11,47.01
2007-10-12,46.67
2007-10-15,46.77
2007-10-16,46.0
2007-10-17,47.04
2007-10-18,46.1
2007-10-19,45.79
2007-10-22,44.9
2007-10-23,45.92
2007-10-24,45.73
2007-10-25,46.1
2007-10-26,46.96
2007-10-29,47.39
2007-10-30,46.4
2007-10-31,46.95
2007-11-01,45.65
2007-11-02,44.45
2007-11-05,42.69
