time_captured,MCD_Volume
2007-11-27,7532391
2007-11-28,10942115
2007-11-29,6500629
2007-11-30,11931732
2007-12-03,10452737
2007-12-04,9330991
2007-12-05,9485374
2007-12-06,6454609
2007-12-07,6121870
2007-12-10,8790053
2007-12-11,12974966
2007-12-12,10203046
2007-12-13,7732342
2007-12-14,6799663
2007-12-17,7289989
2007-12-18,7369930
2007-12-19,6182371
2007-12-20,6540071
2007-12-21,9820889
2007-12-24,2926126
2007-12-26,3314085
2007-12-27,4191369
2007-12-28,5480495
2007-12-31,4345924
2008-01-02,7858239
2008-01-03,6514978
2008-01-04,9688236
2008-01-07,10784465
2008-01-08,10081403
2008-01-09,11602065
2008-01-10,10767378
2008-01-11,33217783
2008-01-14,12932759
2008-01-15,10108447
2008-01-16,13248657
2008-01-17,12878612
2008-01-18,11754634
2008-01-22,16888418
2008-01-23,19157471
2008-01-24,10308612
2008-01-25,12779785
2008-01-28,49724417
2008-01-29,20686960
2008-01-30,13597317
2008-01-31,18342627
2008-02-01,11658286
2008-02-04,6079067
2008-02-05,13425351
2008-02-06,11637330
2008-02-07,11228973
2008-02-08,12940602
2008-02-11,5906517
2008-02-12,9506796
2008-02-13,7738955
2008-02-14,5611790
2008-02-15,6972217
2008-02-19,7853662
2008-02-20,8007507
2008-02-21,5764572
2008-02-22,5963256
2008-02-25,5236559
2008-02-26,9347483
2008-02-27,13814979
2008-02-28,6969507
2008-02-29,7461598
2008-03-03,7495814
2008-03-04,7889338
2008-03-05,7091068
2008-03-06,6526576
2008-03-07,8056483
2008-03-10,17600808
2008-03-11,9330804
2008-03-12,7407867
2008-03-13,11973579
2008-03-14,10275914
2008-03-17,10530927
2008-03-18,10417035
2008-03-19,8740636
2008-03-20,13075519
2008-03-24,7874316
2008-03-25,7557941
2008-03-26,5240950
2008-03-27,8198807
2008-03-28,4778802
2008-03-31,6453525
2008-04-01,13341149
2008-04-02,8375028
2008-04-03,6786392
2008-04-04,7419611
2008-04-07,6745276
2008-04-08,4893831
2008-04-09,7686930
2008-04-10,6762799
2008-04-11,5331428
2008-04-14,3883268
2008-04-15,6655631
2008-04-16,7441377
2008-04-17,5394065
2008-04-18,6762971
2008-04-21,6180466
2008-04-22,10918559
2008-04-23,8814298
2008-04-24,7197181
2008-04-25,7969591
2008-04-28,7705051
2008-04-29,7821952
2008-04-30,8486562
2008-05-01,6954808
2008-05-02,7353345
2008-05-05,5311820
2008-05-06,5147446
2008-05-07,6223150
2008-05-08,7987773
2008-05-09,5219431
2008-05-12,6268325
2008-05-13,6601163
2008-05-14,8562586
2008-05-15,6108373
2008-05-16,5690907
2008-05-19,4924514
2008-05-20,8618538
2008-05-21,7843195
2008-05-22,5110950
2008-05-23,5778771
2008-05-27,5896026
2008-05-28,5481867
2008-05-29,4506423
2008-05-30,5132128
2008-06-02,4930410
2008-06-03,9188914
2008-06-04,7601463
2008-06-05,7715821
2008-06-06,7366502
2008-06-09,11668837
2008-06-10,9083245
2008-06-11,6613321
2008-06-12,6261310
2008-06-13,5033671
2008-06-16,4520645
2008-06-17,5305450
2008-06-18,6248725
2008-06-19,6060836
2008-06-20,10427584
2008-06-23,7033905
2008-06-24,9697430
2008-06-25,8294203
2008-06-26,10465837
2008-06-27,14277786
2008-06-30,12268437
2008-07-01,12089157
2008-07-02,9864995
2008-07-03,5834766
2008-07-07,8011763
2008-07-08,9711019
2008-07-09,10559739
2008-07-10,8734917
2008-07-11,9808613
2008-07-14,7040215
2008-07-15,9576481
2008-07-16,10214592
2008-07-17,9482442
2008-07-18,7257996
2008-07-21,8614875
2008-07-22,9622468
2008-07-23,15048342
2008-07-24,8440235
2008-07-25,7949762
2008-07-28,7273432
2008-07-29,10151693
2008-07-30,7740051
2008-07-31,6960082
2008-08-01,7167556
2008-08-04,6068504
2008-08-05,13334924
2008-08-06,9689717
2008-08-07,12579538
2008-08-08,27537613
2008-08-11,14801059
2008-08-12,13159108
2008-08-13,12390645
2008-08-14,9297818
2008-08-15,5170017
2008-08-18,6953412
2008-08-19,5645538
2008-08-20,4626436
2008-08-21,5135432
2008-08-22,5610940
2008-08-25,5997505
2008-08-26,5546989
2008-08-27,4891022
2008-08-28,5762930
2008-08-29,5955649
2008-09-02,9668671
2008-09-03,10104888
2008-09-04,7760582
2008-09-05,8913390
2008-09-08,10432324
2008-09-09,14469962
2008-09-10,8688473
2008-09-11,13363210
2008-09-12,9374647
2008-09-15,11333385
2008-09-16,15773246
2008-09-17,13401184
2008-09-18,13208400
2008-09-19,14007552
2008-09-22,12146537
2008-09-23,11455878
2008-09-24,8890207
2008-09-25,8929480
2008-09-26,8277830
2008-09-29,12665048
2008-09-30,12967080
2008-10-01,12382212
2008-10-02,10905422
2008-10-03,11173908
2008-10-06,16080194
2008-10-07,15347374
2008-10-08,20741009
2008-10-09,17220713
2008-10-10,33088649
2008-10-13,14495316
2008-10-14,17394985
2008-10-15,13076095
2008-10-16,17272802
2008-10-17,11573478
2008-10-20,8881999
2008-10-21,10833351
2008-10-22,17950809
2008-10-23,13356971
2008-10-24,13436391
2008-10-27,12080911
2008-10-28,13510825
2008-10-29,17848445
2008-10-30,11119225
2008-10-31,11162810
2008-11-03,7762401
2008-11-04,10603328
2008-11-05,8466024
2008-11-06,11095805
2008-11-07,8601339
2008-11-10,9061441
2008-11-11,9076185
2008-11-12,10940906
2008-11-13,15680963
2008-11-14,12851628
2008-11-17,11276409
2008-11-18,12905513
2008-11-19,16147301
2008-11-20,15883638
2008-11-21,20693646
2008-11-24,13473088
2008-11-25,14773529
2008-11-26,9378793
2008-11-28,3916426
2008-12-01,11079485
2008-12-02,10215791
2008-12-03,13456093
2008-12-04,16996402
2008-12-05,17843616
2008-12-08,16964115
2008-12-09,13459594
2008-12-10,11412155
2008-12-11,11651111
2008-12-12,9827740
2008-12-15,7964886
2008-12-16,13488049
2008-12-17,11076231
2008-12-18,11394954
2008-12-19,15966651
2008-12-22,9066405
2008-12-23,7178563
2008-12-24,2579270
2008-12-26,2410013
2008-12-29,5786649
2008-12-30,5802390
2008-12-31,6230469
2009-01-02,8653562
2009-01-05,7692861
2009-01-06,10858920
2009-01-07,7910335
2009-01-08,9382296
2009-01-09,7150697
2009-01-12,8683361
2009-01-13,9082849
2009-01-14,15341042
2009-01-15,12167420
2009-01-16,12445753
2009-01-20,11930516
2009-01-21,10261594
2009-01-22,10969361
2009-01-23,10270643
2009-01-26,14136254
2009-01-27,9993191
2009-01-28,11111574
2009-01-29,9559449
2009-01-30,9661135
2009-02-02,7652054
2009-02-03,8104225
2009-02-04,9268095
2009-02-05,11066473
2009-02-06,10788910
2009-02-09,12359547
2009-02-10,13324715
2009-02-11,9579726
2009-02-12,12798396
2009-02-13,6976699
2009-02-17,9744833
2009-02-18,9489638
2009-02-19,9524951
2009-02-20,13541418
2009-02-23,10859798
2009-02-24,10903584
2009-02-25,11533618
2009-02-26,10171475
2009-02-27,13384769
2009-03-02,13245887
2009-03-03,14878206
2009-03-04,11619401
2009-03-05,15555442
2009-03-06,18188640
2009-03-09,17925403
2009-03-10,17335112
2009-03-11,16627623
2009-03-12,15302928
2009-03-13,11354830
2009-03-16,9883311
2009-03-17,13657696
2009-03-18,12899739
2009-03-19,10357027
2009-03-20,13797331
2009-03-23,10847452
2009-03-24,9840704
2009-03-25,10880942
2009-03-26,11095930
2009-03-27,6636550
2009-03-30,8702772
2009-03-31,9045156
2009-04-01,8280313
2009-04-02,8797767
