time_captured,CVX_Open
2008-05-30,99.13
2008-06-02,98.82
2008-06-03,99.04
2008-06-04,97.18
2008-06-05,96.4
2008-06-06,100.61
2008-06-09,99.95
2008-06-10,100.57
2008-06-11,99.55
2008-06-12,98.87
2008-06-13,97.45
2008-06-16,99.51
2008-06-17,99.8
2008-06-18,99.93
2008-06-19,99.56
2008-06-20,97.32
2008-06-23,96.03
2008-06-24,98.58
2008-06-25,98.81
2008-06-26,99.13
2008-06-27,97.33
2008-06-30,98.3
2008-07-01,98.26
2008-07-02,99.1
2008-07-03,97.79
2008-07-07,98.11
2008-07-08,96.06
2008-07-09,96.29
2008-07-10,93.74
2008-07-11,94.96
2008-07-14,92.61
2008-07-15,92.24
2008-07-16,89.34
2008-07-17,86.14
2008-07-18,85.93
2008-07-21,86.57
2008-07-22,86.52
2008-07-23,85.75
2008-07-24,82.66
2008-07-25,82.05
2008-07-28,82.86
2008-07-29,82.62
2008-07-30,83.11
2008-07-31,86.16
2008-08-01,83.98
2008-08-04,84.06
2008-08-05,82.55
2008-08-06,82.38
2008-08-07,84.82
2008-08-08,82.87
2008-08-11,84.6
2008-08-12,84.84
2008-08-13,83.42
2008-08-14,85.86
2008-08-15,85.44
2008-08-18,84.69
2008-08-19,82.75
2008-08-20,85.32
2008-08-21,87.25
2008-08-22,87.68
2008-08-25,88.58
2008-08-26,85.8
2008-08-27,86.73
2008-08-28,87.32
2008-08-29,87.62
2008-09-02,84.49
2008-09-03,83.1
2008-09-04,84.14
2008-09-05,81.0
2008-09-08,81.34
2008-09-09,80.2
2008-09-10,79.65
2008-09-11,80.48
2008-09-12,82.9
2008-09-15,81.16
2008-09-16,78.84
2008-09-17,81.0
2008-09-18,81.36
2008-09-19,85.56
2008-09-22,88.22
2008-09-23,87.16
2008-09-24,85.74
2008-09-25,85.1
2008-09-26,86.0
2008-09-29,85.02
2008-09-30,78.85
2008-10-01,81.51
2008-10-02,81.5
2008-10-03,79.96
2008-10-06,77.64
2008-10-07,78.02
2008-10-08,72.13
2008-10-09,73.75
2008-10-10,60.5
2008-10-13,60.17
