time_captured,HD_Close
2011-03-04,37.22
2011-03-07,36.87
2011-03-08,37.04
2011-03-09,37.67
2011-03-10,37.07
2011-03-11,37.14
2011-03-14,36.68
2011-03-15,36.29
2011-03-16,35.68
2011-03-17,35.76
2011-03-18,36.0
2011-03-21,36.43
2011-03-22,36.29
2011-03-23,36.62
2011-03-24,37.36
2011-03-25,37.42
2011-03-28,36.65
2011-03-29,37.7
2011-03-30,37.57
2011-03-31,37.06
2011-04-01,37.56
2011-04-04,37.47
2011-04-05,37.6
2011-04-06,37.5
2011-04-07,37.83
2011-04-08,37.46
2011-04-11,37.6
2011-04-12,37.76
2011-04-13,37.67
2011-04-14,37.84
2011-04-15,38.17
2011-04-18,37.76
2011-04-19,37.77
2011-04-20,37.94
2011-04-21,37.8
2011-04-25,37.56
2011-04-26,37.21
2011-04-27,37.32
2011-04-28,37.47
2011-04-29,37.15
2011-05-02,37.35
2011-05-03,37.35
2011-05-04,37.19
2011-05-05,37.01
2011-05-06,36.99
2011-05-09,36.96
2011-05-10,37.27
2011-05-11,37.23
2011-05-12,37.29
2011-05-13,37.01
2011-05-16,36.98
2011-05-17,37.4
2011-05-18,37.46
2011-05-19,37.39
2011-05-20,37.05
2011-05-23,36.82
2011-05-24,36.55
2011-05-25,36.63
2011-05-26,36.19
2011-05-27,36.0
2011-05-31,36.28
2011-06-01,35.4
2011-06-02,35.09
2011-06-03,34.63
2011-06-06,34.29
2011-06-07,34.33
2011-06-08,34.1
2011-06-09,34.33
2011-06-10,33.47
2011-06-13,33.51
2011-06-14,34.75
2011-06-15,33.88
2011-06-16,34.5
2011-06-17,34.53
2011-06-20,34.77
2011-06-21,35.43
2011-06-22,34.93
2011-06-23,35.65
2011-06-24,35.08
2011-06-27,35.2
2011-06-28,36.06
2011-06-29,35.98
2011-06-30,36.22
2011-07-01,36.73
2011-07-05,36.59
2011-07-06,36.57
2011-07-07,37.05
2011-07-08,36.62
2011-07-11,36.36
2011-07-12,36.11
2011-07-13,36.13
2011-07-14,35.96
2011-07-15,35.91
2011-07-18,35.69
2011-07-19,36.11
2011-07-20,36.41
2011-07-21,36.72
2011-07-22,36.52
2011-07-25,36.65
2011-07-26,36.39
2011-07-27,35.62
2011-07-28,35.15
2011-07-29,34.93
2011-08-01,34.25
2011-08-02,32.82
2011-08-03,32.95
2011-08-04,31.7
2011-08-05,30.74
2011-08-08,28.93
2011-08-09,30.15
2011-08-10,28.51
2011-08-11,30.05
2011-08-12,30.58
2011-08-15,31.46
2011-08-16,33.12
2011-08-17,33.41
2011-08-18,32.16
2011-08-19,31.88
2011-08-22,32.28
2011-08-23,33.11
2011-08-24,34.37
2011-08-25,33.84
2011-08-26,34.0
2011-08-29,33.99
2011-08-30,33.57
2011-08-31,33.38
2011-09-01,32.93
2011-09-02,32.18
2011-09-06,32.05
2011-09-07,32.87
2011-09-08,32.46
2011-09-09,31.87
2011-09-12,32.35
2011-09-13,32.66
2011-09-14,33.54
2011-09-15,34.28
2011-09-16,34.61
2011-09-19,34.35
2011-09-20,34.81
2011-09-21,33.84
2011-09-22,33.05
2011-09-23,33.72
2011-09-26,34.0
2011-09-27,33.88
2011-09-28,33.6
2011-09-29,33.79
2011-09-30,32.87
2011-10-03,31.59
2011-10-04,32.47
2011-10-05,32.83
2011-10-06,33.38
2011-10-07,33.92
2011-10-10,34.66
2011-10-11,34.71
2011-10-12,34.72
2011-10-13,34.41
2011-10-14,35.05
2011-10-17,34.65
2011-10-18,35.95
2011-10-19,35.4
2011-10-20,35.73
2011-10-21,36.86
2011-10-24,36.7
2011-10-25,36.04
2011-10-26,36.55
2011-10-27,37.37
2011-10-28,36.12
2011-10-31,35.8
2011-11-01,35.54
2011-11-02,35.99
2011-11-03,36.45
2011-11-04,36.39
2011-11-07,37.34
2011-11-08,37.94
2011-11-09,37.16
2011-11-10,37.2
2011-11-11,38.06
2011-11-14,38.25
2011-11-15,38.07
2011-11-16,37.84
2011-11-17,37.62
2011-11-18,37.88
2011-11-21,37.06
2011-11-22,37.1
2011-11-23,36.52
2011-11-25,36.47
2011-11-28,37.3
2011-11-29,38.96
2011-11-30,39.22
2011-12-01,39.34
2011-12-02,39.94
2011-12-05,40.23
2011-12-06,40.32
2011-12-07,40.73
2011-12-08,39.91
2011-12-09,40.23
2011-12-12,40.05
2011-12-13,39.51
2011-12-14,39.14
2011-12-15,39.42
2011-12-16,40.42
2011-12-19,40.2
2011-12-20,41.95
2011-12-21,42.0
2011-12-22,41.92
2011-12-23,42.09
2011-12-27,42.22
2011-12-28,41.53
2011-12-29,42.01
2011-12-30,42.04
2012-01-03,42.14
2012-01-04,42.74
2012-01-05,43.09
2012-01-06,43.2
2012-01-09,43.23
2012-01-10,43.53
2012-01-11,43.46
2012-01-12,43.39
2012-01-13,43.51
2012-01-17,43.74
2012-01-18,44.88
2012-01-19,45.41
2012-01-20,44.51
2012-01-23,44.88
2012-01-24,44.96
2012-01-25,45.26
2012-01-26,44.95
2012-01-27,44.87
2012-01-30,44.77
2012-01-31,44.39
2012-02-01,44.47
2012-02-02,44.46
2012-02-03,45.17
2012-02-06,45.2
2012-02-07,45.46
2012-02-08,45.17
2012-02-09,45.27
2012-02-10,45.33
2012-02-13,45.93
2012-02-14,46.06
2012-02-15,45.71
2012-02-16,45.93
2012-02-17,46.71
2012-02-21,46.92
2012-02-22,46.57
2012-02-23,46.95
2012-02-24,46.98
2012-02-27,46.93
2012-02-28,47.23
2012-02-29,47.57
2012-03-01,47.46
2012-03-02,47.41
2012-03-05,47.39
2012-03-06,46.39
2012-03-07,47.39
2012-03-08,47.82
2012-03-09,48.1
2012-03-12,48.59
2012-03-13,49.14
2012-03-14,49.47
2012-03-15,49.2
2012-03-16,49.05
2012-03-19,48.83
2012-03-20,49.38
2012-03-21,49.79
2012-03-22,49.68
2012-03-23,49.54
2012-03-26,50.13
2012-03-27,50.04
2012-03-28,49.91
2012-03-29,49.91
2012-03-30,50.31
2012-04-02,49.99
2012-04-03,50.0
2012-04-04,49.85
2012-04-05,50.62
2012-04-09,50.58
2012-04-10,49.36
2012-04-11,49.75
2012-04-12,50.63
2012-04-13,50.96
2012-04-16,51.69
2012-04-17,52.03
2012-04-18,51.81
2012-04-19,51.56
2012-04-20,51.46
2012-04-23,51.1
2012-04-24,51.23
2012-04-25,51.91
2012-04-26,51.87
2012-04-27,51.95
2012-04-30,51.79
2012-05-01,52.32
2012-05-02,52.71
2012-05-03,52.47
2012-05-04,51.96
2012-05-07,51.39
2012-05-08,50.62
2012-05-09,50.11
2012-05-10,50.62
2012-05-11,50.34
2012-05-14,49.88
2012-05-15,48.67
2012-05-16,48.77
2012-05-17,47.02
2012-05-18,47.05
2012-05-21,47.61
2012-05-22,48.26
2012-05-23,48.74
2012-05-24,49.71
2012-05-25,49.44
2012-05-29,49.78
2012-05-30,49.71
2012-05-31,49.34
2012-06-01,47.96
2012-06-04,48.76
2012-06-05,48.92
2012-06-06,50.6
2012-06-07,51.24
2012-06-08,52.35
2012-06-11,51.35
2012-06-12,52.24
2012-06-13,50.97
2012-06-14,52.16
2012-06-15,51.87
