time_captured,01_off_raw_accX
1970-01-01 00:00:00.000000336,-6.588
1970-01-01 00:00:00.000000337,-5.856
1970-01-01 00:00:00.000000338,-5.856
1970-01-01 00:00:00.000000339,-5.612
1970-01-01 00:00:00.000000340,-3.66
1970-01-01 00:00:00.000000341,-7.32
1970-01-01 00:00:00.000000342,-10.37
1970-01-01 00:00:00.000000343,-7.198
1970-01-01 00:00:00.000000344,-8.296
1970-01-01 00:00:00.000000345,-5.612
1970-01-01 00:00:00.000000346,-7.076
1970-01-01 00:00:00.000000347,-6.588
1970-01-01 00:00:00.000000348,-6.588
1970-01-01 00:00:00.000000349,-8.662
1970-01-01 00:00:00.000000350,-4.88
1970-01-01 00:00:00.000000351,-6.832
1970-01-01 00:00:00.000000352,-9.394
1970-01-01 00:00:00.000000353,-5.978
1970-01-01 00:00:00.000000354,-8.906
1970-01-01 00:00:00.000000355,-10.736
1970-01-01 00:00:00.000000356,-4.758
1970-01-01 00:00:00.000000357,-6.954
1970-01-01 00:00:00.000000358,-6.954
1970-01-01 00:00:00.000000359,-7.198
1970-01-01 00:00:00.000000360,-2.44
1970-01-01 00:00:00.000000361,-6.466
1970-01-01 00:00:00.000000362,-9.516
1970-01-01 00:00:00.000000363,-9.028
1970-01-01 00:00:00.000000364,-5.124
1970-01-01 00:00:00.000000365,-9.272
1970-01-01 00:00:00.000000366,-8.052
1970-01-01 00:00:00.000000367,-7.076
1970-01-01 00:00:00.000000368,-7.198
1970-01-01 00:00:00.000000369,-8.296
1970-01-01 00:00:00.000000370,-4.88
1970-01-01 00:00:00.000000371,-5.978
1970-01-01 00:00:00.000000372,-9.76
1970-01-01 00:00:00.000000373,-4.27
1970-01-01 00:00:00.000000374,-3.172
1970-01-01 00:00:00.000000375,-9.882
1970-01-01 00:00:00.000000376,-6.1
1970-01-01 00:00:00.000000377,-6.832
1970-01-01 00:00:00.000000378,-12.322
1970-01-01 00:00:00.000000379,-6.344
1970-01-01 00:00:00.000000380,-5.612
1970-01-01 00:00:00.000000381,-6.588
1970-01-01 00:00:00.000000382,-8.052
1970-01-01 00:00:00.000000383,-7.93
1970-01-01 00:00:00.000000384,-6.588
1970-01-01 00:00:00.000000385,-10.98
1970-01-01 00:00:00.000000386,-7.076
1970-01-01 00:00:00.000000387,-6.344
1970-01-01 00:00:00.000000388,-6.832
1970-01-01 00:00:00.000000389,-4.026
1970-01-01 00:00:00.000000390,-9.028
1970-01-01 00:00:00.000000391,-7.93
1970-01-01 00:00:00.000000392,-8.906
1970-01-01 00:00:00.000000393,-4.636
1970-01-01 00:00:00.000000394,-5.856
1970-01-01 00:00:00.000000395,-10.858
1970-01-01 00:00:00.000000396,-6.466
1970-01-01 00:00:00.000000397,-5.002
1970-01-01 00:00:00.000000398,-8.296
1970-01-01 00:00:00.000000399,-8.052
1970-01-01 00:00:00.000000400,-7.686
1970-01-01 00:00:00.000000401,-7.442
1970-01-01 00:00:00.000000402,-6.588
1970-01-01 00:00:00.000000403,-7.564
1970-01-01 00:00:00.000000404,-5.49
1970-01-01 00:00:00.000000405,-9.15
1970-01-01 00:00:00.000000406,-8.54
1970-01-01 00:00:00.000000407,-5.124
1970-01-01 00:00:00.000000408,-8.174
1970-01-01 00:00:00.000000409,-7.564
1970-01-01 00:00:00.000000410,-4.392
1970-01-01 00:00:00.000000411,-6.1
1970-01-01 00:00:00.000000412,-7.686
1970-01-01 00:00:00.000000413,-8.052
1970-01-01 00:00:00.000000414,-8.296
1970-01-01 00:00:00.000000415,-7.198
1970-01-01 00:00:00.000000416,-5.612
1970-01-01 00:00:00.000000417,-5.124
1970-01-01 00:00:00.000000418,-10.248
1970-01-01 00:00:00.000000419,-7.198
1970-01-01 00:00:00.000000420,-4.636
1970-01-01 00:00:00.000000421,-11.468
1970-01-01 00:00:00.000000422,-8.662
1970-01-01 00:00:00.000000423,-5.49
1970-01-01 00:00:00.000000424,-8.296
1970-01-01 00:00:00.000000425,-6.1
1970-01-01 00:00:00.000000426,-6.832
1970-01-01 00:00:00.000000427,-8.052
1970-01-01 00:00:00.000000428,-8.052
1970-01-01 00:00:00.000000429,-9.15
1970-01-01 00:00:00.000000430,-6.466
1970-01-01 00:00:00.000000431,-7.564
1970-01-01 00:00:00.000000432,-8.052
1970-01-01 00:00:00.000000433,-8.662
1970-01-01 00:00:00.000000434,-6.954
1970-01-01 00:00:00.000000435,-7.442
1970-01-01 00:00:00.000000436,-6.71
1970-01-01 00:00:00.000000437,-7.076
1970-01-01 00:00:00.000000438,-7.93
1970-01-01 00:00:00.000000439,-7.93
1970-01-01 00:00:00.000000440,-6.954
1970-01-01 00:00:00.000000441,-7.32
1970-01-01 00:00:00.000000442,-5.368
1970-01-01 00:00:00.000000443,-4.758
1970-01-01 00:00:00.000000444,-6.466
1970-01-01 00:00:00.000000445,-7.198
1970-01-01 00:00:00.000000446,-6.832
1970-01-01 00:00:00.000000447,-7.198
1970-01-01 00:00:00.000000448,-7.198
1970-01-01 00:00:00.000000449,-8.418
1970-01-01 00:00:00.000000450,-9.76
1970-01-01 00:00:00.000000451,-7.93
1970-01-01 00:00:00.000000452,-7.686
