time_captured,08_vnt_raw_accZ
1970-01-01 00:00:00.000000285,977.098
1970-01-01 00:00:00.000000286,632.326
1970-01-01 00:00:00.000000287,518.744
1970-01-01 00:00:00.000000288,-294.02
1970-01-01 00:00:00.000000289,1257.576
1970-01-01 00:00:00.000000290,1314.184
1970-01-01 00:00:00.000000291,1489.62
1970-01-01 00:00:00.000000292,1338.828
1970-01-01 00:00:00.000000293,994.91
1970-01-01 00:00:00.000000294,1234.274
1970-01-01 00:00:00.000000295,779.702
1970-01-01 00:00:00.000000296,46.604
1970-01-01 00:00:00.000000297,-170.922
1970-01-01 00:00:00.000000298,-183.976
1970-01-01 00:00:00.000000299,1984.574
1970-01-01 00:00:00.000000300,1984.574
1970-01-01 00:00:00.000000301,1543.666
1970-01-01 00:00:00.000000302,1103.856
1970-01-01 00:00:00.000000303,1050.176
1970-01-01 00:00:00.000000304,693.936
1970-01-01 00:00:00.000000305,90.646
1970-01-01 00:00:00.000000306,309.27
1970-01-01 00:00:00.000000307,1131.672
1970-01-01 00:00:00.000000308,1120.936
1970-01-01 00:00:00.000000309,1460.828
1970-01-01 00:00:00.000000310,1077.382
1970-01-01 00:00:00.000000311,1227.32
1970-01-01 00:00:00.000000312,936.716
1970-01-01 00:00:00.000000313,330.864
1970-01-01 00:00:00.000000314,305.366
1970-01-01 00:00:00.000000315,25.986
1970-01-01 00:00:00.000000316,635.254
1970-01-01 00:00:00.000000317,1484.496
1970-01-01 00:00:00.000000318,1283.196
1970-01-01 00:00:00.000000319,1122.888
1970-01-01 00:00:00.000000320,1170.346
1970-01-01 00:00:00.000000321,622.444
1970-01-01 00:00:00.000000322,-289.994
1970-01-01 00:00:00.000000323,178.364
1970-01-01 00:00:00.000000324,673.44
1970-01-01 00:00:00.000000325,805.444
1970-01-01 00:00:00.000000326,1365.424
1970-01-01 00:00:00.000000327,1129.842
1970-01-01 00:00:00.000000328,1139.114
1970-01-01 00:00:00.000000329,1080.188
1970-01-01 00:00:00.000000330,989.298
1970-01-01 00:00:00.000000331,434.442
1970-01-01 00:00:00.000000332,-255.468
1970-01-01 00:00:00.000000333,660.63
1970-01-01 00:00:00.000000334,768.722
1970-01-01 00:00:00.000000335,1995.676
1970-01-01 00:00:00.000000336,1504.016
1970-01-01 00:00:00.000000337,1359.69
1970-01-01 00:00:00.000000338,1397.754
1970-01-01 00:00:00.000000339,593.652
1970-01-01 00:00:00.000000340,334.28
1970-01-01 00:00:00.000000341,241.804
1970-01-01 00:00:00.000000342,1018.822
1970-01-01 00:00:00.000000343,932.568
1970-01-01 00:00:00.000000344,1117.398
1970-01-01 00:00:00.000000345,1375.55
1970-01-01 00:00:00.000000346,1247.572
1970-01-01 00:00:00.000000347,1242.57
1970-01-01 00:00:00.000000348,357.216
1970-01-01 00:00:00.000000349,78.934
1970-01-01 00:00:00.000000350,255.712
1970-01-01 00:00:00.000000351,848.754
1970-01-01 00:00:00.000000352,1149.484
1970-01-01 00:00:00.000000353,1319.796
1970-01-01 00:00:00.000000354,1601.982
1970-01-01 00:00:00.000000355,1237.324
1970-01-01 00:00:00.000000356,920.368
1970-01-01 00:00:00.000000357,161.284
1970-01-01 00:00:00.000000358,361.486
1970-01-01 00:00:00.000000359,874.008
1970-01-01 00:00:00.000000360,1079.456
1970-01-01 00:00:00.000000361,1049.932
1970-01-01 00:00:00.000000362,938.668
1970-01-01 00:00:00.000000363,1054.202
1970-01-01 00:00:00.000000364,1086.41
1970-01-01 00:00:00.000000365,754.936
1970-01-01 00:00:00.000000366,-60.512
1970-01-01 00:00:00.000000367,-88.938
1970-01-01 00:00:00.000000368,623.298
1970-01-01 00:00:00.000000369,124.074
1970-01-01 00:00:00.000000370,1492.67
1970-01-01 00:00:00.000000371,2046.428
1970-01-01 00:00:00.000000372,1369.45
1970-01-01 00:00:00.000000373,773.846
1970-01-01 00:00:00.000000374,455.914
1970-01-01 00:00:00.000000375,179.462
1970-01-01 00:00:00.000000376,380.64
1970-01-01 00:00:00.000000377,444.324
1970-01-01 00:00:00.000000378,592.188
1970-01-01 00:00:00.000000379,1538.054
1970-01-01 00:00:00.000000380,1775.1
1970-01-01 00:00:00.000000381,1038.952
1970-01-01 00:00:00.000000382,1281.61
1970-01-01 00:00:00.000000383,519.476
1970-01-01 00:00:00.000000384,214.354
1970-01-01 00:00:00.000000385,461.526
1970-01-01 00:00:00.000000386,1098.854
1970-01-01 00:00:00.000000387,1546.594
1970-01-01 00:00:00.000000388,1554.768
1970-01-01 00:00:00.000000389,1560.746
1970-01-01 00:00:00.000000390,1249.158
1970-01-01 00:00:00.000000391,581.818
1970-01-01 00:00:00.000000392,793.732
1970-01-01 00:00:00.000000393,238.144
1970-01-01 00:00:00.000000394,544.73
1970-01-01 00:00:00.000000395,1037.854
1970-01-01 00:00:00.000000396,1667.374
1970-01-01 00:00:00.000000397,1208.166
1970-01-01 00:00:00.000000398,1124.84
1970-01-01 00:00:00.000000399,1026.508
1970-01-01 00:00:00.000000400,775.92
1970-01-01 00:00:00.000000401,386.252
1970-01-01 00:00:00.000000402,-244.366
1970-01-01 00:00:00.000000403,0.854
1970-01-01 00:00:00.000000404,585.356
1970-01-01 00:00:00.000000405,1734.596
1970-01-01 00:00:00.000000406,1975.424
1970-01-01 00:00:00.000000407,1196.21
1970-01-01 00:00:00.000000408,748.958
1970-01-01 00:00:00.000000409,812.642
1970-01-01 00:00:00.000000410,657.824
1970-01-01 00:00:00.000000411,49.532
1970-01-01 00:00:00.000000412,380.762
1970-01-01 00:00:00.000000413,1188.158
