time_captured,05_unb_raw_accY
1970-01-01 00:00:00.000000204,-309.026
1970-01-01 00:00:00.000000205,333.914
1970-01-01 00:00:00.000000206,-12.566
1970-01-01 00:00:00.000000207,-14.396
1970-01-01 00:00:00.000000208,-288.774
1970-01-01 00:00:00.000000209,-5.734
1970-01-01 00:00:00.000000210,28.548
1970-01-01 00:00:00.000000211,220.088
1970-01-01 00:00:00.000000212,-43.676
1970-01-01 00:00:00.000000213,73.078
1970-01-01 00:00:00.000000214,445.178
1970-01-01 00:00:00.000000215,-57.95
1970-01-01 00:00:00.000000216,85.766
1970-01-01 00:00:00.000000217,-15.25
1970-01-01 00:00:00.000000218,25.986
1970-01-01 00:00:00.000000219,-453.84
1970-01-01 00:00:00.000000220,-341.234
1970-01-01 00:00:00.000000221,-424.194
1970-01-01 00:00:00.000000222,79.056
1970-01-01 00:00:00.000000223,-268.766
1970-01-01 00:00:00.000000224,-44.53
1970-01-01 00:00:00.000000225,884.012
1970-01-01 00:00:00.000000226,207.644
1970-01-01 00:00:00.000000227,297.558
1970-01-01 00:00:00.000000228,325.862
1970-01-01 00:00:00.000000229,-335.134
1970-01-01 00:00:00.000000230,100.772
1970-01-01 00:00:00.000000231,-46.238
1970-01-01 00:00:00.000000232,-360.022
1970-01-01 00:00:00.000000233,33.428
1970-01-01 00:00:00.000000234,237.168
1970-01-01 00:00:00.000000235,-201.178
1970-01-01 00:00:00.000000236,-29.402
1970-01-01 00:00:00.000000237,44.896
1970-01-01 00:00:00.000000238,-126.392
1970-01-01 00:00:00.000000239,-6.344
1970-01-01 00:00:00.000000240,40.504
1970-01-01 00:00:00.000000241,-48.678
1970-01-01 00:00:00.000000242,-508.496
1970-01-01 00:00:00.000000243,108.946
1970-01-01 00:00:00.000000244,332.572
1970-01-01 00:00:00.000000245,-226.31
1970-01-01 00:00:00.000000246,111.752
1970-01-01 00:00:00.000000247,132.004
1970-01-01 00:00:00.000000248,-298.9
1970-01-01 00:00:00.000000249,217.648
1970-01-01 00:00:00.000000250,-7.076
1970-01-01 00:00:00.000000251,25.864
1970-01-01 00:00:00.000000252,117.73
1970-01-01 00:00:00.000000253,126.392
1970-01-01 00:00:00.000000254,-242.658
1970-01-01 00:00:00.000000255,-471.042
1970-01-01 00:00:00.000000256,179.218
1970-01-01 00:00:00.000000257,-311.222
1970-01-01 00:00:00.000000258,-293.654
1970-01-01 00:00:00.000000259,171.166
1970-01-01 00:00:00.000000260,830.088
1970-01-01 00:00:00.000000261,249.124
1970-01-01 00:00:00.000000262,-96.624
1970-01-01 00:00:00.000000263,239.12
1970-01-01 00:00:00.000000264,-185.196
1970-01-01 00:00:00.000000265,-525.332
1970-01-01 00:00:00.000000266,-73.444
1970-01-01 00:00:00.000000267,-73.2
1970-01-01 00:00:00.000000268,-478.24
1970-01-01 00:00:00.000000269,165.554
1970-01-01 00:00:00.000000270,466.162
1970-01-01 00:00:00.000000271,488.854
1970-01-01 00:00:00.000000272,-1.952
1970-01-01 00:00:00.000000273,-170.556
1970-01-01 00:00:00.000000274,-283.65
1970-01-01 00:00:00.000000275,-201.544
1970-01-01 00:00:00.000000276,227.652
1970-01-01 00:00:00.000000277,-437.614
1970-01-01 00:00:00.000000278,22.082
1970-01-01 00:00:00.000000279,98.454
1970-01-01 00:00:00.000000280,206.546
1970-01-01 00:00:00.000000281,-34.892
1970-01-01 00:00:00.000000282,-159.332
1970-01-01 00:00:00.000000283,-72.956
1970-01-01 00:00:00.000000284,-193.248
1970-01-01 00:00:00.000000285,-149.206
1970-01-01 00:00:00.000000286,371.124
1970-01-01 00:00:00.000000287,306.586
1970-01-01 00:00:00.000000288,-134.932
1970-01-01 00:00:00.000000289,2.562
1970-01-01 00:00:00.000000290,15.494
1970-01-01 00:00:00.000000291,-340.624
1970-01-01 00:00:00.000000292,-575.962
1970-01-01 00:00:00.000000293,-192.15
1970-01-01 00:00:00.000000294,-316.224
1970-01-01 00:00:00.000000295,-475.922
1970-01-01 00:00:00.000000296,-189.466
1970-01-01 00:00:00.000000297,-68.442
1970-01-01 00:00:00.000000298,353.8
1970-01-01 00:00:00.000000299,150.06
1970-01-01 00:00:00.000000300,585.234
1970-01-01 00:00:00.000000301,211.426
