time_captured,BA_Open
2013-02-20,75.64
2013-02-21,74.96
2013-02-22,76.7
2013-02-25,76.83
2013-02-26,75.43
2013-02-27,75.53
2013-02-28,77.24
2013-03-01,76.7
2013-03-04,76.95
2013-03-05,77.45
2013-03-06,78.67
2013-03-07,79.37
2013-03-08,81.16
2013-03-11,81.01
2013-03-12,83.1
2013-03-13,84.38
2013-03-14,84.62
2013-03-15,84.75
2013-03-18,85.07
2013-03-19,85.53
2013-03-20,85.85
2013-03-21,85.2
2013-03-22,84.52
2013-03-25,85.03
2013-03-26,85.43
2013-03-27,85.75
2013-03-28,86.41
2013-04-01,85.6
2013-04-02,85.39
2013-04-03,84.3
2013-04-04,84.79
2013-04-05,84.07
2013-04-08,86.01
2013-04-09,87.12
2013-04-10,87.34
2013-04-11,87.96
2013-04-12,88.29
2013-04-15,88.44
2013-04-16,87.45
2013-04-17,86.47
2013-04-18,87.06
2013-04-19,87.57
2013-04-22,88.08
2013-04-23,87.35
2013-04-24,91.95
2013-04-25,91.35
2013-04-26,91.89
2013-04-29,91.4
2013-04-30,91.35
2013-05-01,91.08
2013-05-02,91.24
2013-05-03,92.85
2013-05-06,93.44
2013-05-07,94.31
2013-05-08,94.31
2013-05-09,94.07
2013-05-10,94.75
2013-05-13,94.12
2013-05-14,94.92
2013-05-15,95.69
2013-05-16,96.89
2013-05-17,97.02
2013-05-20,99.12
2013-05-21,98.59
2013-05-22,98.86
2013-05-23,97.18
2013-05-24,99.75
2013-05-28,100.85
2013-05-29,99.56
2013-05-30,99.29
2013-05-31,100.21
2013-06-03,99.36
2013-06-04,100.48
2013-06-05,99.34
2013-06-06,98.65
2013-06-07,100.25
2013-06-10,102.51
2013-06-11,101.61
2013-06-12,102.19
2013-06-13,100.96
2013-06-14,102.16
2013-06-17,102.69
2013-06-18,103.22
2013-06-19,103.83
2013-06-20,101.46
2013-06-21,100.08
2013-06-24,99.06
2013-06-25,99.2
2013-06-26,99.65
2013-06-27,102.41
2013-06-28,102.86
2013-07-01,102.93
2013-07-02,103.22
2013-07-03,101.01
2013-07-05,103.7
2013-07-08,104.0
2013-07-09,105.27
2013-07-10,104.5
2013-07-11,106.43
2013-07-12,106.86
2013-07-15,103.83
2013-07-16,105.69
2013-07-17,104.45
2013-07-18,104.96
2013-07-19,107.13
2013-07-22,107.27
2013-07-23,107.18
2013-07-24,109.24
2013-07-25,106.36
2013-07-26,106.22
2013-07-29,103.52
2013-07-30,104.94
2013-07-31,105.92
2013-08-01,105.99
2013-08-02,106.0
2013-08-05,107.14
2013-08-06,107.35
2013-08-07,106.21
2013-08-08,106.68
2013-08-09,105.37
2013-08-12,104.86
2013-08-13,104.31
2013-08-14,106.16
2013-08-15,103.19
2013-08-16,102.82
2013-08-19,103.0
2013-08-20,104.69
2013-08-21,104.47
2013-08-22,103.88
2013-08-23,105.5
2013-08-26,105.75
2013-08-27,104.4
2013-08-28,103.1
2013-08-29,103.28
2013-08-30,104.92
2013-09-03,105.13
2013-09-04,105.05
2013-09-05,106.16
2013-09-06,107.0
2013-09-09,106.58
2013-09-10,107.64
2013-09-11,108.25
2013-09-12,109.19
2013-09-13,109.93
2013-09-16,113.73
2013-09-17,115.78
2013-09-18,117.28
2013-09-19,119.22
2013-09-20,119.15
2013-09-23,117.15
2013-09-24,117.19
2013-09-25,119.32
2013-09-26,118.71
2013-09-27,118.51
2013-09-30,117.35
2013-10-01,117.97
2013-10-02,117.38
2013-10-03,117.35
2013-10-04,115.27
2013-10-07,115.51
2013-10-08,116.67
2013-10-09,115.4
2013-10-10,116.1
2013-10-11,118.6
2013-10-14,117.42
2013-10-15,119.42
2013-10-16,118.78
2013-10-17,119.81
2013-10-18,122.5
2013-10-21,122.69
2013-10-22,122.0
2013-10-23,126.0
2013-10-24,129.01
2013-10-25,129.25
2013-10-28,128.75
2013-10-29,129.35
2013-10-30,129.56
2013-10-31,129.84
2013-11-01,130.9
2013-11-04,133.75
2013-11-05,132.03
2013-11-06,134.02
2013-11-07,133.44
2013-11-08,131.28
2013-11-11,133.14
2013-11-12,132.4
2013-11-13,131.92
2013-11-14,133.7
2013-11-15,135.36
2013-11-18,140.25
2013-11-19,138.5
2013-11-20,135.8
2013-11-21,132.45
2013-11-22,133.49
2013-11-25,134.01
2013-11-26,133.0
2013-11-27,135.05
2013-11-29,134.82
2013-12-02,134.99
2013-12-03,133.93
2013-12-04,131.73
2013-12-05,131.26
2013-12-06,134.58
2013-12-09,135.49
2013-12-10,133.65
2013-12-11,133.7
2013-12-12,132.11
2013-12-13,133.51
2013-12-16,134.3
2013-12-17,138.1
2013-12-18,135.86
2013-12-19,135.12
2013-12-20,135.49
2013-12-23,137.69
2013-12-24,136.4
2013-12-26,137.18
2013-12-27,138.69
2013-12-30,137.16
2013-12-31,136.16
2014-01-02,136.01
2014-01-03,137.06
2014-01-06,139.4
2014-01-07,138.58
2014-01-08,140.69
2014-01-09,141.51
2014-01-10,142.79
2014-01-13,141.55
2014-01-14,140.85
2014-01-15,140.3
2014-01-16,140.33
2014-01-17,140.08
2014-01-21,141.46
2014-01-22,142.31
2014-01-23,143.1
2014-01-24,140.4
2014-01-27,136.7
2014-01-28,137.61
2014-01-29,131.7
2014-01-30,131.7
2014-01-31,124.46
2014-02-03,124.24
2014-02-04,123.07
2014-02-05,121.0
2014-02-06,121.79
2014-02-07,123.75
2014-02-10,128.96
2014-02-11,127.65
2014-02-12,130.29
2014-02-13,127.06
2014-02-14,129.09
2014-02-18,130.13
2014-02-19,130.11
2014-02-20,128.48
2014-02-21,129.8
2014-02-24,128.38
2014-02-25,129.3
2014-02-26,127.24
2014-02-27,126.47
2014-02-28,128.75
2014-03-03,127.18
2014-03-04,129.38
2014-03-05,130.4
2014-03-06,129.01
2014-03-07,129.75
2014-03-10,126.51
2014-03-11,127.03
2014-03-12,125.0
2014-03-13,124.65
2014-03-14,122.12
2014-03-17,123.97
2014-03-18,125.59
2014-03-19,124.32
2014-03-20,122.59
2014-03-21,124.06
2014-03-24,123.53
2014-03-25,124.46
2014-03-26,124.61
2014-03-27,123.01
2014-03-28,123.78
2014-03-31,125.36
2014-04-01,126.24
2014-04-02,128.63
2014-04-03,129.17
2014-04-04,129.33
2014-04-07,127.19
2014-04-08,125.28
2014-04-09,124.99
2014-04-10,126.82
2014-04-11,123.05
2014-04-14,123.08
2014-04-15,123.35
2014-04-16,125.0
2014-04-17,126.44
2014-04-21,128.05
2014-04-22,128.25
2014-04-23,130.67
2014-04-24,130.41
2014-04-25,129.84
2014-04-28,128.2
2014-04-29,127.2
2014-04-30,128.05
2014-05-01,128.74
2014-05-02,128.7
2014-05-05,129.0
2014-05-06,131.75
2014-05-07,130.77
2014-05-08,130.17
2014-05-09,130.26
2014-05-12,131.82
2014-05-13,133.01
2014-05-14,133.8
2014-05-15,132.7
2014-05-16,131.31
2014-05-19,130.42
2014-05-20,130.94
2014-05-21,130.43
2014-05-22,131.66
2014-05-23,132.0
2014-05-27,133.09
2014-05-28,134.17
2014-05-29,134.71
2014-05-30,134.67
2014-06-02,135.5
2014-06-03,135.8
2014-06-04,135.54
2014-06-05,135.65
2014-06-06,137.39
2014-06-09,138.25
2014-06-10,137.59
2014-06-11,135.25
2014-06-12,133.86
2014-06-13,132.53
2014-06-16,132.2
2014-06-17,132.1
2014-06-18,132.61
2014-06-19,132.48
2014-06-20,133.48
2014-06-23,132.32
2014-06-24,130.5
2014-06-25,129.04
2014-06-26,127.41
2014-06-27,128.07
2014-06-30,127.91
2014-07-01,127.66
2014-07-02,128.15
2014-07-03,127.99
2014-07-07,128.1
2014-07-08,128.89
2014-07-09,128.31
2014-07-10,125.54
2014-07-11,127.18
2014-07-14,128.91
2014-07-15,130.31
2014-07-16,129.56
2014-07-17,127.21
2014-07-18,126.38
2014-07-21,127.3
2014-07-22,128.99
2014-07-23,127.79
2014-07-24,125.92
2014-07-25,124.48
2014-07-28,123.44
2014-07-29,123.31
2014-07-30,123.2
2014-07-31,121.47
2014-08-01,120.45
2014-08-04,120.8
2014-08-05,119.67
2014-08-06,119.32
2014-08-07,119.0
2014-08-08,119.8
2014-08-11,121.15
2014-08-12,120.51
2014-08-13,120.67
2014-08-14,122.2
2014-08-15,124.5
2014-08-18,123.58
2014-08-19,125.22
2014-08-20,125.89
2014-08-21,127.54
2014-08-22,127.33
2014-08-25,128.08
2014-08-26,128.69
2014-08-27,128.77
2014-08-28,127.34
2014-08-29,127.35
2014-09-02,125.62
2014-09-03,125.46
2014-09-04,126.38
2014-09-05,125.43
2014-09-08,125.9
2014-09-09,127.81
2014-09-10,128.47
2014-09-11,127.82
2014-09-12,127.49
2014-09-15,126.92
2014-09-16,126.2
2014-09-17,128.25
2014-09-18,128.0
2014-09-19,129.27
2014-09-22,129.37
2014-09-23,128.28
2014-09-24,127.46
2014-09-25,128.31
2014-09-26,127.19
2014-09-29,127.21
2014-09-30,128.57
2014-10-01,127.37
2014-10-02,124.4
2014-10-03,124.66
2014-10-06,127.09
2014-10-07,125.52
2014-10-08,123.47
2014-10-09,124.72
2014-10-10,122.87
2014-10-13,122.05
2014-10-14,121.84
2014-10-15,121.06
2014-10-16,118.91
2014-10-17,122.05
2014-10-20,123.39
2014-10-21,125.21
2014-10-22,127.99
2014-10-23,121.27
2014-10-24,122.2
2014-10-27,122.13
2014-10-28,122.5
2014-10-29,124.48
2014-10-30,122.52
2014-10-31,125.03
2014-11-03,125.35
2014-11-04,125.91
2014-11-05,126.01
2014-11-06,124.48
2014-11-07,124.93
2014-11-10,124.87
2014-11-11,124.58
2014-11-12,124.51
2014-11-13,125.74
2014-11-14,128.53
2014-11-17,128.7
2014-11-18,128.55
2014-11-19,130.59
2014-11-20,130.94
2014-11-21,132.72
2014-11-24,133.45
2014-11-25,134.74
2014-11-26,134.95
2014-11-28,135.51
2014-12-01,134.31
2014-12-02,132.5
2014-12-03,132.65
2014-12-04,131.97
2014-12-05,131.72
2014-12-08,132.02
2014-12-09,128.56
2014-12-10,128.81
2014-12-11,125.22
2014-12-12,122.24
2014-12-15,121.4
2014-12-16,125.04
2014-12-17,124.28
2014-12-18,127.13
2014-12-19,125.63
2014-12-22,126.73
2014-12-23,129.04
2014-12-24,130.3
2014-12-26,131.29
2014-12-29,131.72
2014-12-30,132.0
2014-12-31,132.25
2015-01-02,131.07
2015-01-05,129.66
2015-01-06,129.05
2015-01-07,128.74
2015-01-08,130.6
2015-01-09,131.59
2015-01-12,132.24
2015-01-13,132.0
