time_captured,08_vnt_raw_accX
1970-01-01 00:00:00.000000244,-485.804
1970-01-01 00:00:00.000000245,1234.152
1970-01-01 00:00:00.000000246,973.072
1970-01-01 00:00:00.000000247,-153.232
1970-01-01 00:00:00.000000248,-835.334
1970-01-01 00:00:00.000000249,-463.112
1970-01-01 00:00:00.000000250,-281.454
1970-01-01 00:00:00.000000251,-260.836
1970-01-01 00:00:00.000000252,-20.618
1970-01-01 00:00:00.000000253,681.98
1970-01-01 00:00:00.000000254,1310.158
1970-01-01 00:00:00.000000255,1327.36
1970-01-01 00:00:00.000000256,158.234
1970-01-01 00:00:00.000000257,-577.06
1970-01-01 00:00:00.000000258,-724.68
1970-01-01 00:00:00.000000259,-724.68
1970-01-01 00:00:00.000000260,-798.002
1970-01-01 00:00:00.000000261,11.59
1970-01-01 00:00:00.000000262,705.038
1970-01-01 00:00:00.000000263,1325.164
1970-01-01 00:00:00.000000264,367.342
1970-01-01 00:00:00.000000265,-431.026
1970-01-01 00:00:00.000000266,-682.59
1970-01-01 00:00:00.000000267,-491.904
1970-01-01 00:00:00.000000268,-398.208
1970-01-01 00:00:00.000000269,-381.86
1970-01-01 00:00:00.000000270,297.07
1970-01-01 00:00:00.000000271,921.832
1970-01-01 00:00:00.000000272,1361.032
1970-01-01 00:00:00.000000273,993.812
1970-01-01 00:00:00.000000274,-124.806
1970-01-01 00:00:00.000000275,-687.714
1970-01-01 00:00:00.000000276,-875.594
1970-01-01 00:00:00.000000277,-875.594
1970-01-01 00:00:00.000000278,-875.716
1970-01-01 00:00:00.000000279,308.538
1970-01-01 00:00:00.000000280,1203.408
1970-01-01 00:00:00.000000281,1105.076
1970-01-01 00:00:00.000000282,-72.956
1970-01-01 00:00:00.000000283,-692.472
1970-01-01 00:00:00.000000284,-414.434
1970-01-01 00:00:00.000000285,-259.738
1970-01-01 00:00:00.000000286,-269.01
1970-01-01 00:00:00.000000287,-269.01
1970-01-01 00:00:00.000000288,647.332
1970-01-01 00:00:00.000000289,1050.176
1970-01-01 00:00:00.000000290,1538.298
1970-01-01 00:00:00.000000291,470.066
1970-01-01 00:00:00.000000292,-442.006
1970-01-01 00:00:00.000000293,-755.302
1970-01-01 00:00:00.000000294,-1010.282
1970-01-01 00:00:00.000000295,-896.456
1970-01-01 00:00:00.000000296,-896.456
1970-01-01 00:00:00.000000297,487.512
1970-01-01 00:00:00.000000298,971.73
1970-01-01 00:00:00.000000299,837.652
1970-01-01 00:00:00.000000300,-252.418
