time_captured,MSFT_Open
2012-01-04,26.82
2012-01-05,27.38
2012-01-06,27.53
2012-01-09,28.05
2012-01-10,27.93
2012-01-11,27.43
2012-01-12,27.87
2012-01-13,27.93
2012-01-17,28.4
2012-01-18,28.31
2012-01-19,28.16
2012-01-20,28.82
2012-01-23,29.55
2012-01-24,29.47
2012-01-25,29.07
2012-01-26,29.61
2012-01-27,29.45
2012-01-30,28.97
2012-01-31,29.66
2012-02-01,29.79
2012-02-02,29.9
2012-02-03,30.14
2012-02-06,30.04
2012-02-07,30.15
2012-02-08,30.26
2012-02-09,30.68
2012-02-10,30.64
2012-02-13,30.63
2012-02-14,30.33
2012-02-15,30.33
2012-02-16,30.31
2012-02-17,31.2
2012-02-21,31.18
2012-02-22,31.45
2012-02-23,31.2
2012-02-24,31.48
2012-02-27,31.24
2012-02-28,31.41
2012-02-29,31.88
2012-03-01,31.93
2012-03-02,32.31
2012-03-05,32.01
2012-03-06,31.54
2012-03-07,31.67
2012-03-08,32.04
2012-03-09,32.1
2012-03-12,31.97
2012-03-13,32.24
2012-03-14,32.53
2012-03-15,32.79
2012-03-16,32.91
2012-03-19,32.54
2012-03-20,32.1
2012-03-21,31.96
2012-03-22,31.81
2012-03-23,32.1
2012-03-26,32.19
2012-03-27,32.65
2012-03-28,32.52
2012-03-29,32.06
2012-03-30,32.4
2012-04-02,32.22
2012-04-03,32.16
2012-04-04,31.66
2012-04-05,31.15
2012-04-09,31.22
2012-04-10,31.06
2012-04-11,30.43
2012-04-12,30.48
2012-04-13,30.89
2012-04-16,30.99
2012-04-17,31.27
2012-04-18,31.28
2012-04-19,31.13
2012-04-20,32.15
2012-04-23,32.31
2012-04-24,32.21
2012-04-25,31.92
2012-04-26,32.12
2012-04-27,32.12
2012-04-30,31.98
2012-05-01,32.05
2012-05-02,31.85
2012-05-03,31.88
2012-05-04,31.45
2012-05-07,30.7
2012-05-08,30.48
2012-05-09,30.19
2012-05-10,30.86
2012-05-11,30.69
2012-05-14,30.82
2012-05-15,30.64
2012-05-16,30.31
2012-05-17,29.99
2012-05-18,29.79
2012-05-21,29.1
2012-05-22,29.69
2012-05-23,29.35
2012-05-24,29.16
2012-05-25,29.2
2012-05-29,29.38
2012-05-30,29.35
2012-05-31,29.3
2012-06-01,28.76
2012-06-04,28.62
2012-06-05,28.51
2012-06-06,28.88
2012-06-07,29.64
2012-06-08,29.21
2012-06-11,29.73
2012-06-12,29.1
2012-06-13,29.22
2012-06-14,29.33
2012-06-15,29.59
2012-06-18,29.99
2012-06-19,30.19
2012-06-20,30.93
2012-06-21,30.96
2012-06-22,30.3
2012-06-25,30.3
2012-06-26,30.0
2012-06-27,30.19
2012-06-28,29.98
2012-06-29,30.45
2012-07-02,30.62
2012-07-03,30.23
2012-07-05,30.59
2012-07-06,30.61
2012-07-09,30.12
2012-07-10,30.08
2012-07-11,29.71
2012-07-12,29.15
2012-07-13,28.76
2012-07-16,29.48
2012-07-17,29.64
2012-07-18,29.6
2012-07-19,30.51
2012-07-20,31.0
2012-07-23,29.57
2012-07-24,29.24
2012-07-25,29.24
2012-07-26,29.23
2012-07-27,29.48
2012-07-30,29.75
2012-07-31,29.48
2012-08-01,29.59
2012-08-02,29.21
2012-08-03,29.53
2012-08-06,30.0
2012-08-07,30.07
2012-08-08,30.21
2012-08-09,30.39
2012-08-10,30.5
2012-08-13,30.35
2012-08-14,30.3
2012-08-15,30.11
2012-08-16,30.36
2012-08-17,30.92
2012-08-20,30.82
2012-08-21,30.76
2012-08-22,30.59
2012-08-23,30.39
2012-08-24,30.25
2012-08-27,30.93
2012-08-28,30.7
2012-08-29,30.65
2012-08-30,30.53
2012-08-31,30.6
