time_captured,GS_Open
2008-07-29,174.63
2008-07-30,184.0
2008-07-31,183.06
2008-08-01,185.0
2008-08-04,179.66
2008-08-05,178.89
2008-08-06,179.0
2008-08-07,177.22
2008-08-08,172.76
2008-08-11,176.38
2008-08-12,173.3
2008-08-13,167.0
2008-08-14,164.61
2008-08-15,167.4
2008-08-18,162.26
2008-08-19,158.49
2008-08-20,158.13
2008-08-21,155.79
2008-08-22,159.99
2008-08-25,158.59
2008-08-26,155.51
2008-08-27,154.71
2008-08-28,157.24
2008-08-29,160.56
2008-09-02,167.5
2008-09-03,163.97
2008-09-04,166.15
2008-09-05,157.77
2008-09-08,171.0
2008-09-09,167.3
2008-09-10,159.9
2008-09-11,151.36
2008-09-12,154.38
2008-09-15,142.28
2008-09-16,116.0
2008-09-17,120.8
2008-09-18,106.0
2008-09-19,142.51
2008-09-22,132.78
2008-09-23,118.89
2008-09-24,128.44
2008-09-25,134.25
2008-09-26,132.49
2008-09-29,134.49
2008-09-30,126.89
2008-10-01,127.32
2008-10-02,132.17
2008-10-03,132.84
2008-10-06,122.1
2008-10-07,127.51
2008-10-08,110.0
2008-10-09,117.75
2008-10-10,86.11
2008-10-13,98.93
2008-10-14,125.97
2008-10-15,114.45
2008-10-16,115.0
2008-10-17,110.24
2008-10-20,117.55
2008-10-21,120.84
2008-10-22,117.19
2008-10-23,113.98
2008-10-24,96.0
2008-10-27,96.8
2008-10-28,96.99
2008-10-29,93.35
2008-10-30,101.16
2008-10-31,88.98
2008-11-03,92.0
2008-11-04,90.69
2008-11-05,92.78
2008-11-06,85.91
2008-11-07,81.45
2008-11-10,78.77
2008-11-11,69.88
2008-11-12,71.99
2008-11-13,67.79
2008-11-14,67.85
2008-11-17,64.79
2008-11-18,62.73
2008-11-19,61.33
2008-11-20,54.0
2008-11-21,54.54
2008-11-24,56.13
2008-11-25,71.41
2008-11-26,69.63
2008-11-28,75.94
2008-12-01,75.8
2008-12-02,63.65
2008-12-03,63.07
2008-12-04,68.19
2008-12-05,66.76
2008-12-08,73.87
