time_captured,GE_High
2009-03-06,7.25
2009-03-09,7.83
2009-03-10,8.99
2009-03-11,9.36
2009-03-12,9.78
2009-03-13,9.98
2009-03-16,10.36
2009-03-17,10.05
2009-03-18,10.69
2009-03-19,11.35
2009-03-20,10.07
2009-03-23,10.45
2009-03-24,10.91
2009-03-25,11.09
2009-03-26,11.0
2009-03-27,11.03
2009-03-30,11.17
2009-03-31,10.46
2009-04-01,10.26
2009-04-02,11.0
2009-04-03,10.99
2009-04-06,11.23
2009-04-07,10.91
2009-04-08,10.77
2009-04-09,11.63
2009-04-13,12.42
2009-04-14,12.5
2009-04-15,11.95
2009-04-16,12.43
2009-04-17,12.73
2009-04-20,12.12
2009-04-21,11.89
2009-04-22,12.48
2009-04-23,12.19
2009-04-24,12.35
2009-04-27,12.35
2009-04-28,12.28
2009-04-29,12.57
2009-04-30,12.81
2009-05-01,12.85
2009-05-04,13.17
2009-05-05,13.49
2009-05-06,13.8
2009-05-07,14.39
2009-05-08,14.55
2009-05-11,14.42
2009-05-12,14.31
2009-05-13,13.25
2009-05-14,13.18
2009-05-15,13.26
2009-05-18,13.5
2009-05-19,13.96
2009-05-20,14.38
2009-05-21,13.53
2009-05-22,13.4
2009-05-26,13.61
2009-05-27,13.5
2009-05-28,13.28
2009-05-29,13.53
2009-06-01,13.99
2009-06-02,13.85
2009-06-03,13.7
2009-06-04,13.75
2009-06-05,13.98
2009-06-08,13.69
2009-06-09,13.69
2009-06-10,13.77
2009-06-11,13.75
2009-06-12,13.52
2009-06-15,13.36
2009-06-16,13.23
2009-06-17,12.73
2009-06-18,12.24
2009-06-19,12.27
2009-06-22,11.9
2009-06-23,11.66
2009-06-24,12.03
2009-06-25,11.93
2009-06-26,12.0
2009-06-29,11.83
2009-06-30,11.94
2009-07-01,11.9
2009-07-02,11.78
2009-07-06,11.52
2009-07-07,11.54
2009-07-08,11.06
2009-07-09,10.99
2009-07-10,10.85
2009-07-13,11.5
2009-07-14,11.73
2009-07-15,12.28
2009-07-16,12.5
2009-07-17,11.98
2009-07-20,11.93
2009-07-21,11.81
2009-07-22,11.74
2009-07-23,12.08
2009-07-24,12.05
2009-07-27,12.38
2009-07-28,12.7
2009-07-29,12.44
2009-07-30,13.37
2009-07-31,13.45
2009-08-03,13.84
2009-08-04,13.82
2009-08-05,14.1
2009-08-06,14.43
2009-08-07,14.88
2009-08-10,14.83
2009-08-11,14.49
2009-08-12,14.34
2009-08-13,14.42
2009-08-14,14.15
2009-08-17,13.42
2009-08-18,13.65
2009-08-19,13.62
2009-08-20,13.88
2009-08-21,14.28
2009-08-24,14.5
2009-08-25,14.44
2009-08-26,14.3
2009-08-27,14.25
2009-08-28,14.37
2009-08-31,13.98
2009-09-01,13.88
2009-09-02,13.32
2009-09-03,13.48
2009-09-04,13.9
2009-09-08,14.69
2009-09-09,15.03
2009-09-10,14.94
2009-09-11,14.98
2009-09-14,15.41
2009-09-15,16.15
2009-09-16,17.18
2009-09-17,17.52
2009-09-18,16.88
2009-09-21,16.89
2009-09-22,17.19
2009-09-23,17.5
2009-09-24,17.17
2009-09-25,16.57
2009-09-28,16.91
2009-09-29,17.09
2009-09-30,16.86
2009-10-01,16.39
2009-10-02,15.66
2009-10-05,15.91
2009-10-06,16.4
2009-10-07,16.32
2009-10-08,16.55
2009-10-09,16.37
2009-10-12,16.49
2009-10-13,16.54
2009-10-14,16.87
2009-10-15,16.84
2009-10-16,16.41
2009-10-19,16.13
2009-10-20,15.82
2009-10-21,15.95
2009-10-22,15.58
2009-10-23,15.4
2009-10-26,15.45
2009-10-27,15.14
2009-10-28,14.82
2009-10-29,14.99
2009-10-30,14.94
2009-11-02,14.59
2009-11-03,14.47
2009-11-04,14.59
2009-11-05,14.55
2009-11-06,15.49
2009-11-09,15.92
2009-11-10,15.99
2009-11-11,15.97
2009-11-12,15.94
2009-11-13,15.8
2009-11-16,16.19
2009-11-17,16.08
2009-11-18,16.14
2009-11-19,15.96
2009-11-20,15.72
2009-11-23,16.04
2009-11-24,16.2
2009-11-25,16.25
2009-11-27,16.08
2009-11-30,16.06
2009-12-01,16.35
2009-12-02,16.22
2009-12-03,16.31
2009-12-04,16.49
2009-12-07,16.24
2009-12-08,15.93
2009-12-09,15.79
2009-12-10,15.85
2009-12-11,16.0
2009-12-14,16.07
2009-12-15,16.02
2009-12-16,15.85
2009-12-17,15.95
2009-12-18,15.91
2009-12-21,15.79
2009-12-22,15.69
2009-12-23,15.48
2009-12-24,15.48
2009-12-28,15.43
2009-12-29,15.53
2009-12-30,15.37
2009-12-31,15.34
2010-01-04,15.64
2010-01-05,15.67
2010-01-06,15.62
2010-01-07,16.48
2010-01-08,16.69
2010-01-11,16.88
2010-01-12,16.84
2010-01-13,16.92
2010-01-14,16.87
2010-01-15,16.75
2010-01-19,16.75
2010-01-20,16.68
2010-01-21,16.48
2010-01-22,16.76
2010-01-25,16.53
2010-01-26,16.7
2010-01-27,16.39
2010-01-28,16.45
2010-01-29,16.5
2010-02-01,16.34
2010-02-02,16.95
2010-02-03,17.03
2010-02-04,16.5
2010-02-05,16.19
2010-02-08,15.84
