time_captured,CVX_High
2007-12-19,92.12
2007-12-20,92.52
2007-12-21,94.68
2007-12-24,94.79
2007-12-26,95.2
2007-12-27,95.08
2007-12-28,94.93
2007-12-31,94.58
2008-01-02,94.69
2008-01-03,94.84
2008-01-04,95.21
2008-01-07,93.74
2008-01-08,93.38
2008-01-09,92.75
2008-01-10,92.1
2008-01-11,92.57
2008-01-14,91.85
2008-01-15,90.05
2008-01-16,88.38
2008-01-17,87.17
2008-01-18,84.98
2008-01-22,82.37
2008-01-23,81.48
2008-01-24,83.69
2008-01-25,85.0
2008-01-28,83.26
2008-01-29,83.72
2008-01-30,85.23
2008-01-31,84.5
2008-02-01,84.93
2008-02-04,82.98
2008-02-05,80.99
2008-02-06,80.55
2008-02-07,79.24
2008-02-08,79.48
2008-02-11,80.47
2008-02-12,82.33
2008-02-13,82.29
2008-02-14,83.58
2008-02-15,83.69
2008-02-19,85.49
2008-02-20,86.86
2008-02-21,86.51
2008-02-22,85.74
2008-02-25,87.59
2008-02-26,88.4
2008-02-27,88.94
2008-02-28,89.29
2008-02-29,88.6
2008-03-03,87.92
2008-03-04,87.7
2008-03-05,88.86
2008-03-06,89.0
2008-03-07,87.49
2008-03-10,85.97
2008-03-11,88.33
2008-03-12,88.58
2008-03-13,87.61
2008-03-14,87.64
2008-03-17,84.99
2008-03-18,86.12
2008-03-19,86.84
2008-03-20,84.07
2008-03-24,84.79
2008-03-25,84.84
2008-03-26,85.69
2008-03-27,86.95
2008-03-28,85.58
2008-03-31,85.93
2008-04-01,86.89
2008-04-02,88.19
2008-04-03,88.8
2008-04-04,88.66
2008-04-07,89.37
2008-04-08,89.37
2008-04-09,90.53
2008-04-10,90.4
2008-04-11,89.77
2008-04-14,89.4
2008-04-15,90.28
2008-04-16,92.08
2008-04-17,92.62
2008-04-18,93.32
2008-04-21,93.45
2008-04-22,94.5
2008-04-23,94.63
2008-04-24,93.99
2008-04-25,93.24
2008-04-28,93.43
2008-04-29,95.32
2008-04-30,97.28
2008-05-01,95.45
2008-05-02,95.85
2008-05-05,96.87
2008-05-06,96.98
2008-05-07,96.8
2008-05-08,97.85
2008-05-09,97.9
2008-05-12,97.59
2008-05-13,97.98
2008-05-14,99.0
2008-05-15,98.6
2008-05-16,100.47
2008-05-19,102.81
2008-05-20,103.25
2008-05-21,104.63
2008-05-22,103.42
2008-05-23,102.59
2008-05-27,100.28
2008-05-28,100.58
2008-05-29,100.5
2008-05-30,99.49
2008-06-02,99.7
2008-06-03,100.22
2008-06-04,97.72
2008-06-05,100.24
2008-06-06,102.15
2008-06-09,101.3
2008-06-10,101.19
2008-06-11,99.98
2008-06-12,98.87
2008-06-13,99.73
2008-06-16,100.9
2008-06-17,100.89
2008-06-18,100.31
2008-06-19,100.04
2008-06-20,98.08
2008-06-23,99.14
2008-06-24,99.53
2008-06-25,100.17
2008-06-26,100.22
2008-06-27,99.32
2008-06-30,99.52
2008-07-01,99.61
2008-07-02,100.0
2008-07-03,99.43
2008-07-07,99.35
2008-07-08,97.04
2008-07-09,96.79
2008-07-10,96.25
2008-07-11,95.59
2008-07-14,93.31
2008-07-15,92.84
2008-07-16,89.6
2008-07-17,86.75
2008-07-18,87.08
2008-07-21,86.95
2008-07-22,87.51
2008-07-23,85.81
2008-07-24,83.48
2008-07-25,83.97
2008-07-28,83.47
2008-07-29,83.69
2008-07-30,87.42
2008-07-31,86.99
2008-08-01,85.46
2008-08-04,84.76
2008-08-05,83.3
2008-08-06,84.82
2008-08-07,85.31
2008-08-08,84.44
2008-08-11,85.12
2008-08-12,84.84
2008-08-13,86.33
2008-08-14,87.48
2008-08-15,85.72
2008-08-18,85.33
2008-08-19,85.33
2008-08-20,87.0
2008-08-21,89.1
2008-08-22,88.78
2008-08-25,88.58
2008-08-26,86.16
2008-08-27,87.0
2008-08-28,87.49
2008-08-29,87.73
2008-09-02,84.61
2008-09-03,84.44
2008-09-04,84.38
2008-09-05,81.73
2008-09-08,82.35
2008-09-09,81.34
2008-09-10,81.72
2008-09-11,83.0
2008-09-12,84.48
2008-09-15,83.8
2008-09-16,82.37
2008-09-17,83.9
2008-09-18,83.5
2008-09-19,88.11
2008-09-22,89.75
2008-09-23,88.39
2008-09-24,86.59
2008-09-25,88.17
2008-09-26,87.12
2008-09-29,85.51
2008-09-30,82.69
2008-10-01,83.09
2008-10-02,81.99
2008-10-03,83.7
2008-10-06,77.85
2008-10-07,78.55
2008-10-08,77.16
2008-10-09,73.88
2008-10-10,64.76
2008-10-13,70.49
2008-10-14,74.0
2008-10-15,66.48
2008-10-16,64.39
2008-10-17,67.41
2008-10-20,70.0
2008-10-21,69.38
2008-10-22,64.84
2008-10-23,67.1
2008-10-24,65.46
2008-10-27,66.48
2008-10-28,70.87
2008-10-29,74.32
2008-10-30,74.89
2008-10-31,75.98
2008-11-03,74.89
2008-11-04,78.92
2008-11-05,78.35
2008-11-06,74.86
2008-11-07,73.99
2008-11-10,76.08
2008-11-11,75.0
2008-11-12,72.87
2008-11-13,76.11
2008-11-14,77.35
2008-11-17,73.57
2008-11-18,74.05
2008-11-19,75.0
2008-11-20,71.25
2008-11-21,71.04
2008-11-24,77.75
2008-11-25,77.58
2008-11-26,80.0
2008-11-28,79.25
2008-12-01,76.65
2008-12-02,76.95
2008-12-03,75.23
2008-12-04,74.95
2008-12-05,75.27
2008-12-08,79.28
2008-12-09,78.59
2008-12-10,79.4
2008-12-11,81.92
2008-12-12,80.59
2008-12-15,80.61
2008-12-16,80.06
2008-12-17,79.0
2008-12-18,76.74
2008-12-19,74.65
2008-12-22,72.0
2008-12-23,70.79
2008-12-24,69.99
2008-12-26,70.59
2008-12-29,71.73
2008-12-30,73.49
2008-12-31,74.63
2009-01-02,77.3
2009-01-05,78.37
2009-01-06,78.45
2009-01-07,77.07
2009-01-08,74.84
2009-01-09,74.0
2009-01-12,72.61
2009-01-13,72.7
2009-01-14,71.18
2009-01-15,71.25
2009-01-16,72.94
2009-01-20,72.2
2009-01-21,71.49
2009-01-22,70.97
2009-01-23,71.11
2009-01-26,72.39
2009-01-27,72.63
2009-01-28,74.02
2009-01-29,72.69
