time_captured,03_cap_raw_accX
1970-01-01 00:00:00.000000449,-609.146
1970-01-01 00:00:00.000000450,-493.734
1970-01-01 00:00:00.000000451,116.022
1970-01-01 00:00:00.000000452,1082.628
1970-01-01 00:00:00.000000453,1414.59
1970-01-01 00:00:00.000000454,336.476
1970-01-01 00:00:00.000000455,-496.418
1970-01-01 00:00:00.000000456,-342.82
1970-01-01 00:00:00.000000457,-407.236
1970-01-01 00:00:00.000000458,-674.294
1970-01-01 00:00:00.000000459,-412.848
1970-01-01 00:00:00.000000460,49.044
1970-01-01 00:00:00.000000461,1163.636
1970-01-01 00:00:00.000000462,1566.114
1970-01-01 00:00:00.000000463,-660.752
1970-01-01 00:00:00.000000464,-864.98
1970-01-01 00:00:00.000000465,-414.19
1970-01-01 00:00:00.000000466,-299.144
1970-01-01 00:00:00.000000467,-396.622
1970-01-01 00:00:00.000000468,-471.53
1970-01-01 00:00:00.000000469,49.776
1970-01-01 00:00:00.000000470,1129.964
1970-01-01 00:00:00.000000471,1657.004
1970-01-01 00:00:00.000000472,413.58
1970-01-01 00:00:00.000000473,-964.898
1970-01-01 00:00:00.000000474,-382.47
1970-01-01 00:00:00.000000475,-306.708
1970-01-01 00:00:00.000000476,-435.418
1970-01-01 00:00:00.000000477,-337.208
1970-01-01 00:00:00.000000478,28.426
1970-01-01 00:00:00.000000479,875.594
1970-01-01 00:00:00.000000480,1426.912
1970-01-01 00:00:00.000000481,453.962
1970-01-01 00:00:00.000000482,-417.85
1970-01-01 00:00:00.000000483,-386.862
1970-01-01 00:00:00.000000484,-509.96
1970-01-01 00:00:00.000000485,-741.15
1970-01-01 00:00:00.000000486,-316.468
1970-01-01 00:00:00.000000487,-81.252
1970-01-01 00:00:00.000000488,1333.582
1970-01-01 00:00:00.000000489,1425.082
1970-01-01 00:00:00.000000490,295.118
1970-01-01 00:00:00.000000491,-822.524
1970-01-01 00:00:00.000000492,-91.256
1970-01-01 00:00:00.000000493,-303.292
1970-01-01 00:00:00.000000494,-678.564
1970-01-01 00:00:00.000000495,-462.014
1970-01-01 00:00:00.000000496,224.846
1970-01-01 00:00:00.000000497,1393.972
1970-01-01 00:00:00.000000498,1509.018
1970-01-01 00:00:00.000000499,452.498
1970-01-01 00:00:00.000000500,-854.366
1970-01-01 00:00:00.000000501,-247.904
1970-01-01 00:00:00.000000502,-378.566
1970-01-01 00:00:00.000000503,-717.482
1970-01-01 00:00:00.000000504,-306.22
1970-01-01 00:00:00.000000505,148.718
1970-01-01 00:00:00.000000506,1392.02
1970-01-01 00:00:00.000000507,1481.568
1970-01-01 00:00:00.000000508,-630.496
1970-01-01 00:00:00.000000509,-777.14
1970-01-01 00:00:00.000000510,-279.502
1970-01-01 00:00:00.000000511,-342.21
1970-01-01 00:00:00.000000512,-732.488
1970-01-01 00:00:00.000000513,-128.222
1970-01-01 00:00:00.000000514,1102.636
