time_captured,IBM_Open
2008-06-11,125.9
2008-06-12,123.85
2008-06-13,124.42
2008-06-16,125.46
2008-06-17,127.1
2008-06-18,124.55
2008-06-19,123.67
2008-06-20,124.81
2008-06-23,123.0
2008-06-24,123.08
2008-06-25,123.67
2008-06-26,123.43
2008-06-27,121.02
2008-06-30,120.03
2008-07-01,117.5
2008-07-02,118.41
2008-07-03,119.95
2008-07-07,119.62
2008-07-08,120.55
2008-07-09,124.21
2008-07-10,120.66
2008-07-11,121.8
2008-07-14,123.51
2008-07-15,121.0
2008-07-16,122.81
2008-07-17,126.39
2008-07-18,125.81
2008-07-21,129.83
2008-07-22,127.5
2008-07-23,129.78
2008-07-24,129.06
2008-07-25,129.0
2008-07-28,127.69
2008-07-29,126.54
2008-07-30,128.12
2008-07-31,128.1
2008-08-01,128.52
2008-08-04,126.77
2008-08-05,128.2
2008-08-06,128.45
2008-08-07,128.3
2008-08-08,128.5
2008-08-11,128.43
2008-08-12,126.01
2008-08-13,125.0
2008-08-14,125.01
2008-08-15,127.07
2008-08-18,126.49
2008-08-19,123.63
2008-08-20,123.5
2008-08-21,121.58
2008-08-22,123.3
2008-08-25,124.48
2008-08-26,122.58
2008-08-27,122.42
2008-08-28,124.06
2008-08-29,123.71
2008-09-02,122.87
2008-09-03,118.34
2008-09-04,117.99
2008-09-05,114.15
2008-09-08,118.0
2008-09-09,117.78
2008-09-10,116.4
2008-09-11,116.6
2008-09-12,118.66
2008-09-15,115.36
2008-09-16,113.73
2008-09-17,114.79
2008-09-18,112.91
2008-09-19,119.59
2008-09-22,118.45
2008-09-23,116.21
2008-09-24,116.93
2008-09-25,117.75
2008-09-26,117.21
2008-09-29,117.44
2008-09-30,115.83
2008-10-01,115.51
2008-10-02,108.48
2008-10-03,105.16
2008-10-06,101.21
2008-10-07,101.5
2008-10-08,91.51
2008-10-09,95.29
2008-10-10,87.41
2008-10-13,90.44
2008-10-14,96.42
2008-10-15,92.77
2008-10-16,89.38
2008-10-17,91.75
2008-10-20,92.21
2008-10-21,92.22
2008-10-22,87.0
2008-10-23,84.09
2008-10-24,79.27
2008-10-27,80.27
2008-10-28,81.4
2008-10-29,87.74
2008-10-30,91.01
2008-10-31,90.9
2008-11-03,92.64
2008-11-04,94.76
2008-11-05,92.93
2008-11-06,87.68
2008-11-07,85.78
2008-11-10,87.99
2008-11-11,83.24
2008-11-12,80.73
2008-11-13,79.62
2008-11-14,82.63
2008-11-17,79.4
2008-11-18,79.13
2008-11-19,79.93
2008-11-20,75.0
2008-11-21,72.74
2008-11-24,75.74
2008-11-25,81.37
2008-11-26,79.52
2008-11-28,81.0
2008-12-01,80.95
2008-12-02,77.8
2008-12-03,78.62
2008-12-04,80.03
2008-12-05,76.78
2008-12-08,82.57
2008-12-09,83.82
2008-12-10,83.95
2008-12-11,81.5
2008-12-12,78.68
2008-12-15,82.51
2008-12-16,83.11
2008-12-17,85.44
2008-12-18,85.77
2008-12-19,85.22
2008-12-22,83.27
2008-12-23,82.35
2008-12-24,80.55
2008-12-26,80.93
2008-12-29,81.72
2008-12-30,81.83
2008-12-31,83.5
2009-01-02,83.89
2009-01-05,86.42
2009-01-06,87.11
2009-01-07,87.83
2009-01-08,87.81
2009-01-09,87.05
2009-01-12,84.57
2009-01-13,85.5
2009-01-14,84.2
2009-01-15,83.61
2009-01-16,84.61
2009-01-20,84.76
2009-01-21,86.29
2009-01-22,89.83
2009-01-23,88.4
2009-01-26,89.77
2009-01-27,91.77
2009-01-28,92.7
2009-01-29,93.58
2009-01-30,92.23
2009-02-02,90.6
2009-02-03,91.07
2009-02-04,93.74
2009-02-05,92.13
2009-02-06,92.51
2009-02-09,95.93
2009-02-10,95.58
2009-02-11,93.48
2009-02-12,94.41
2009-02-13,94.79
2009-02-17,91.73
2009-02-18,91.17
2009-02-19,91.06
2009-02-20,88.05
2009-02-23,89.3
2009-02-24,84.63
2009-02-25,86.0
2009-02-26,86.85
2009-02-27,88.12
2009-03-02,91.17
2009-03-03,90.16
2009-03-04,88.97
2009-03-05,88.13
2009-03-06,87.47
2009-03-09,84.7
2009-03-10,85.11
2009-03-11,87.51
2009-03-12,88.59
2009-03-13,90.4
2009-03-16,91.65
2009-03-17,91.11
2009-03-18,89.46
2009-03-19,92.84
2009-03-20,93.16
2009-03-23,93.7
2009-03-24,97.69
2009-03-25,98.47
2009-03-26,98.47
2009-03-27,95.99
2009-03-30,92.0
2009-03-31,94.96
2009-04-01,96.13
2009-04-02,99.15
2009-04-03,99.73
2009-04-06,100.9
2009-04-07,100.17
2009-04-08,99.45
2009-04-09,102.01
2009-04-13,100.28
2009-04-14,99.08
2009-04-15,98.23
2009-04-16,99.74
2009-04-17,101.18
2009-04-20,100.29
2009-04-21,98.41
2009-04-22,101.17
2009-04-23,102.65
2009-04-24,101.17
2009-04-27,99.61
2009-04-28,99.36
2009-04-29,101.98
2009-04-30,104.55
2009-05-01,103.78
2009-05-04,105.26
2009-05-05,106.0
2009-05-06,105.23
2009-05-07,104.65
2009-05-08,103.58
2009-05-11,101.09
2009-05-12,102.98
2009-05-13,102.88
2009-05-14,101.72
2009-05-15,100.9
2009-05-18,102.0
2009-05-19,104.33
2009-05-20,105.51
2009-05-21,103.07
2009-05-22,102.67
2009-05-26,101.32
2009-05-27,104.34
2009-05-28,103.34
2009-05-29,104.47
2009-06-01,106.94
2009-06-02,107.51
2009-06-03,106.53
2009-06-04,106.17
2009-06-05,107.33
2009-06-08,106.64
2009-06-09,108.15
2009-06-10,109.2
2009-06-11,108.75
2009-06-12,108.4
2009-06-15,107.63
2009-06-16,108.47
2009-06-17,107.46
2009-06-18,106.93
2009-06-19,106.31
2009-06-22,105.18
2009-06-23,104.75
2009-06-24,105.39
2009-06-25,103.7
2009-06-26,106.5
2009-06-29,105.99
2009-06-30,105.69
2009-07-01,105.0
2009-07-02,103.8
2009-07-06,101.57
2009-07-07,101.34
2009-07-08,100.29
2009-07-09,101.12
2009-07-10,100.97
2009-07-13,101.28
2009-07-14,103.42
2009-07-15,104.75
2009-07-16,106.84
2009-07-17,113.41
2009-07-20,114.53
2009-07-21,115.87
2009-07-22,116.18
2009-07-23,115.06
2009-07-24,116.68
2009-07-27,116.95
2009-07-28,116.63
2009-07-29,116.36
2009-07-30,118.0
2009-07-31,117.56
2009-08-03,118.88
2009-08-04,119.17
2009-08-05,118.52
2009-08-06,118.31
2009-08-07,118.11
2009-08-10,118.17
2009-08-11,118.03
2009-08-12,117.6
2009-08-13,119.28
2009-08-14,119.29
2009-08-17,116.69
2009-08-18,116.81
2009-08-19,116.36
2009-08-20,118.44
2009-08-21,119.65
2009-08-24,119.92
2009-08-25,119.25
2009-08-26,118.64
2009-08-27,118.73
2009-08-28,120.1
2009-08-31,117.1
2009-09-01,117.67
2009-09-02,116.34
2009-09-03,116.55
2009-09-04,116.58
2009-09-08,117.94
2009-09-09,117.03
2009-09-10,116.99
2009-09-11,117.8
2009-09-14,117.0
2009-09-15,118.78
2009-09-16,119.5
2009-09-17,121.14
2009-09-18,122.45
2009-09-21,121.03
2009-09-22,122.09
2009-09-23,121.26
2009-09-24,120.69
2009-09-25,120.27
2009-09-28,120.52
2009-09-29,119.36
2009-09-30,119.18
2009-10-01,119.39
2009-10-02,117.4
2009-10-05,118.9
2009-10-06,120.39
2009-10-07,121.12
2009-10-08,122.52
2009-10-09,122.43
2009-10-12,125.44
2009-10-13,126.22
2009-10-14,127.71
2009-10-15,127.56
2009-10-16,123.15
2009-10-19,121.76
2009-10-20,123.36
2009-10-21,122.18
2009-10-22,120.75
2009-10-23,122.95
2009-10-26,120.61
2009-10-27,120.18
2009-10-28,120.47
2009-10-29,122.15
2009-10-30,122.63
2009-11-02,120.77
2009-11-03,119.53
2009-11-04,121.46
2009-11-05,122.12
2009-11-06,122.51
2009-11-09,123.92
2009-11-10,125.3
2009-11-11,126.55
2009-11-12,126.61
2009-11-13,126.41
2009-11-16,127.17
2009-11-17,127.43
2009-11-18,128.05
2009-11-19,127.28
2009-11-20,127.17
2009-11-23,127.7
2009-11-24,127.9
