time_captured,AXP_Volume
2008-01-17,16980920
2008-01-18,18525384
2008-01-22,19895128
2008-01-23,19735615
2008-01-24,15543303
2008-01-25,12691370
2008-01-28,9410140
2008-01-29,12617272
2008-01-30,12646051
2008-01-31,16152085
2008-02-01,10495258
2008-02-04,9420473
2008-02-05,11305128
2008-02-06,9448012
2008-02-07,15578863
2008-02-08,16275058
2008-02-11,10733949
2008-02-12,8276200
2008-02-13,10825442
2008-02-14,6217617
2008-02-15,11127197
2008-02-19,8030730
2008-02-20,6338645
2008-02-21,10633364
2008-02-22,7695176
2008-02-25,8155826
2008-02-26,9715791
2008-02-27,6636478
2008-02-28,8205512
2008-02-29,14317767
2008-03-03,10682070
2008-03-04,12459043
2008-03-05,8616892
2008-03-06,11074754
2008-03-07,9754833
2008-03-10,10032478
2008-03-11,14474147
2008-03-12,11260635
2008-03-13,12274923
2008-03-14,10974755
2008-03-17,15240439
2008-03-18,12815842
2008-03-19,14098296
2008-03-20,17558786
2008-03-24,13441269
2008-03-25,9942132
2008-03-26,11113376
2008-03-27,8396692
2008-03-28,9102751
2008-03-31,8371701
2008-04-01,14236934
2008-04-02,8346938
2008-04-03,6052954
2008-04-04,5830040
2008-04-07,6904061
2008-04-08,7293525
2008-04-09,9020656
2008-04-10,8369633
2008-04-11,8960354
2008-04-14,8764193
2008-04-15,7057575
2008-04-16,7715501
2008-04-17,6868278
2008-04-18,12285911
2008-04-21,6825130
2008-04-22,10700158
2008-04-23,8347421
2008-04-24,11118075
2008-04-25,15835751
2008-04-28,9013847
2008-04-29,7715889
2008-04-30,11022550
2008-05-01,16207008
2008-05-02,13647605
2008-05-05,9378019
2008-05-06,11286961
2008-05-07,12677129
2008-05-08,7996554
2008-05-09,9690354
2008-05-12,7024063
2008-05-13,8943992
2008-05-14,7760295
2008-05-15,11201837
2008-05-16,9615665
2008-05-19,9107948
2008-05-20,10335628
2008-05-21,13497827
2008-05-22,9043078
2008-05-23,8456140
2008-05-27,5678689
2008-05-28,7755320
2008-05-29,8146826
2008-05-30,7377061
2008-06-02,10649777
2008-06-03,15719904
2008-06-04,21045982
2008-06-05,13046937
2008-06-06,13926672
2008-06-09,12490432
2008-06-10,9560312
2008-06-11,10970608
2008-06-12,10414461
2008-06-13,7645316
2008-06-16,13745354
2008-06-17,13701972
2008-06-18,13333114
2008-06-19,12893589
2008-06-20,14219995
2008-06-23,10234666
2008-06-24,12375902
2008-06-25,20927630
2008-06-26,25421897
2008-06-27,22203115
2008-06-30,15451940
2008-07-01,23788978
2008-07-02,16654117
2008-07-03,10761354
2008-07-07,15778017
2008-07-08,15838756
2008-07-09,13857375
2008-07-10,13120897
2008-07-11,19191748
2008-07-14,15879340
2008-07-15,25454705
2008-07-16,19666674
2008-07-17,23203429
2008-07-18,16856319
2008-07-21,16198576
2008-07-22,48554243
2008-07-23,29412162
2008-07-24,22297419
2008-07-25,19238164
2008-07-28,16145758
2008-07-29,17865629
2008-07-30,14827882
2008-07-31,12855969
2008-08-01,9724353
2008-08-04,10245606
2008-08-05,14763621
2008-08-06,13702154
2008-08-07,18416628
2008-08-08,15760575
2008-08-11,11970188
2008-08-12,13758061
2008-08-13,13990082
2008-08-14,11987082
2008-08-15,15295068
2008-08-18,12374739
2008-08-19,13365277
2008-08-20,13004067
2008-08-21,9544861
2008-08-22,13721319
2008-08-25,10408819
2008-08-26,6985153
2008-08-27,8549141
2008-08-28,12814165
2008-08-29,9396069
2008-09-02,11079623
2008-09-03,11751935
2008-09-04,19473366
