time_captured,PG_Open
2007-10-08,70.05
2007-10-09,71.18
2007-10-10,71.15
2007-10-11,71.65
2007-10-12,71.93
2007-10-15,71.65
2007-10-16,70.98
2007-10-17,70.64
2007-10-18,70.55
2007-10-19,71.0
2007-10-22,70.6
2007-10-23,71.17
2007-10-24,71.16
2007-10-25,71.21
2007-10-26,71.6
2007-10-29,71.95
2007-10-30,69.53
2007-10-31,69.35
2007-11-01,69.22
2007-11-02,69.05
2007-11-05,69.39
2007-11-06,70.4
2007-11-07,70.44
2007-11-08,69.76
2007-11-09,70.55
2007-11-12,70.44
2007-11-13,71.26
2007-11-14,71.98
2007-11-15,71.4
2007-11-16,72.46
2007-11-19,72.87
2007-11-20,72.98
2007-11-21,73.05
2007-11-23,72.88
2007-11-26,73.0
2007-11-27,72.71
2007-11-28,72.99
2007-11-29,73.82
2007-11-30,74.6
2007-12-03,74.0
2007-12-04,73.23
2007-12-05,73.65
2007-12-06,73.78
2007-12-07,74.24
2007-12-10,74.17
2007-12-11,74.59
2007-12-12,74.65
2007-12-13,74.45
2007-12-14,74.37
2007-12-17,73.73
2007-12-18,73.65
2007-12-19,72.78
2007-12-20,73.38
2007-12-21,73.41
2007-12-24,74.03
2007-12-26,73.9
2007-12-27,73.8
2007-12-28,74.06
2007-12-31,74.25
2008-01-02,73.59
2008-01-03,72.41
2008-01-04,71.7
2008-01-07,72.24
2008-01-08,72.7
2008-01-09,72.54
2008-01-10,72.07
2008-01-11,72.3
2008-01-14,70.82
2008-01-15,70.0
2008-01-16,69.25
2008-01-17,68.95
2008-01-18,68.4
2008-01-22,64.19
2008-01-23,62.74
2008-01-24,66.64
2008-01-25,66.83
2008-01-28,65.53
2008-01-29,65.57
2008-01-30,64.7
2008-01-31,63.79
2008-02-01,66.15
2008-02-04,66.56
2008-02-05,66.06
2008-02-06,65.02
2008-02-07,65.08
2008-02-08,65.55
2008-02-11,64.91
2008-02-12,66.43
2008-02-13,67.39
2008-02-14,67.14
2008-02-15,66.63
2008-02-19,66.93
2008-02-20,66.15
2008-02-21,66.27
2008-02-22,66.19
2008-02-25,66.12
2008-02-26,66.5
2008-02-27,67.14
2008-02-28,66.76
2008-02-29,66.55
2008-03-03,66.15
2008-03-04,65.95
2008-03-05,66.29
2008-03-06,66.5
2008-03-07,66.12
2008-03-10,65.75
2008-03-11,65.81
2008-03-12,66.64
2008-03-13,66.84
2008-03-14,67.71
2008-03-17,66.0
2008-03-18,67.8
2008-03-19,68.74
2008-03-20,68.49
2008-03-24,69.7
2008-03-25,69.98
2008-03-26,69.32
2008-03-27,69.69
2008-03-28,69.55
2008-03-31,69.56
2008-04-01,70.41
2008-04-02,71.06
2008-04-03,70.2
2008-04-04,70.47
2008-04-07,70.97
2008-04-08,70.01
2008-04-09,70.15
2008-04-10,70.09
2008-04-11,69.75
2008-04-14,70.12
2008-04-15,70.39
2008-04-16,70.68
2008-04-17,68.72
2008-04-18,67.94
2008-04-21,66.91
2008-04-22,67.51
2008-04-23,67.87
2008-04-24,67.05
2008-04-25,67.27
2008-04-28,66.62
2008-04-29,66.21
2008-04-30,67.05
2008-05-01,67.03
2008-05-02,67.1
2008-05-05,66.7
2008-05-06,66.21
2008-05-07,66.59
2008-05-08,66.1
2008-05-09,65.62
2008-05-12,65.43
2008-05-13,65.5
2008-05-14,65.93
2008-05-15,65.28
2008-05-16,66.44
2008-05-19,66.51
2008-05-20,66.63
2008-05-21,66.08
2008-05-22,65.32
2008-05-23,65.38
2008-05-27,65.38
2008-05-28,65.32
2008-05-29,64.88
2008-05-30,65.53
2008-06-02,65.92
2008-06-03,65.46
