time_captured,UTX_Volume
2008-07-03,5402814
2008-07-07,7265474
2008-07-08,6953298
2008-07-09,8426342
2008-07-10,6793490
2008-07-11,8627503
2008-07-14,4474110
2008-07-15,6746772
2008-07-16,8582655
2008-07-17,14445528
2008-07-18,7980433
2008-07-21,4690192
2008-07-22,6564889
2008-07-23,6400203
2008-07-24,6514667
2008-07-25,5085526
2008-07-28,4648173
2008-07-29,5699865
2008-07-30,5697818
2008-07-31,6844254
2008-08-01,6094318
2008-08-04,5049725
2008-08-05,5641347
2008-08-06,7149035
2008-08-07,6972189
2008-08-08,5910037
2008-08-11,4739638
2008-08-12,4388740
2008-08-13,4356311
2008-08-14,4571887
2008-08-15,4445872
2008-08-18,4439931
2008-08-19,3936491
2008-08-20,4520369
2008-08-21,4074700
2008-08-22,4098097
2008-08-25,4590249
2008-08-26,3123689
2008-08-27,3677955
2008-08-28,3580482
2008-08-29,3986793
2008-09-02,5534937
2008-09-03,5820280
2008-09-04,8575525
2008-09-05,6804368
2008-09-08,7363412
2008-09-09,7441658
2008-09-10,6220487
2008-09-11,7178230
2008-09-12,5847898
2008-09-15,8135170
2008-09-16,9594714
2008-09-17,9021327
2008-09-18,10685591
2008-09-19,11065174
2008-09-22,7456328
2008-09-23,6569962
2008-09-24,5876987
2008-09-25,8027784
2008-09-26,6114168
2008-09-29,9811951
2008-09-30,9067659
2008-10-01,8266925
2008-10-02,10462844
2008-10-03,10050719
2008-10-06,12763936
2008-10-07,10923963
2008-10-08,13993503
2008-10-09,11780357
2008-10-10,20988746
2008-10-13,13734560
2008-10-14,15726551
2008-10-15,14552151
2008-10-16,16098697
2008-10-17,11428230
2008-10-20,10999636
2008-10-21,7271010
2008-10-22,9802833
2008-10-23,12022837
2008-10-24,9156024
2008-10-27,8294606
2008-10-28,11082878
2008-10-29,11542460
2008-10-30,8066888
2008-10-31,7419992
2008-11-03,4123799
2008-11-04,8037682
2008-11-05,8106956
2008-11-06,8765173
2008-11-07,6065678
2008-11-10,6987414
2008-11-11,6738053
2008-11-12,6928615
2008-11-13,11826591
2008-11-14,7227658
2008-11-17,8031223
2008-11-18,9062442
2008-11-19,9944272
2008-11-20,16485368
2008-11-21,15812599
2008-11-24,9997315
2008-11-25,12945211
2008-11-26,8616248
2008-11-28,3976194
2008-12-01,9254006
2008-12-02,9453238
2008-12-03,7981152
2008-12-04,9719405
2008-12-05,9426610
2008-12-08,9986183
2008-12-09,9758685
2008-12-10,7186833
2008-12-11,6737414
2008-12-12,9972782
2008-12-15,7989002
2008-12-16,9017811
2008-12-17,6541660
2008-12-18,7942246
2008-12-19,12120115
2008-12-22,7898453
2008-12-23,5871941
2008-12-24,1416493
2008-12-26,1981963
2008-12-29,3911536
2008-12-30,4828844
2008-12-31,4630430
2009-01-02,4691471
2009-01-05,5462206
2009-01-06,5160025
2009-01-07,5804211
2009-01-08,5972436
2009-01-09,4423938
2009-01-12,4525688
2009-01-13,6984108
2009-01-14,5923339
2009-01-15,6364298
2009-01-16,8183635
2009-01-20,7910445
2009-01-21,11964477
2009-01-22,7861755
2009-01-23,6223916
