time_captured,02_on_raw_accX
1970-01-01 00:00:00.000000223,-488.122
1970-01-01 00:00:00.000000224,-281.454
1970-01-01 00:00:00.000000225,1264.53
1970-01-01 00:00:00.000000226,1043.344
1970-01-01 00:00:00.000000227,7.564
1970-01-01 00:00:00.000000228,-972.828
1970-01-01 00:00:00.000000229,-557.784
1970-01-01 00:00:00.000000230,-288.042
1970-01-01 00:00:00.000000231,-468.114
1970-01-01 00:00:00.000000232,-295.85
1970-01-01 00:00:00.000000233,485.316
1970-01-01 00:00:00.000000234,1266.36
1970-01-01 00:00:00.000000235,1036.756
1970-01-01 00:00:00.000000236,-73.932
1970-01-01 00:00:00.000000237,-969.412
1970-01-01 00:00:00.000000238,-488.488
1970-01-01 00:00:00.000000239,-497.272
1970-01-01 00:00:00.000000240,-628.91
1970-01-01 00:00:00.000000241,-327.448
1970-01-01 00:00:00.000000242,-115.168
1970-01-01 00:00:00.000000243,1332.118
1970-01-01 00:00:00.000000244,943.914
1970-01-01 00:00:00.000000245,-315.736
1970-01-01 00:00:00.000000246,-968.436
1970-01-01 00:00:00.000000247,-557.418
1970-01-01 00:00:00.000000248,-454.938
1970-01-01 00:00:00.000000249,-590.602
1970-01-01 00:00:00.000000250,-126.026
1970-01-01 00:00:00.000000251,864.858
1970-01-01 00:00:00.000000252,1082.628
1970-01-01 00:00:00.000000253,554.612
1970-01-01 00:00:00.000000254,-356.24
1970-01-01 00:00:00.000000255,-967.216
1970-01-01 00:00:00.000000256,-424.316
1970-01-01 00:00:00.000000257,-445.788
1970-01-01 00:00:00.000000258,-710.894
1970-01-01 00:00:00.000000259,-66.368
1970-01-01 00:00:00.000000260,130.296
1970-01-01 00:00:00.000000261,1100.928
1970-01-01 00:00:00.000000262,106.506
1970-01-01 00:00:00.000000263,-562.786
1970-01-01 00:00:00.000000264,-596.946
1970-01-01 00:00:00.000000265,-309.27
1970-01-01 00:00:00.000000266,-511.302
1970-01-01 00:00:00.000000267,-709.43
1970-01-01 00:00:00.000000268,-50.63
1970-01-01 00:00:00.000000269,198.738
1970-01-01 00:00:00.000000270,939.522
1970-01-01 00:00:00.000000271,134.322
1970-01-01 00:00:00.000000272,-550.342
1970-01-01 00:00:00.000000273,-550.342
1970-01-01 00:00:00.000000274,-255.712
1970-01-01 00:00:00.000000275,-559.004
1970-01-01 00:00:00.000000276,-693.448
1970-01-01 00:00:00.000000277,-174.704
1970-01-01 00:00:00.000000278,430.172
1970-01-01 00:00:00.000000279,1135.82
1970-01-01 00:00:00.000000280,21.472
1970-01-01 00:00:00.000000281,-671.488
1970-01-01 00:00:00.000000282,-474.214
1970-01-01 00:00:00.000000283,-291.092
1970-01-01 00:00:00.000000284,-452.254
1970-01-01 00:00:00.000000285,-517.524
1970-01-01 00:00:00.000000286,-175.314
1970-01-01 00:00:00.000000287,595.726
1970-01-01 00:00:00.000000288,1191.33
1970-01-01 00:00:00.000000289,12.078
1970-01-01 00:00:00.000000290,-1019.432
1970-01-01 00:00:00.000000291,-734.318
1970-01-01 00:00:00.000000292,-498.37
1970-01-01 00:00:00.000000293,-518.5
