time_captured,MCD_Low
2008-02-27,55.1
2008-02-28,54.3
2008-02-29,53.94
2008-03-03,52.67
2008-03-04,52.62
2008-03-05,53.27
2008-03-06,53.0
2008-03-07,52.0
2008-03-10,52.93
2008-03-11,53.45
2008-03-12,53.6
2008-03-13,53.4
2008-03-14,53.75
2008-03-17,53.01
2008-03-18,54.01
2008-03-19,53.59
2008-03-20,53.66
2008-03-24,54.4
2008-03-25,55.36
2008-03-26,55.2
2008-03-27,55.42
2008-03-28,55.23
2008-03-31,55.56
2008-04-01,56.0
2008-04-02,56.37
2008-04-03,55.77
2008-04-04,55.4
2008-04-07,55.45
2008-04-08,55.4
2008-04-09,55.39
2008-04-10,55.59
2008-04-11,55.14
2008-04-14,55.23
2008-04-15,55.66
2008-04-16,55.7
2008-04-17,56.86
2008-04-18,57.55
2008-04-21,58.05
2008-04-22,57.42
2008-04-23,58.1
2008-04-24,58.29
2008-04-25,59.26
2008-04-28,59.2
2008-04-29,59.15
2008-04-30,59.54
2008-05-01,59.35
2008-05-02,60.8
2008-05-05,60.3
2008-05-06,60.09
2008-05-07,59.25
2008-05-08,58.79
2008-05-09,59.06
2008-05-12,59.3
2008-05-13,60.76
2008-05-14,60.27
2008-05-15,59.66
2008-05-16,60.27
2008-05-19,60.4
2008-05-20,59.14
2008-05-21,58.41
2008-05-22,58.42
2008-05-23,57.31
2008-05-27,57.55
2008-05-28,58.35
2008-05-29,58.62
2008-05-30,58.8
2008-06-02,58.07
2008-06-03,57.21
2008-06-04,57.43
2008-06-05,57.77
2008-06-06,56.84
2008-06-09,58.0
2008-06-10,59.01
2008-06-11,58.64
2008-06-12,58.92
2008-06-13,59.4
2008-06-16,59.39
2008-06-17,59.07
2008-06-18,58.05
2008-06-19,57.87
2008-06-20,57.35
2008-06-23,56.94
2008-06-24,56.08
2008-06-25,56.78
2008-06-26,56.41
2008-06-27,55.17
2008-06-30,55.52
2008-07-01,55.55
2008-07-02,57.18
2008-07-03,56.26
2008-07-07,56.64
2008-07-08,57.33
2008-07-09,58.28
2008-07-10,58.14
2008-07-11,57.19
2008-07-14,57.51
2008-07-15,57.33
2008-07-16,58.2
2008-07-17,59.01
2008-07-18,59.91
2008-07-21,59.19
2008-07-22,59.5
2008-07-23,58.52
2008-07-24,58.0
2008-07-25,58.35
2008-07-28,57.7
2008-07-29,57.97
2008-07-30,59.9
2008-07-31,59.69
2008-08-01,59.44
2008-08-04,59.77
2008-08-05,60.68
2008-08-06,61.42
2008-08-07,61.31
2008-08-08,61.55
2008-08-11,64.77
2008-08-12,63.62
2008-08-13,61.94
2008-08-14,62.0
2008-08-15,63.23
2008-08-18,63.04
2008-08-19,62.25
2008-08-20,61.96
2008-08-21,61.9
2008-08-22,62.69
2008-08-25,61.9
2008-08-26,61.21
2008-08-27,61.37
2008-08-28,61.71
2008-08-29,61.81
2008-09-02,62.39
2008-09-03,61.2
2008-09-04,59.96
2008-09-05,59.56
2008-09-08,60.93
2008-09-09,62.99
2008-09-10,62.59
2008-09-11,62.26
2008-09-12,63.57
2008-09-15,63.08
2008-09-16,63.11
2008-09-17,62.39
2008-09-18,62.09
2008-09-19,63.6
2008-09-22,62.22
2008-09-23,61.31
2008-09-24,60.7
2008-09-25,61.79
2008-09-26,62.05
2008-09-29,59.86
2008-09-30,59.88
2008-10-01,60.86
2008-10-02,61.17
2008-10-03,60.02
2008-10-06,55.45
2008-10-07,52.73
2008-10-08,53.25
2008-10-09,52.08
2008-10-10,45.79
2008-10-13,54.75
2008-10-14,54.64
2008-10-15,51.32
2008-10-16,50.8
2008-10-17,52.6
2008-10-20,54.28
2008-10-21,54.76
2008-10-22,53.6
2008-10-23,52.57
2008-10-24,51.7
2008-10-27,51.64
2008-10-28,52.23
2008-10-29,56.01
2008-10-30,56.85
2008-10-31,56.44
2008-11-03,56.59
2008-11-04,56.39
2008-11-05,55.75
2008-11-06,53.44
2008-11-07,53.93
2008-11-10,55.9
2008-11-11,55.62
2008-11-12,53.75
2008-11-13,52.0
2008-11-14,54.63
2008-11-17,55.5
2008-11-18,54.8
2008-11-19,55.26
2008-11-20,52.58
2008-11-21,51.15
2008-11-24,55.0
2008-11-25,54.83
2008-11-26,55.3
2008-11-28,57.06
2008-12-01,55.99
2008-12-02,55.44
2008-12-03,56.5
2008-12-04,58.77
2008-12-05,58.55
2008-12-08,60.4
2008-12-09,59.03
2008-12-10,59.76
2008-12-11,60.62
2008-12-12,59.52
2008-12-15,60.0
2008-12-16,60.91
2008-12-17,62.18
2008-12-18,60.9
2008-12-19,60.16
2008-12-22,60.07
2008-12-23,60.51
2008-12-24,60.75
2008-12-26,60.83
2008-12-29,59.79
2008-12-30,60.4
2008-12-31,61.32
2009-01-02,62.2
2009-01-05,62.89
