time_captured,01_off_raw_accZ
1970-01-01 00:00:00.000000217,962.092
1970-01-01 00:00:00.000000218,961.604
1970-01-01 00:00:00.000000219,968.192
1970-01-01 00:00:00.000000220,964.41
1970-01-01 00:00:00.000000221,959.652
1970-01-01 00:00:00.000000222,966.972
1970-01-01 00:00:00.000000223,963.19
1970-01-01 00:00:00.000000224,963.068
1970-01-01 00:00:00.000000225,964.776
1970-01-01 00:00:00.000000226,965.264
1970-01-01 00:00:00.000000227,961.36
1970-01-01 00:00:00.000000228,963.556
1970-01-01 00:00:00.000000229,965.63
1970-01-01 00:00:00.000000230,961.604
1970-01-01 00:00:00.000000231,961.97
1970-01-01 00:00:00.000000232,961.97
1970-01-01 00:00:00.000000233,965.02
1970-01-01 00:00:00.000000234,963.312
1970-01-01 00:00:00.000000235,959.286
1970-01-01 00:00:00.000000236,966.606
1970-01-01 00:00:00.000000237,963.556
1970-01-01 00:00:00.000000238,964.288
1970-01-01 00:00:00.000000239,965.264
1970-01-01 00:00:00.000000240,963.434
1970-01-01 00:00:00.000000241,960.384
1970-01-01 00:00:00.000000242,960.384
1970-01-01 00:00:00.000000243,966.484
1970-01-01 00:00:00.000000244,965.874
1970-01-01 00:00:00.000000245,961.726
1970-01-01 00:00:00.000000246,965.264
1970-01-01 00:00:00.000000247,962.702
1970-01-01 00:00:00.000000248,961.116
1970-01-01 00:00:00.000000249,966.85
1970-01-01 00:00:00.000000250,963.8
1970-01-01 00:00:00.000000251,960.872
1970-01-01 00:00:00.000000252,960.872
1970-01-01 00:00:00.000000253,964.044
1970-01-01 00:00:00.000000254,965.752
1970-01-01 00:00:00.000000255,957.456
1970-01-01 00:00:00.000000256,964.532
1970-01-01 00:00:00.000000257,961.848
1970-01-01 00:00:00.000000258,960.872
1970-01-01 00:00:00.000000259,961.97
1970-01-01 00:00:00.000000260,962.58
1970-01-01 00:00:00.000000261,959.286
1970-01-01 00:00:00.000000262,959.286
1970-01-01 00:00:00.000000263,963.922
1970-01-01 00:00:00.000000264,967.948
1970-01-01 00:00:00.000000265,961.238
1970-01-01 00:00:00.000000266,965.996
1970-01-01 00:00:00.000000267,967.338
1970-01-01 00:00:00.000000268,963.19
1970-01-01 00:00:00.000000269,965.508
1970-01-01 00:00:00.000000270,962.336
1970-01-01 00:00:00.000000271,963.556
1970-01-01 00:00:00.000000272,962.824
1970-01-01 00:00:00.000000273,963.312
1970-01-01 00:00:00.000000274,965.264
1970-01-01 00:00:00.000000275,963.068
1970-01-01 00:00:00.000000276,967.826
1970-01-01 00:00:00.000000277,966.24
1970-01-01 00:00:00.000000278,963.556
1970-01-01 00:00:00.000000279,961.97
1970-01-01 00:00:00.000000280,965.63
1970-01-01 00:00:00.000000281,962.336
1970-01-01 00:00:00.000000282,960.872
1970-01-01 00:00:00.000000283,960.018
1970-01-01 00:00:00.000000284,958.31
1970-01-01 00:00:00.000000285,961.97
1970-01-01 00:00:00.000000286,962.092
1970-01-01 00:00:00.000000287,966.85
1970-01-01 00:00:00.000000288,961.36
1970-01-01 00:00:00.000000289,959.652
1970-01-01 00:00:00.000000290,968.436
1970-01-01 00:00:00.000000291,958.554
1970-01-01 00:00:00.000000292,962.58
1970-01-01 00:00:00.000000293,961.726
1970-01-01 00:00:00.000000294,961.97
1970-01-01 00:00:00.000000295,961.604
1970-01-01 00:00:00.000000296,964.166
1970-01-01 00:00:00.000000297,968.192
1970-01-01 00:00:00.000000298,956.48
1970-01-01 00:00:00.000000299,961.604
1970-01-01 00:00:00.000000300,966.728
1970-01-01 00:00:00.000000301,958.92
1970-01-01 00:00:00.000000302,963.556
1970-01-01 00:00:00.000000303,964.776
1970-01-01 00:00:00.000000304,961.238
1970-01-01 00:00:00.000000305,963.434
1970-01-01 00:00:00.000000306,962.58
1970-01-01 00:00:00.000000307,965.996
1970-01-01 00:00:00.000000308,961.726
1970-01-01 00:00:00.000000309,962.092
1970-01-01 00:00:00.000000310,967.094
1970-01-01 00:00:00.000000311,960.994
1970-01-01 00:00:00.000000312,961.97
1970-01-01 00:00:00.000000313,963.678
1970-01-01 00:00:00.000000314,961.238
1970-01-01 00:00:00.000000315,962.336
1970-01-01 00:00:00.000000316,963.434
1970-01-01 00:00:00.000000317,965.874
1970-01-01 00:00:00.000000318,961.482
1970-01-01 00:00:00.000000319,959.896
1970-01-01 00:00:00.000000320,960.994
1970-01-01 00:00:00.000000321,958.554
1970-01-01 00:00:00.000000322,963.068
1970-01-01 00:00:00.000000323,964.898
1970-01-01 00:00:00.000000324,961.36
1970-01-01 00:00:00.000000325,961.36
1970-01-01 00:00:00.000000326,962.702
1970-01-01 00:00:00.000000327,965.264
1970-01-01 00:00:00.000000328,962.58
1970-01-01 00:00:00.000000329,959.896
1970-01-01 00:00:00.000000330,965.386
1970-01-01 00:00:00.000000331,962.58
1970-01-01 00:00:00.000000332,962.58
1970-01-01 00:00:00.000000333,964.532
1970-01-01 00:00:00.000000334,959.53
1970-01-01 00:00:00.000000335,961.604
1970-01-01 00:00:00.000000336,964.044
