time_captured,JPM_Volume
2008-03-27,32155487
2008-03-28,29012695
2008-03-31,28926478
2008-04-01,54562519
2008-04-02,36599963
2008-04-03,30315612
2008-04-04,29876733
2008-04-07,24069396
2008-04-08,29197621
2008-04-09,28477121
2008-04-10,32270157
2008-04-11,41961843
2008-04-14,33774804
2008-04-15,37273599
2008-04-16,52572556
2008-04-17,30305258
2008-04-18,31398108
2008-04-21,23514890
2008-04-22,23704171
2008-04-23,23260941
2008-04-24,37771535
2008-04-25,24266582
2008-04-28,27177926
2008-04-29,20738790
2008-04-30,36286660
2008-05-01,31724188
2008-05-02,27945332
2008-05-05,19276936
2008-05-06,25447829
2008-05-07,27638963
2008-05-08,26109747
2008-05-09,21722541
2008-05-12,20300926
2008-05-13,27487245
2008-05-14,24139414
2008-05-15,27289909
2008-05-16,20881101
2008-05-19,19402352
2008-05-20,48998310
2008-05-21,40615912
2008-05-22,28883557
2008-05-23,21441760
2008-05-27,28457910
2008-05-28,31689864
2008-05-29,22791079
2008-05-30,21394978
2008-06-02,30621114
2008-06-03,28906215
2008-06-04,30800252
2008-06-05,27756501
2008-06-06,39895257
2008-06-09,74860396
2008-06-10,54419385
2008-06-11,50971029
2008-06-12,53248442
2008-06-13,40469788
2008-06-16,34860163
2008-06-17,32510863
2008-06-18,35514472
2008-06-19,59945379
2008-06-20,55377221
2008-06-23,37742040
2008-06-24,43526293
2008-06-25,42317925
2008-06-26,45714251
2008-06-27,69316697
2008-06-30,50821599
2008-07-01,74621599
2008-07-02,51752983
2008-07-03,33060198
2008-07-07,48884383
2008-07-08,62289507
2008-07-09,50976763
2008-07-10,47812190
2008-07-11,71316650
2008-07-14,50370202
2008-07-15,88717736
2008-07-16,79957732
2008-07-17,132121391
2008-07-18,65411200
2008-07-21,41358838
2008-07-22,50104141
2008-07-23,59345347
2008-07-24,47454517
2008-07-25,35187986
2008-07-28,41676766
2008-07-29,50528418
2008-07-30,47957333
2008-07-31,37395434
2008-08-01,30776580
2008-08-04,27747977
2008-08-05,35763838
2008-08-06,33010549
2008-08-07,42712984
2008-08-08,37175212
2008-08-11,34644101
2008-08-12,65248229
2008-08-13,48577059
2008-08-14,41145372
2008-08-15,36657889
2008-08-18,32193039
2008-08-19,41426394
2008-08-20,39064903
2008-08-21,30564443
2008-08-22,36029104
2008-08-25,27089443
2008-08-26,28810766
2008-08-27,23812712
2008-08-28,34726122
2008-08-29,23329136
2008-09-02,33268058
2008-09-03,28788627
2008-09-04,41525372
2008-09-05,42101323
2008-09-08,85630403
2008-09-09,56440001
2008-09-10,46100363
2008-09-11,57019203
2008-09-12,51419142
2008-09-15,92491685
2008-09-16,90296226
2008-09-17,104396209
2008-09-18,132981963
2008-09-19,88526533
2008-09-22,44934162
2008-09-23,32443356
2008-09-24,27195353
2008-09-25,36831253
2008-09-26,148081388
2008-09-29,79527968
2008-09-30,67003178
2008-10-01,59471551
2008-10-02,53953237
2008-10-03,68646721
2008-10-06,63084020
2008-10-07,62406647
2008-10-08,75707795
2008-10-09,88839626
2008-10-10,112986930
2008-10-13,81687754
2008-10-14,95310299
2008-10-15,84755611
2008-10-16,75112397
2008-10-17,60995874
2008-10-20,44734564
2008-10-21,41780682
2008-10-22,60825194
2008-10-23,63921957
2008-10-24,61978019
2008-10-27,62725763
2008-10-28,73063021
2008-10-29,61839377
2008-10-30,47371930
2008-10-31,86951791
2008-11-03,45064073
2008-11-04,48943298
2008-11-05,53534431
2008-11-06,56490009
2008-11-07,50214337
2008-11-10,41561476
2008-11-11,61582855
2008-11-12,56734163
2008-11-13,74525841
2008-11-14,55940940
2008-11-17,57572845
2008-11-18,67814927
2008-11-19,90241837
2008-11-20,160729901
2008-11-21,194090479
2008-11-24,137388907
2008-11-25,105442865
2008-11-26,55646925
2008-11-28,23159136
2008-12-01,71001502
2008-12-02,81331920
2008-12-03,64929930
2008-12-04,80726595
2008-12-05,73640026
2008-12-08,84593426
2008-12-09,65861143
2008-12-10,47941532
2008-12-11,70929016
2008-12-12,59970270
2008-12-15,51635798
2008-12-16,75848261
2008-12-17,47420387
2008-12-18,57504018
2008-12-19,55697986
2008-12-22,36397404
2008-12-23,27001097
2008-12-24,12350122
2008-12-26,12641336
2008-12-29,22343234
2008-12-30,29847418
2008-12-31,25897370
2009-01-02,32506746
2009-01-05,44163158
2009-01-06,44252516
2009-01-07,42227658
2009-01-08,52075769
2009-01-09,42626443
2009-01-12,59372032
2009-01-13,73433094
2009-01-14,73975844
2009-01-15,136884131
2009-01-16,156865231
2009-01-20,142148970
2009-01-21,136495297
2009-01-22,110240773
2009-01-23,74369285
2009-01-26,74303271
2009-01-27,50830776
2009-01-28,91437908
2009-01-29,58668040
2009-01-30,74967561
2009-02-02,51543045
2009-02-03,66189128
2009-02-04,55330745
2009-02-05,79815430
2009-02-06,76845117
2009-02-09,54402994
2009-02-10,91948693
2009-02-11,64719064
2009-02-12,80536354
2009-02-13,58581624
2009-02-17,91426193
2009-02-18,82868416
2009-02-19,66504587
2009-02-20,135941533
2009-02-23,101617093
2009-02-24,186379922
2009-02-25,135795222
2009-02-26,125044404
2009-02-27,109879899
2009-03-02,94985408
2009-03-03,85590036
2009-03-04,145009784
2009-03-05,153822917
2009-03-06,155156925
2009-03-09,132882830
2009-03-10,149121782
2009-03-11,155494611
2009-03-12,152008868
2009-03-13,120476051
2009-03-16,125074778
2009-03-17,99937475
2009-03-18,142135197
2009-03-19,124939674
2009-03-20,108959520
2009-03-23,146880388
2009-03-24,133260341
2009-03-25,149502069
