time_captured,PFE_Close
2009-02-19,14.03
2009-02-20,13.71
2009-02-23,13.27
2009-02-24,13.59
2009-02-25,13.08
2009-02-26,12.7
2009-02-27,12.31
2009-03-02,11.66
2009-03-03,11.87
2009-03-04,12.5
2009-03-05,12.67
2009-03-06,12.73
2009-03-09,12.63
2009-03-10,13.09
2009-03-11,12.79
2009-03-12,14.02
2009-03-13,14.54
2009-03-16,14.15
2009-03-17,14.26
2009-03-18,14.25
2009-03-19,13.7
2009-03-20,13.63
2009-03-23,14.02
2009-03-24,13.92
2009-03-25,14.26
2009-03-26,14.38
2009-03-27,14.04
2009-03-30,13.7
2009-03-31,13.62
2009-04-01,13.99
2009-04-02,13.77
2009-04-03,13.55
2009-04-06,13.71
2009-04-07,13.51
2009-04-08,13.48
2009-04-09,13.55
2009-04-13,13.48
2009-04-14,13.34
2009-04-15,13.86
2009-04-16,13.9
2009-04-17,14.16
2009-04-20,13.59
2009-04-21,13.52
2009-04-22,13.04
2009-04-23,13.28
2009-04-24,13.17
2009-04-27,13.49
2009-04-28,13.39
2009-04-29,13.43
2009-04-30,13.36
2009-05-01,13.58
2009-05-04,13.98
2009-05-05,14.28
2009-05-06,13.91
2009-05-07,14.16
2009-05-08,14.4
2009-05-11,14.15
2009-05-12,14.93
2009-05-13,15.27
2009-05-14,15.34
2009-05-15,15.01
2009-05-18,15.19
2009-05-19,15.1
2009-05-20,15.11
2009-05-21,14.83
2009-05-22,14.96
2009-05-26,15.02
2009-05-27,14.66
2009-05-28,14.69
2009-05-29,15.19
2009-06-01,14.76
2009-06-02,14.98
2009-06-03,14.89
2009-06-04,14.64
2009-06-05,14.51
2009-06-08,14.31
2009-06-09,14.13
2009-06-10,14.05
2009-06-11,14.63
2009-06-12,14.76
2009-06-15,14.13
2009-06-16,14.16
2009-06-17,14.58
2009-06-18,14.92
2009-06-19,15.0
2009-06-22,14.79
2009-06-23,14.73
2009-06-24,14.72
2009-06-25,15.33
2009-06-26,15.19
2009-06-29,15.26
2009-06-30,15.0
2009-07-01,14.9
2009-07-02,14.48
2009-07-06,14.57
