time_captured,02_on_raw_accZ
1970-01-01 00:00:00.000000237,1201.944
1970-01-01 00:00:00.000000238,416.02
1970-01-01 00:00:00.000000239,574.132
1970-01-01 00:00:00.000000240,980.514
1970-01-01 00:00:00.000000241,990.152
1970-01-01 00:00:00.000000242,996.74
1970-01-01 00:00:00.000000243,1523.902
1970-01-01 00:00:00.000000244,1397.632
1970-01-01 00:00:00.000000245,1143.506
1970-01-01 00:00:00.000000246,843.02
1970-01-01 00:00:00.000000247,602.314
1970-01-01 00:00:00.000000248,856.928
1970-01-01 00:00:00.000000249,1051.518
1970-01-01 00:00:00.000000250,741.028
1970-01-01 00:00:00.000000251,1155.828
1970-01-01 00:00:00.000000252,1715.686
1970-01-01 00:00:00.000000253,1113.25
1970-01-01 00:00:00.000000254,1192.916
1970-01-01 00:00:00.000000255,782.874
1970-01-01 00:00:00.000000256,519.598
1970-01-01 00:00:00.000000257,1049.932
1970-01-01 00:00:00.000000258,792.756
1970-01-01 00:00:00.000000259,946.964
1970-01-01 00:00:00.000000260,1031.144
1970-01-01 00:00:00.000000261,1366.644
1970-01-01 00:00:00.000000262,1342.488
1970-01-01 00:00:00.000000263,808.494
1970-01-01 00:00:00.000000264,730.536
1970-01-01 00:00:00.000000265,516.792
1970-01-01 00:00:00.000000266,391.01
1970-01-01 00:00:00.000000267,847.046
1970-01-01 00:00:00.000000268,847.046
1970-01-01 00:00:00.000000269,1646.268
1970-01-01 00:00:00.000000270,876.936
1970-01-01 00:00:00.000000271,1054.934
1970-01-01 00:00:00.000000272,879.376
1970-01-01 00:00:00.000000273,1085.678
1970-01-01 00:00:00.000000274,681.492
1970-01-01 00:00:00.000000275,537.41
1970-01-01 00:00:00.000000276,579.134
1970-01-01 00:00:00.000000277,579.134
1970-01-01 00:00:00.000000278,1472.174
1970-01-01 00:00:00.000000279,1257.21
1970-01-01 00:00:00.000000280,1227.442
1970-01-01 00:00:00.000000281,1443.748
1970-01-01 00:00:00.000000282,1005.158
1970-01-01 00:00:00.000000283,417.484
1970-01-01 00:00:00.000000284,917.562
1970-01-01 00:00:00.000000285,768.234
1970-01-01 00:00:00.000000286,1054.324
1970-01-01 00:00:00.000000287,1252.94
1970-01-01 00:00:00.000000288,1373.72
1970-01-01 00:00:00.000000289,1016.016
1970-01-01 00:00:00.000000290,1094.706
1970-01-01 00:00:00.000000291,536.556
1970-01-01 00:00:00.000000292,704.916
1970-01-01 00:00:00.000000293,911.096
1970-01-01 00:00:00.000000294,706.624
1970-01-01 00:00:00.000000295,886.818
1970-01-01 00:00:00.000000296,1282.586
1970-01-01 00:00:00.000000297,1470.832
1970-01-01 00:00:00.000000298,1041.636
1970-01-01 00:00:00.000000299,616.466
1970-01-01 00:00:00.000000300,559.126
1970-01-01 00:00:00.000000301,730.17
1970-01-01 00:00:00.000000302,628.788
1970-01-01 00:00:00.000000303,633.302
1970-01-01 00:00:00.000000304,633.302
1970-01-01 00:00:00.000000305,1918.694
1970-01-01 00:00:00.000000306,913.292
1970-01-01 00:00:00.000000307,1100.562
1970-01-01 00:00:00.000000308,891.21
1970-01-01 00:00:00.000000309,800.564
1970-01-01 00:00:00.000000310,381.982
1970-01-01 00:00:00.000000311,929.762
1970-01-01 00:00:00.000000312,726.144
1970-01-01 00:00:00.000000313,851.072
1970-01-01 00:00:00.000000314,1968.714
1970-01-01 00:00:00.000000315,1009.672
1970-01-01 00:00:00.000000316,715.286
1970-01-01 00:00:00.000000317,1042.978
1970-01-01 00:00:00.000000318,805.444
1970-01-01 00:00:00.000000319,428.22
1970-01-01 00:00:00.000000320,1072.136
1970-01-01 00:00:00.000000321,747.494
1970-01-01 00:00:00.000000322,967.46
1970-01-01 00:00:00.000000323,1321.87
1970-01-01 00:00:00.000000324,1086.41
1970-01-01 00:00:00.000000325,629.154
1970-01-01 00:00:00.000000326,1143.628
1970-01-01 00:00:00.000000327,795.806
1970-01-01 00:00:00.000000328,426.146
1970-01-01 00:00:00.000000329,911.584
1970-01-01 00:00:00.000000330,879.498
1970-01-01 00:00:00.000000331,1399.096
1970-01-01 00:00:00.000000332,1420.08
1970-01-01 00:00:00.000000333,1007.964
1970-01-01 00:00:00.000000334,1184.864
1970-01-01 00:00:00.000000335,1109.468
1970-01-01 00:00:00.000000336,691.008
1970-01-01 00:00:00.000000337,468.846
1970-01-01 00:00:00.000000338,708.332
1970-01-01 00:00:00.000000339,1263.432
1970-01-01 00:00:00.000000340,1263.432
1970-01-01 00:00:00.000000341,983.93
1970-01-01 00:00:00.000000342,955.138
1970-01-01 00:00:00.000000343,1097.39
1970-01-01 00:00:00.000000344,672.342
1970-01-01 00:00:00.000000345,400.16
1970-01-01 00:00:00.000000346,682.468
1970-01-01 00:00:00.000000347,938.546
