time_captured,06_c25_raw_accY
1970-01-01 00:00:00.000000178,-63.562
1970-01-01 00:00:00.000000179,-114.07
1970-01-01 00:00:00.000000180,-282.308
1970-01-01 00:00:00.000000181,-323.422
1970-01-01 00:00:00.000000182,-14.03
1970-01-01 00:00:00.000000183,63.928
1970-01-01 00:00:00.000000184,43.554
1970-01-01 00:00:00.000000185,88.572
1970-01-01 00:00:00.000000186,-216.306
1970-01-01 00:00:00.000000187,294.386
1970-01-01 00:00:00.000000188,-674.05
1970-01-01 00:00:00.000000189,-49.776
1970-01-01 00:00:00.000000190,-174.826
1970-01-01 00:00:00.000000191,116.388
1970-01-01 00:00:00.000000192,-409.92
1970-01-01 00:00:00.000000193,-191.296
1970-01-01 00:00:00.000000194,99.674
1970-01-01 00:00:00.000000195,-40.626
1970-01-01 00:00:00.000000196,102.724
1970-01-01 00:00:00.000000197,367.952
1970-01-01 00:00:00.000000198,290.848
1970-01-01 00:00:00.000000199,486.902
1970-01-01 00:00:00.000000200,11.59
1970-01-01 00:00:00.000000201,516.426
1970-01-01 00:00:00.000000202,366.732
1970-01-01 00:00:00.000000203,189.466
1970-01-01 00:00:00.000000204,-128.344
1970-01-01 00:00:00.000000205,-466.65
1970-01-01 00:00:00.000000206,283.894
1970-01-01 00:00:00.000000207,-36.966
1970-01-01 00:00:00.000000208,-266.57
1970-01-01 00:00:00.000000209,-27.45
1970-01-01 00:00:00.000000210,503.372
1970-01-01 00:00:00.000000211,503.372
1970-01-01 00:00:00.000000212,59.048
1970-01-01 00:00:00.000000213,-155.428
1970-01-01 00:00:00.000000214,-305.976
1970-01-01 00:00:00.000000215,-595.238
1970-01-01 00:00:00.000000216,-371.246
1970-01-01 00:00:00.000000217,-290.97
1970-01-01 00:00:00.000000218,-282.796
1970-01-01 00:00:00.000000219,70.882
1970-01-01 00:00:00.000000220,373.808
1970-01-01 00:00:00.000000221,223.87
1970-01-01 00:00:00.000000222,-199.104
1970-01-01 00:00:00.000000223,-220.82
1970-01-01 00:00:00.000000224,141.398
1970-01-01 00:00:00.000000225,-128.588
1970-01-01 00:00:00.000000226,-92.354
1970-01-01 00:00:00.000000227,-344.528
1970-01-01 00:00:00.000000228,-165.92
1970-01-01 00:00:00.000000229,35.624
1970-01-01 00:00:00.000000230,-88.816
1970-01-01 00:00:00.000000231,290.726
1970-01-01 00:00:00.000000232,545.584
1970-01-01 00:00:00.000000233,309.514
1970-01-01 00:00:00.000000234,565.592
1970-01-01 00:00:00.000000235,385.032
1970-01-01 00:00:00.000000236,236.436
1970-01-01 00:00:00.000000237,156.648
1970-01-01 00:00:00.000000238,-284.748
1970-01-01 00:00:00.000000239,-610.122
1970-01-01 00:00:00.000000240,-378.078
1970-01-01 00:00:00.000000241,-354.776
1970-01-01 00:00:00.000000242,-280.234
1970-01-01 00:00:00.000000243,246.196
1970-01-01 00:00:00.000000244,-2.44
1970-01-01 00:00:00.000000245,58.56
1970-01-01 00:00:00.000000246,221.552
1970-01-01 00:00:00.000000247,497.394
1970-01-01 00:00:00.000000248,64.782
1970-01-01 00:00:00.000000249,223.138
1970-01-01 00:00:00.000000250,233.752
1970-01-01 00:00:00.000000251,44.286
1970-01-01 00:00:00.000000252,-84.546
1970-01-01 00:00:00.000000253,-210.572
1970-01-01 00:00:00.000000254,-90.524
1970-01-01 00:00:00.000000255,24.034
1970-01-01 00:00:00.000000256,24.034
1970-01-01 00:00:00.000000257,28.426
1970-01-01 00:00:00.000000258,-198.128
1970-01-01 00:00:00.000000259,-66.734
1970-01-01 00:00:00.000000260,108.214
1970-01-01 00:00:00.000000261,-25.62
1970-01-01 00:00:00.000000262,152.5
1970-01-01 00:00:00.000000263,359.9
1970-01-01 00:00:00.000000264,-0.732
1970-01-01 00:00:00.000000265,-58.194
1970-01-01 00:00:00.000000266,36.844
1970-01-01 00:00:00.000000267,39.284
1970-01-01 00:00:00.000000268,50.508
1970-01-01 00:00:00.000000269,25.864
1970-01-01 00:00:00.000000270,-327.814
1970-01-01 00:00:00.000000271,55.266
1970-01-01 00:00:00.000000272,186.05
1970-01-01 00:00:00.000000273,-197.396
1970-01-01 00:00:00.000000274,-221.552
1970-01-01 00:00:00.000000275,27.694
1970-01-01 00:00:00.000000276,-40.748
1970-01-01 00:00:00.000000277,-434.076
1970-01-01 00:00:00.000000278,404.552
1970-01-01 00:00:00.000000279,-23.18
1970-01-01 00:00:00.000000280,-215.33
1970-01-01 00:00:00.000000281,-86.498
1970-01-01 00:00:00.000000282,183.732
1970-01-01 00:00:00.000000283,-3.904
1970-01-01 00:00:00.000000284,117.73
1970-01-01 00:00:00.000000285,538.02
1970-01-01 00:00:00.000000286,359.412
1970-01-01 00:00:00.000000287,458.598
1970-01-01 00:00:00.000000288,316.224
1970-01-01 00:00:00.000000289,164.944
1970-01-01 00:00:00.000000290,-259.982
1970-01-01 00:00:00.000000291,-10.004
