time_captured,GE_Low
2008-07-30,28.56
2008-07-31,28.29
2008-08-01,28.1
2008-08-04,27.76
2008-08-05,28.38
2008-08-06,28.73
2008-08-07,28.49
2008-08-08,28.57
2008-08-11,29.47
2008-08-12,29.57
2008-08-13,29.08
2008-08-14,29.01
2008-08-15,29.52
2008-08-18,29.15
2008-08-19,28.44
2008-08-20,28.09
2008-08-21,28.2
2008-08-22,28.85
2008-08-25,28.18
2008-08-26,27.98
2008-08-27,28.06
2008-08-28,28.3
2008-08-29,28.08
2008-09-02,28.44
2008-09-03,28.3
2008-09-04,27.6
2008-09-05,27.39
2008-09-08,28.25
2008-09-09,28.06
2008-09-10,27.75
2008-09-11,26.85
2008-09-12,26.33
2008-09-15,23.91
2008-09-16,22.16
2008-09-17,22.3
2008-09-18,22.19
2008-09-19,25.52
2008-09-22,25.65
2008-09-23,24.66
2008-09-24,23.81
2008-09-25,23.5
2008-09-26,24.52
2008-09-29,23.1
2008-09-30,23.87
2008-10-01,21.65
2008-10-02,22.01
2008-10-03,21.49
2008-10-06,19.69
2008-10-07,20.19
2008-10-08,19.9
2008-10-09,19.0
2008-10-10,18.4
2008-10-13,20.35
2008-10-14,19.75
2008-10-15,19.05
2008-10-16,18.31
2008-10-17,19.0
2008-10-20,19.43
2008-10-21,19.9
2008-10-22,18.5
2008-10-23,17.97
2008-10-24,17.27
2008-10-27,17.52
2008-10-28,17.73
2008-10-29,18.7
2008-10-30,18.93
2008-10-31,19.12
2008-11-03,19.2
2008-11-04,19.75
2008-11-05,19.8
2008-11-06,18.0
2008-11-07,18.28
2008-11-10,18.1
2008-11-11,17.36
2008-11-12,16.05
2008-11-13,14.58
2008-11-14,15.95
2008-11-17,15.4
2008-11-18,15.27
2008-11-19,14.45
2008-11-20,12.58
2008-11-21,12.8
2008-11-24,14.26
2008-11-25,15.09
2008-11-26,15.2
2008-11-28,16.2
2008-12-01,15.42
2008-12-02,15.77
2008-12-03,16.86
2008-12-04,17.12
2008-12-05,16.98
2008-12-08,18.35
2008-12-09,17.59
2008-12-10,17.67
2008-12-11,16.99
2008-12-12,16.4
2008-12-15,16.66
2008-12-16,17.01
2008-12-17,16.48
2008-12-18,15.77
2008-12-19,16.0
2008-12-22,15.75
2008-12-23,16.18
2008-12-24,15.92
2008-12-26,15.78
2008-12-29,15.35
2008-12-30,15.55
2008-12-31,15.77
2009-01-02,16.27
2009-01-05,16.5
2009-01-06,16.46
2009-01-07,16.01
2009-01-08,15.72
2009-01-09,15.83
2009-01-12,15.68
2009-01-13,14.72
2009-01-14,14.02
2009-01-15,13.25
2009-01-16,13.06
2009-01-20,12.8
2009-01-21,11.88
2009-01-22,12.07
2009-01-23,11.87
2009-01-26,12.17
2009-01-27,12.65
2009-01-28,13.17
2009-01-29,12.69
2009-01-30,12.01
2009-02-02,11.51
2009-02-03,11.32
2009-02-04,11.19
2009-02-05,10.66
2009-02-06,10.75
2009-02-09,11.12
2009-02-10,11.36
2009-02-11,11.71
2009-02-12,11.2
2009-02-13,11.35
2009-02-17,10.71
2009-02-18,10.68
2009-02-19,9.95
2009-02-20,8.98
2009-02-23,8.78
2009-02-24,8.43
2009-02-25,8.71
2009-02-26,9.01
2009-02-27,8.4
2009-03-02,7.51
2009-03-03,6.85
2009-03-04,5.73
2009-03-05,6.52
2009-03-06,6.66
2009-03-09,6.88
2009-03-10,7.95
2009-03-11,8.31
2009-03-12,8.43
2009-03-13,9.3
2009-03-16,9.6
2009-03-17,9.44
2009-03-18,9.7
2009-03-19,9.95
2009-03-20,9.26
2009-03-23,9.78
2009-03-24,10.05
2009-03-25,10.09
2009-03-26,10.65
2009-03-27,10.65
2009-03-30,9.78
2009-03-31,9.93
2009-04-01,9.8
2009-04-02,10.57
2009-04-03,10.71
2009-04-06,10.66
2009-04-07,10.57
2009-04-08,10.41
2009-04-09,11.09
2009-04-13,11.25
2009-04-14,11.42
2009-04-15,11.14
2009-04-16,11.71
2009-04-17,11.75
2009-04-20,11.25
2009-04-21,10.85
2009-04-22,11.52
2009-04-23,11.57
2009-04-24,11.95
2009-04-27,11.85
2009-04-28,11.78
2009-04-29,12.11
2009-04-30,12.52
2009-05-01,12.5
2009-05-04,12.81
2009-05-05,13.0
2009-05-06,13.31
2009-05-07,13.77
2009-05-08,14.14
2009-05-11,14.1
2009-05-12,13.26
2009-05-13,12.75
2009-05-14,12.5
2009-05-15,12.7
2009-05-18,13.08
2009-05-19,13.49
2009-05-20,13.74
2009-05-21,13.05
2009-05-22,13.02
2009-05-26,12.85
2009-05-27,12.86
2009-05-28,12.81
2009-05-29,12.22
2009-06-01,13.51
2009-06-02,13.55
2009-06-03,13.3
2009-06-04,13.43
2009-06-05,13.51
2009-06-08,13.34
2009-06-09,13.4
2009-06-10,13.12
2009-06-11,13.34
2009-06-12,13.29
2009-06-15,13.01
2009-06-16,12.72
2009-06-17,12.14
2009-06-18,11.46
2009-06-19,11.93
2009-06-22,11.5
2009-06-23,11.25
2009-06-24,11.62
2009-06-25,11.52
2009-06-26,11.7
2009-06-29,11.64
2009-06-30,11.55
2009-07-01,11.64
2009-07-02,11.46
2009-07-06,11.27
2009-07-07,10.96
2009-07-08,10.5
2009-07-09,10.63
2009-07-10,10.6
2009-07-13,10.87
2009-07-14,11.46
2009-07-15,11.86
2009-07-16,11.9
2009-07-17,11.55
2009-07-20,11.58
2009-07-21,11.32
2009-07-22,11.25
2009-07-23,11.57
2009-07-24,11.78
2009-07-27,12.03
2009-07-28,12.18
2009-07-29,12.11
2009-07-30,12.97
2009-07-31,13.15
2009-08-03,13.45
2009-08-04,13.39
2009-08-05,13.83
2009-08-06,14.02
2009-08-07,14.39
2009-08-10,14.39
2009-08-11,13.86
2009-08-12,13.68
2009-08-13,13.94
2009-08-14,13.77
2009-08-17,13.16
2009-08-18,13.45
2009-08-19,13.29
2009-08-20,13.57
2009-08-21,14.0
2009-08-24,14.05
2009-08-25,14.2
2009-08-26,14.01
2009-08-27,13.95
2009-08-28,13.98
2009-08-31,13.75
2009-09-01,13.29
2009-09-02,13.03
2009-09-03,13.29
2009-09-04,13.3
2009-09-08,14.36
2009-09-09,14.61
2009-09-10,14.52
2009-09-11,14.63
2009-09-14,14.4
2009-09-15,15.48
2009-09-16,16.33
2009-09-17,16.35
2009-09-18,16.43
2009-09-21,16.24
2009-09-22,16.91
2009-09-23,16.95
2009-09-24,16.34
2009-09-25,16.06
2009-09-28,16.44
2009-09-29,16.67
2009-09-30,16.31
2009-10-01,15.95
2009-10-02,15.15
2009-10-05,15.51
2009-10-06,16.0
2009-10-07,15.91
2009-10-08,16.2
2009-10-09,16.1
2009-10-12,16.27
2009-10-13,16.08
2009-10-14,16.56
2009-10-15,16.48
2009-10-16,15.85
2009-10-19,15.8
2009-10-20,15.47
2009-10-21,15.5
2009-10-22,15.11
2009-10-23,15.11
2009-10-26,14.83
2009-10-27,14.86
2009-10-28,14.35
2009-10-29,14.46
2009-10-30,14.15
2009-11-02,14.19
2009-11-03,14.17
2009-11-04,14.15
2009-11-05,14.21
2009-11-06,14.83
2009-11-09,15.6
2009-11-10,15.48
2009-11-11,15.65
2009-11-12,15.66
2009-11-13,15.56
2009-11-16,15.77
2009-11-17,15.89
2009-11-18,15.95
2009-11-19,15.57
2009-11-20,15.45
2009-11-23,15.83
2009-11-24,15.92
2009-11-25,16.04
2009-11-27,15.3
2009-11-30,15.81
2009-12-01,15.96
2009-12-02,15.96
2009-12-03,16.0
2009-12-04,16.06
2009-12-07,16.01
2009-12-08,15.65
2009-12-09,15.52
2009-12-10,15.55
2009-12-11,15.69
2009-12-14,15.92
2009-12-15,15.65
2009-12-16,15.66
2009-12-17,15.55
2009-12-18,15.59
2009-12-21,15.54
2009-12-22,15.43
2009-12-23,15.31
2009-12-24,15.36
2009-12-28,15.26
2009-12-29,15.3
2009-12-30,15.26
2009-12-31,15.13
2010-01-04,15.15
2010-01-05,15.45
2010-01-06,15.44
2010-01-07,15.43
2010-01-08,16.27
2010-01-11,16.54
2010-01-12,16.57
2010-01-13,16.57
2010-01-14,16.68
2010-01-15,16.35
2010-01-19,16.34
2010-01-20,16.33
2010-01-21,15.95
2010-01-22,16.09
2010-01-25,16.22
2010-01-26,16.26
2010-01-27,16.03
2010-01-28,16.01
2010-01-29,16.07
2010-02-01,16.1
2010-02-02,16.24
2010-02-03,16.62
2010-02-04,16.01
2010-02-05,15.25
2010-02-08,15.47
2010-02-09,15.43
2010-02-10,15.5
2010-02-11,15.48
2010-02-12,15.35
2010-02-16,15.68
2010-02-17,16.06
2010-02-18,16.08
2010-02-19,16.0
2010-02-22,16.16
