time_captured,03_cap_raw_accY
1970-01-01 00:00:00.000000256,-216.428
1970-01-01 00:00:00.000000257,129.442
1970-01-01 00:00:00.000000258,275.842
1970-01-01 00:00:00.000000259,134.2
1970-01-01 00:00:00.000000260,230.092
1970-01-01 00:00:00.000000261,-196.176
1970-01-01 00:00:00.000000262,358.314
1970-01-01 00:00:00.000000263,195.2
1970-01-01 00:00:00.000000264,43.798
1970-01-01 00:00:00.000000265,-680.15
1970-01-01 00:00:00.000000266,-490.074
1970-01-01 00:00:00.000000267,159.576
1970-01-01 00:00:00.000000268,77.47
1970-01-01 00:00:00.000000269,250.1
1970-01-01 00:00:00.000000270,184.342
1970-01-01 00:00:00.000000271,400.892
1970-01-01 00:00:00.000000272,463.478
1970-01-01 00:00:00.000000273,351.238
1970-01-01 00:00:00.000000274,235.948
1970-01-01 00:00:00.000000275,188.49
1970-01-01 00:00:00.000000276,-135.054
1970-01-01 00:00:00.000000277,-507.276
1970-01-01 00:00:00.000000278,270.962
1970-01-01 00:00:00.000000279,-77.714
1970-01-01 00:00:00.000000280,-258.64
1970-01-01 00:00:00.000000281,-132.126
1970-01-01 00:00:00.000000282,-302.926
1970-01-01 00:00:00.000000283,-139.202
1970-01-01 00:00:00.000000284,-573.766
1970-01-01 00:00:00.000000285,-181.17
1970-01-01 00:00:00.000000286,116.876
1970-01-01 00:00:00.000000287,597.556
1970-01-01 00:00:00.000000288,324.886
1970-01-01 00:00:00.000000289,259.25
1970-01-01 00:00:00.000000290,-197.518
1970-01-01 00:00:00.000000291,189.222
1970-01-01 00:00:00.000000292,-196.42
1970-01-01 00:00:00.000000293,-335.378
1970-01-01 00:00:00.000000294,146.278
1970-01-01 00:00:00.000000295,-48.312
1970-01-01 00:00:00.000000296,106.628
1970-01-01 00:00:00.000000297,274.866
1970-01-01 00:00:00.000000298,130.174
1970-01-01 00:00:00.000000299,604.754
1970-01-01 00:00:00.000000300,948.306
1970-01-01 00:00:00.000000301,-276.086
1970-01-01 00:00:00.000000302,83.814
1970-01-01 00:00:00.000000303,-360.388
1970-01-01 00:00:00.000000304,-350.872
1970-01-01 00:00:00.000000305,138.104
1970-01-01 00:00:00.000000306,-575.596
1970-01-01 00:00:00.000000307,7.076
1970-01-01 00:00:00.000000308,369.294
1970-01-01 00:00:00.000000309,119.438
1970-01-01 00:00:00.000000310,514.596
1970-01-01 00:00:00.000000311,-66.002
1970-01-01 00:00:00.000000312,-227.286
1970-01-01 00:00:00.000000313,-136.762
1970-01-01 00:00:00.000000314,419.924
1970-01-01 00:00:00.000000315,329.888
1970-01-01 00:00:00.000000316,-237.778
1970-01-01 00:00:00.000000317,-213.256
1970-01-01 00:00:00.000000318,-177.144
1970-01-01 00:00:00.000000319,387.106
1970-01-01 00:00:00.000000320,18.91
1970-01-01 00:00:00.000000321,-220.454
1970-01-01 00:00:00.000000322,-305.122
1970-01-01 00:00:00.000000323,-73.078
1970-01-01 00:00:00.000000324,-120.414
1970-01-01 00:00:00.000000325,37.088
1970-01-01 00:00:00.000000326,319.274
1970-01-01 00:00:00.000000327,47.946
1970-01-01 00:00:00.000000328,371.978
1970-01-01 00:00:00.000000329,-156.038
1970-01-01 00:00:00.000000330,-143.228
1970-01-01 00:00:00.000000331,6.954
1970-01-01 00:00:00.000000332,141.886
1970-01-01 00:00:00.000000333,-212.158
1970-01-01 00:00:00.000000334,-159.698
1970-01-01 00:00:00.000000335,320.494
1970-01-01 00:00:00.000000336,100.894
1970-01-01 00:00:00.000000337,106.994
1970-01-01 00:00:00.000000338,-168.726
1970-01-01 00:00:00.000000339,12.2
1970-01-01 00:00:00.000000340,39.528
1970-01-01 00:00:00.000000341,171.898
