time_captured,02_on_raw_accY
1970-01-01 00:00:00.000000179,-51.362
1970-01-01 00:00:00.000000180,-405.04
1970-01-01 00:00:00.000000181,-306.464
1970-01-01 00:00:00.000000182,-176.778
1970-01-01 00:00:00.000000183,-91.622
1970-01-01 00:00:00.000000184,-124.074
1970-01-01 00:00:00.000000185,391.986
1970-01-01 00:00:00.000000186,279.746
1970-01-01 00:00:00.000000187,-88.572
1970-01-01 00:00:00.000000188,-134.81
1970-01-01 00:00:00.000000189,-366.488
1970-01-01 00:00:00.000000190,-18.666
1970-01-01 00:00:00.000000191,-41.602
1970-01-01 00:00:00.000000192,-66.612
1970-01-01 00:00:00.000000193,36.966
1970-01-01 00:00:00.000000194,169.458
1970-01-01 00:00:00.000000195,11.224
1970-01-01 00:00:00.000000196,-3.66
1970-01-01 00:00:00.000000197,-79.178
1970-01-01 00:00:00.000000198,131.638
1970-01-01 00:00:00.000000199,285.846
1970-01-01 00:00:00.000000200,312.076
1970-01-01 00:00:00.000000201,328.546
1970-01-01 00:00:00.000000202,177.388
1970-01-01 00:00:00.000000203,193.492
1970-01-01 00:00:00.000000204,-190.442
1970-01-01 00:00:00.000000205,-54.29
1970-01-01 00:00:00.000000206,-502.64
1970-01-01 00:00:00.000000207,127.246
1970-01-01 00:00:00.000000208,-290.116
1970-01-01 00:00:00.000000209,114.192
1970-01-01 00:00:00.000000210,305.732
1970-01-01 00:00:00.000000211,-235.826
1970-01-01 00:00:00.000000212,37.576
1970-01-01 00:00:00.000000213,168.726
1970-01-01 00:00:00.000000214,-24.156
1970-01-01 00:00:00.000000215,320.738
1970-01-01 00:00:00.000000216,-333.182
1970-01-01 00:00:00.000000217,-666.73
1970-01-01 00:00:00.000000218,-118.706
1970-01-01 00:00:00.000000219,49.044
1970-01-01 00:00:00.000000220,-487.756
1970-01-01 00:00:00.000000221,-105.042
1970-01-01 00:00:00.000000222,-16.104
1970-01-01 00:00:00.000000223,109.434
1970-01-01 00:00:00.000000224,237.29
1970-01-01 00:00:00.000000225,-33.428
1970-01-01 00:00:00.000000226,-534.848
1970-01-01 00:00:00.000000227,-229.726
1970-01-01 00:00:00.000000228,-200.568
1970-01-01 00:00:00.000000229,-41.968
1970-01-01 00:00:00.000000230,55.388
1970-01-01 00:00:00.000000231,-132.37
1970-01-01 00:00:00.000000232,311.222
1970-01-01 00:00:00.000000233,112.972
1970-01-01 00:00:00.000000234,-27.816
1970-01-01 00:00:00.000000235,38.186
1970-01-01 00:00:00.000000236,-2.44
1970-01-01 00:00:00.000000237,192.394
1970-01-01 00:00:00.000000238,290.36
1970-01-01 00:00:00.000000239,118.706
1970-01-01 00:00:00.000000240,-187.636
1970-01-01 00:00:00.000000241,125.294
1970-01-01 00:00:00.000000242,-204.228
1970-01-01 00:00:00.000000243,-155.062
1970-01-01 00:00:00.000000244,-196.298
1970-01-01 00:00:00.000000245,110.776
1970-01-01 00:00:00.000000246,-286.212
1970-01-01 00:00:00.000000247,529.724
