time_captured,01_off_raw_accY
1970-01-01 00:00:00.000000299,-12.2
1970-01-01 00:00:00.000000300,-14.518
1970-01-01 00:00:00.000000301,-16.348
1970-01-01 00:00:00.000000302,-13.786
1970-01-01 00:00:00.000000303,-14.518
1970-01-01 00:00:00.000000304,-16.592
1970-01-01 00:00:00.000000305,-14.884
1970-01-01 00:00:00.000000306,-14.64
1970-01-01 00:00:00.000000307,-14.152
1970-01-01 00:00:00.000000308,-14.64
1970-01-01 00:00:00.000000309,-12.444
1970-01-01 00:00:00.000000310,-14.884
1970-01-01 00:00:00.000000311,-15.982
1970-01-01 00:00:00.000000312,-14.274
1970-01-01 00:00:00.000000313,-15.128
1970-01-01 00:00:00.000000314,-14.884
1970-01-01 00:00:00.000000315,-16.592
1970-01-01 00:00:00.000000316,-13.176
1970-01-01 00:00:00.000000317,-14.274
1970-01-01 00:00:00.000000318,-15.128
1970-01-01 00:00:00.000000319,-16.592
1970-01-01 00:00:00.000000320,-15.86
1970-01-01 00:00:00.000000321,-14.762
1970-01-01 00:00:00.000000322,-12.932
1970-01-01 00:00:00.000000323,-15.128
1970-01-01 00:00:00.000000324,-15.982
1970-01-01 00:00:00.000000325,-15.372
1970-01-01 00:00:00.000000326,-15.006
1970-01-01 00:00:00.000000327,-13.908
1970-01-01 00:00:00.000000328,-13.908
1970-01-01 00:00:00.000000329,-14.64
1970-01-01 00:00:00.000000330,-14.64
1970-01-01 00:00:00.000000331,-14.762
1970-01-01 00:00:00.000000332,-14.274
1970-01-01 00:00:00.000000333,-13.542
1970-01-01 00:00:00.000000334,-14.762
1970-01-01 00:00:00.000000335,-14.518
1970-01-01 00:00:00.000000336,-13.786
1970-01-01 00:00:00.000000337,-14.274
1970-01-01 00:00:00.000000338,-14.152
1970-01-01 00:00:00.000000339,-15.982
1970-01-01 00:00:00.000000340,-15.982
1970-01-01 00:00:00.000000341,-13.176
1970-01-01 00:00:00.000000342,-13.176
1970-01-01 00:00:00.000000343,-14.03
1970-01-01 00:00:00.000000344,-15.006
1970-01-01 00:00:00.000000345,-14.274
1970-01-01 00:00:00.000000346,-15.982
1970-01-01 00:00:00.000000347,-14.884
1970-01-01 00:00:00.000000348,-15.006
1970-01-01 00:00:00.000000349,-13.908
1970-01-01 00:00:00.000000350,-13.908
1970-01-01 00:00:00.000000351,-14.64
1970-01-01 00:00:00.000000352,-15.616
1970-01-01 00:00:00.000000353,-14.762
1970-01-01 00:00:00.000000354,-13.176
1970-01-01 00:00:00.000000355,-13.664
1970-01-01 00:00:00.000000356,-14.274
1970-01-01 00:00:00.000000357,-14.274
1970-01-01 00:00:00.000000358,-14.64
1970-01-01 00:00:00.000000359,-14.396
1970-01-01 00:00:00.000000360,-14.396
1970-01-01 00:00:00.000000361,-13.42
1970-01-01 00:00:00.000000362,-15.006
1970-01-01 00:00:00.000000363,-15.128
1970-01-01 00:00:00.000000364,-12.932
1970-01-01 00:00:00.000000365,-15.738
1970-01-01 00:00:00.000000366,-15.982
1970-01-01 00:00:00.000000367,-13.664
1970-01-01 00:00:00.000000368,-15.372
1970-01-01 00:00:00.000000369,-15.616
1970-01-01 00:00:00.000000370,-15.616
1970-01-01 00:00:00.000000371,-13.054
1970-01-01 00:00:00.000000372,-16.226
1970-01-01 00:00:00.000000373,-15.738
1970-01-01 00:00:00.000000374,-14.274
1970-01-01 00:00:00.000000375,-14.03
1970-01-01 00:00:00.000000376,-14.762
1970-01-01 00:00:00.000000377,-15.006
1970-01-01 00:00:00.000000378,-16.226
1970-01-01 00:00:00.000000379,-14.152
1970-01-01 00:00:00.000000380,-14.152
1970-01-01 00:00:00.000000381,-13.176
1970-01-01 00:00:00.000000382,-16.226
1970-01-01 00:00:00.000000383,-13.908
1970-01-01 00:00:00.000000384,-14.274
1970-01-01 00:00:00.000000385,-15.494
1970-01-01 00:00:00.000000386,-14.518
1970-01-01 00:00:00.000000387,-13.908
1970-01-01 00:00:00.000000388,-15.86
1970-01-01 00:00:00.000000389,-15.25
1970-01-01 00:00:00.000000390,-14.274
1970-01-01 00:00:00.000000391,-13.786
1970-01-01 00:00:00.000000392,-15.006
1970-01-01 00:00:00.000000393,-13.42
1970-01-01 00:00:00.000000394,-13.786
1970-01-01 00:00:00.000000395,-17.202
1970-01-01 00:00:00.000000396,-15.25
1970-01-01 00:00:00.000000397,-14.274
1970-01-01 00:00:00.000000398,-14.274
1970-01-01 00:00:00.000000399,-15.494
1970-01-01 00:00:00.000000400,-14.274
1970-01-01 00:00:00.000000401,-13.42
1970-01-01 00:00:00.000000402,-14.03
1970-01-01 00:00:00.000000403,-14.64
1970-01-01 00:00:00.000000404,-14.64
1970-01-01 00:00:00.000000405,-14.274
1970-01-01 00:00:00.000000406,-14.762
1970-01-01 00:00:00.000000407,-14.762
1970-01-01 00:00:00.000000408,-14.518
1970-01-01 00:00:00.000000409,-15.86
1970-01-01 00:00:00.000000410,-12.81
1970-01-01 00:00:00.000000411,-14.518
1970-01-01 00:00:00.000000412,-15.006
1970-01-01 00:00:00.000000413,-13.908
1970-01-01 00:00:00.000000414,-14.884
1970-01-01 00:00:00.000000415,-13.054
