time_captured,03_cap_raw_accZ
1970-01-01 00:00:00.000000288,615.612
1970-01-01 00:00:00.000000289,661.362
1970-01-01 00:00:00.000000290,1032.73
1970-01-01 00:00:00.000000291,1158.634
1970-01-01 00:00:00.000000292,1739.964
1970-01-01 00:00:00.000000293,913.536
1970-01-01 00:00:00.000000294,1817.19
1970-01-01 00:00:00.000000295,554.49
1970-01-01 00:00:00.000000296,443.348
1970-01-01 00:00:00.000000297,541.436
1970-01-01 00:00:00.000000298,1336.022
1970-01-01 00:00:00.000000299,1202.92
1970-01-01 00:00:00.000000300,2157.57
1970-01-01 00:00:00.000000301,-91.866
1970-01-01 00:00:00.000000302,1189.988
1970-01-01 00:00:00.000000303,1243.668
1970-01-01 00:00:00.000000304,439.688
1970-01-01 00:00:00.000000305,363.316
1970-01-01 00:00:00.000000306,446.886
1970-01-01 00:00:00.000000307,1121.424
1970-01-01 00:00:00.000000308,470.432
1970-01-01 00:00:00.000000309,1396.778
1970-01-01 00:00:00.000000310,1826.584
1970-01-01 00:00:00.000000311,988.2
1970-01-01 00:00:00.000000312,1237.08
1970-01-01 00:00:00.000000313,237.046
1970-01-01 00:00:00.000000314,677.222
1970-01-01 00:00:00.000000315,1278.194
1970-01-01 00:00:00.000000316,1076.162
1970-01-01 00:00:00.000000317,843.02
1970-01-01 00:00:00.000000318,1463.146
1970-01-01 00:00:00.000000319,1418.86
1970-01-01 00:00:00.000000320,1224.758
1970-01-01 00:00:00.000000321,1024.8
1970-01-01 00:00:00.000000322,379.054
1970-01-01 00:00:00.000000323,1044.442
1970-01-01 00:00:00.000000324,959.774
1970-01-01 00:00:00.000000325,851.682
1970-01-01 00:00:00.000000326,729.194
1970-01-01 00:00:00.000000327,1263.554
1970-01-01 00:00:00.000000328,1816.214
1970-01-01 00:00:00.000000329,931.836
1970-01-01 00:00:00.000000330,687.836
1970-01-01 00:00:00.000000331,147.62
1970-01-01 00:00:00.000000332,1086.044
1970-01-01 00:00:00.000000333,667.462
1970-01-01 00:00:00.000000334,881.694
1970-01-01 00:00:00.000000335,911.584
1970-01-01 00:00:00.000000336,1515.24
1970-01-01 00:00:00.000000337,1780.102
1970-01-01 00:00:00.000000338,788.73
1970-01-01 00:00:00.000000339,601.216
1970-01-01 00:00:00.000000340,133.224
1970-01-01 00:00:00.000000341,725.412
1970-01-01 00:00:00.000000342,959.042
1970-01-01 00:00:00.000000343,434.564
1970-01-01 00:00:00.000000344,718.58
1970-01-01 00:00:00.000000345,1798.646
1970-01-01 00:00:00.000000346,1759.85
1970-01-01 00:00:00.000000347,338.672
1970-01-01 00:00:00.000000348,302.316
1970-01-01 00:00:00.000000349,733.708
1970-01-01 00:00:00.000000350,786.778
1970-01-01 00:00:00.000000351,770.796
1970-01-01 00:00:00.000000352,897.066
1970-01-01 00:00:00.000000353,911.34
1970-01-01 00:00:00.000000354,1798.158
1970-01-01 00:00:00.000000355,658.678
1970-01-01 00:00:00.000000356,408.822
1970-01-01 00:00:00.000000357,520.086
1970-01-01 00:00:00.000000358,570.96
1970-01-01 00:00:00.000000359,855.342
1970-01-01 00:00:00.000000360,831.796
1970-01-01 00:00:00.000000361,633.546
1970-01-01 00:00:00.000000362,1393.362
1970-01-01 00:00:00.000000363,1946.876
1970-01-01 00:00:00.000000364,496.052
1970-01-01 00:00:00.000000365,1241.96
1970-01-01 00:00:00.000000366,999.424
1970-01-01 00:00:00.000000367,555.588
1970-01-01 00:00:00.000000368,1019.066
1970-01-01 00:00:00.000000369,1128.256
1970-01-01 00:00:00.000000370,227.164
1970-01-01 00:00:00.000000371,1439.722
1970-01-01 00:00:00.000000372,1160.83
1970-01-01 00:00:00.000000373,284.016
1970-01-01 00:00:00.000000374,1163.88
1970-01-01 00:00:00.000000375,1069.208
1970-01-01 00:00:00.000000376,236.558
1970-01-01 00:00:00.000000377,304.024
1970-01-01 00:00:00.000000378,732.732
1970-01-01 00:00:00.000000379,1071.648
1970-01-01 00:00:00.000000380,1935.652
1970-01-01 00:00:00.000000381,1137.528
1970-01-01 00:00:00.000000382,935.008
1970-01-01 00:00:00.000000383,1150.216
1970-01-01 00:00:00.000000384,550.464
1970-01-01 00:00:00.000000385,39.04
1970-01-01 00:00:00.000000386,435.906
1970-01-01 00:00:00.000000387,1226.222
1970-01-01 00:00:00.000000388,963.922
1970-01-01 00:00:00.000000389,1205.604
1970-01-01 00:00:00.000000390,782.386
1970-01-01 00:00:00.000000391,1200.236
1970-01-01 00:00:00.000000392,830.942
1970-01-01 00:00:00.000000393,465.308
1970-01-01 00:00:00.000000394,116.51
1970-01-01 00:00:00.000000395,691.984
1970-01-01 00:00:00.000000396,1033.462
1970-01-01 00:00:00.000000397,1015.162
1970-01-01 00:00:00.000000398,930.86
1970-01-01 00:00:00.000000399,1733.864
1970-01-01 00:00:00.000000400,1302.96
1970-01-01 00:00:00.000000401,727.12
1970-01-01 00:00:00.000000402,662.46
1970-01-01 00:00:00.000000403,251.686
1970-01-01 00:00:00.000000404,1290.638
1970-01-01 00:00:00.000000405,1095.56
1970-01-01 00:00:00.000000406,864.736
1970-01-01 00:00:00.000000407,409.066
1970-01-01 00:00:00.000000408,1570.262
1970-01-01 00:00:00.000000409,1101.66
1970-01-01 00:00:00.000000410,429.684
1970-01-01 00:00:00.000000411,394.426
1970-01-01 00:00:00.000000412,367.098
1970-01-01 00:00:00.000000413,1289.662
1970-01-01 00:00:00.000000414,725.9
1970-01-01 00:00:00.000000415,832.528
1970-01-01 00:00:00.000000416,2237.358
1970-01-01 00:00:00.000000417,1040.172
1970-01-01 00:00:00.000000418,655.75
1970-01-01 00:00:00.000000419,721.996
1970-01-01 00:00:00.000000420,485.926
1970-01-01 00:00:00.000000421,566.446
1970-01-01 00:00:00.000000422,1231.59
1970-01-01 00:00:00.000000423,487.39
1970-01-01 00:00:00.000000424,1144.604
1970-01-01 00:00:00.000000425,1868.674
1970-01-01 00:00:00.000000426,1249.646
1970-01-01 00:00:00.000000427,747.006
1970-01-01 00:00:00.000000428,172.508
1970-01-01 00:00:00.000000429,449.692
1970-01-01 00:00:00.000000430,674.05
1970-01-01 00:00:00.000000431,1085.8
1970-01-01 00:00:00.000000432,737.856
1970-01-01 00:00:00.000000433,1340.902
1970-01-01 00:00:00.000000434,2076.318
1970-01-01 00:00:00.000000435,994.3
1970-01-01 00:00:00.000000436,763.964
1970-01-01 00:00:00.000000437,538.264
1970-01-01 00:00:00.000000438,758.474
1970-01-01 00:00:00.000000439,650.26
1970-01-01 00:00:00.000000440,859.002
1970-01-01 00:00:00.000000441,75.64
1970-01-01 00:00:00.000000442,872.788
1970-01-01 00:00:00.000000443,1792.912
1970-01-01 00:00:00.000000444,1058.106
1970-01-01 00:00:00.000000445,782.02
1970-01-01 00:00:00.000000446,910.364
1970-01-01 00:00:00.000000447,925.858
1970-01-01 00:00:00.000000448,598.654
1970-01-01 00:00:00.000000449,559.614
1970-01-01 00:00:00.000000450,676.124
1970-01-01 00:00:00.000000451,498.98
1970-01-01 00:00:00.000000452,1706.658
1970-01-01 00:00:00.000000453,1316.624
1970-01-01 00:00:00.000000454,864.98
1970-01-01 00:00:00.000000455,1261.358
1970-01-01 00:00:00.000000456,1017.48
1970-01-01 00:00:00.000000457,705.648
1970-01-01 00:00:00.000000458,432.002
1970-01-01 00:00:00.000000459,535.214
1970-01-01 00:00:00.000000460,1373.964
1970-01-01 00:00:00.000000461,1889.902
1970-01-01 00:00:00.000000462,830.82
1970-01-01 00:00:00.000000463,1053.958
1970-01-01 00:00:00.000000464,1424.96
1970-01-01 00:00:00.000000465,532.408
1970-01-01 00:00:00.000000466,581.452
1970-01-01 00:00:00.000000467,326.838
1970-01-01 00:00:00.000000468,119.682
1970-01-01 00:00:00.000000469,1012.112
1970-01-01 00:00:00.000000470,1842.81
1970-01-01 00:00:00.000000471,794.708
1970-01-01 00:00:00.000000472,978.684
1970-01-01 00:00:00.000000473,1512.312
1970-01-01 00:00:00.000000474,560.224
1970-01-01 00:00:00.000000475,428.708
1970-01-01 00:00:00.000000476,467.626
1970-01-01 00:00:00.000000477,1121.668
1970-01-01 00:00:00.000000478,1072.624
1970-01-01 00:00:00.000000479,1390.068
1970-01-01 00:00:00.000000480,1092.022
1970-01-01 00:00:00.000000481,1142.408
