time_captured,NKE_Open
2006-12-21,12.4
2006-12-22,12.47
2006-12-26,12.49
2006-12-27,12.53
2006-12-28,12.45
2006-12-29,12.4
2007-01-03,12.25
2007-01-04,12.21
2007-01-05,12.26
2007-01-08,12.31
2007-01-09,12.32
2007-01-10,12.4
2007-01-11,12.49
2007-01-12,12.44
2007-01-16,12.44
2007-01-17,12.48
2007-01-18,12.48
2007-01-19,12.5
2007-01-22,12.52
2007-01-23,12.21
2007-01-24,12.1
2007-01-25,12.11
2007-01-26,12.0
2007-01-29,11.92
2007-01-30,12.06
2007-01-31,12.22
2007-02-01,12.33
2007-02-02,12.62
2007-02-05,12.45
2007-02-06,12.43
2007-02-07,12.73
2007-02-08,12.84
2007-02-09,12.88
2007-02-12,12.95
2007-02-13,12.93
2007-02-14,13.15
2007-02-15,13.16
2007-02-16,13.31
2007-02-20,13.29
2007-02-21,13.35
2007-02-22,13.36
2007-02-23,13.53
2007-02-26,13.61
2007-02-27,13.43
2007-02-28,13.09
2007-03-01,13.06
2007-03-02,13.16
2007-03-05,12.98
2007-03-06,12.87
2007-03-07,13.11
2007-03-08,13.15
2007-03-09,13.17
2007-03-12,13.23
2007-03-13,13.13
2007-03-14,13.08
2007-03-15,13.1
2007-03-16,13.22
2007-03-19,13.48
2007-03-20,13.54
2007-03-21,13.66
2007-03-22,13.6
2007-03-23,13.3
2007-03-26,13.63
2007-03-27,13.6
2007-03-28,13.3
2007-03-29,13.14
2007-03-30,13.15
2007-04-02,13.35
2007-04-03,13.31
2007-04-04,13.36
2007-04-05,13.4
2007-04-09,13.35
2007-04-10,13.43
2007-04-11,13.58
2007-04-12,13.46
2007-04-13,13.78
2007-04-16,13.5
2007-04-17,13.6
2007-04-18,13.52
2007-04-19,13.62
2007-04-20,13.37
2007-04-23,13.36
2007-04-24,13.46
2007-04-25,13.46
2007-04-26,13.4
2007-04-27,13.41
2007-04-30,13.56
2007-05-01,13.46
2007-05-02,13.29
2007-05-03,13.39
2007-05-04,13.35
2007-05-07,13.32
2007-05-08,13.49
2007-05-09,13.45
2007-05-10,13.5
2007-05-11,13.33
2007-05-14,13.32
2007-05-15,13.25
2007-05-16,13.17
2007-05-17,13.2
2007-05-18,13.24
2007-05-21,13.4
2007-05-22,13.67
2007-05-23,13.85
2007-05-24,13.76
2007-05-25,13.6
2007-05-29,13.65
2007-05-30,13.68
2007-05-31,13.99
2007-06-01,14.19
2007-06-04,14.4
2007-06-05,14.31
2007-06-06,14.22
2007-06-07,13.9
2007-06-08,13.31
2007-06-11,13.24
2007-06-12,13.35
2007-06-13,13.38
2007-06-14,13.44
2007-06-15,13.47
2007-06-18,13.46
2007-06-19,13.38
2007-06-20,13.62
2007-06-21,13.41
2007-06-22,13.4
2007-06-25,13.4
2007-06-26,13.45
2007-06-27,14.19
2007-06-28,14.54
2007-06-29,14.58
2007-07-02,14.58
2007-07-03,14.61
2007-07-05,14.74
2007-07-06,14.84
2007-07-09,14.92
2007-07-10,14.69
2007-07-11,14.52
2007-07-12,14.6
2007-07-13,14.79
2007-07-16,14.58
2007-07-17,14.7
2007-07-18,14.7
2007-07-19,14.96
2007-07-20,14.84
2007-07-23,14.76
2007-07-24,14.79
2007-07-25,14.59
2007-07-26,14.18
2007-07-27,14.11
2007-07-30,14.08
2007-07-31,14.02
2007-08-01,14.3
2007-08-02,14.31
2007-08-03,14.03
2007-08-06,13.96
2007-08-07,14.26
2007-08-08,14.44
2007-08-09,13.94
2007-08-10,13.25
2007-08-13,14.02
2007-08-14,14.04
2007-08-15,13.58
2007-08-16,13.26
2007-08-17,13.6
2007-08-20,13.62
2007-08-21,13.62
2007-08-22,13.59
2007-08-23,13.62
2007-08-24,13.51
2007-08-27,13.53
2007-08-28,13.47
2007-08-29,13.48
2007-08-30,13.72
2007-08-31,14.07
2007-09-04,14.01
2007-09-05,14.05
2007-09-06,13.82
2007-09-07,13.77
2007-09-10,13.76
2007-09-11,13.79
2007-09-12,13.87
2007-09-13,14.11
2007-09-14,14.14
2007-09-17,14.25
2007-09-18,14.08
2007-09-19,14.83
2007-09-20,14.64
2007-09-21,15.06
2007-09-24,14.44
2007-09-25,14.25
2007-09-26,14.66
2007-09-27,14.58
2007-09-28,14.52
2007-10-01,14.7
2007-10-02,14.82
2007-10-03,14.7
2007-10-04,14.84
2007-10-05,14.84
2007-10-08,15.04
2007-10-09,15.0
2007-10-10,15.36
2007-10-11,15.5
2007-10-12,15.24
2007-10-15,15.75
2007-10-16,15.96
2007-10-17,16.12
2007-10-18,15.64
2007-10-19,15.74
2007-10-22,15.63
2007-10-23,15.98
2007-10-24,15.95
2007-10-25,15.86
2007-10-26,15.87
2007-10-29,16.12
2007-10-30,16.06
2007-10-31,16.39
2007-11-01,16.48
2007-11-02,16.34
2007-11-05,15.5
2007-11-06,15.86
2007-11-07,15.75
2007-11-08,15.71
2007-11-09,15.58
2007-11-12,15.43
2007-11-13,15.75
2007-11-14,16.06
2007-11-15,15.75
2007-11-16,15.9
2007-11-19,15.59
2007-11-20,15.54
2007-11-21,15.33
2007-11-23,15.78
2007-11-26,15.97
2007-11-27,15.6
2007-11-28,16.0
2007-11-29,16.28
2007-11-30,16.25
2007-12-03,16.24
2007-12-04,16.84
2007-12-05,16.61
2007-12-06,16.34
2007-12-07,16.35
2007-12-10,16.35
2007-12-11,16.52
2007-12-12,16.22
2007-12-13,16.0
2007-12-14,16.28
2007-12-17,16.01
2007-12-18,15.89
2007-12-19,16.04
2007-12-20,16.45
2007-12-21,16.66
2007-12-24,16.52
2007-12-26,16.69
2007-12-27,16.45
2007-12-28,16.46
2007-12-31,16.0
2008-01-02,16.08
2008-01-03,15.82
2008-01-04,15.56
2008-01-07,15.5
2008-01-08,15.6
2008-01-09,15.51
2008-01-10,15.48
2008-01-11,15.51
2008-01-14,15.27
2008-01-15,14.97
2008-01-16,14.24
2008-01-17,14.43
2008-01-18,14.11
2008-01-22,12.99
2008-01-23,13.88
2008-01-24,14.4
2008-01-25,14.54
2008-01-28,14.01
2008-01-29,14.39
2008-01-30,14.56
2008-01-31,14.84
2008-02-01,15.41
2008-02-04,15.63
2008-02-05,14.95
2008-02-06,15.08
2008-02-07,14.9
2008-02-08,15.14
2008-02-11,15.18
2008-02-12,15.2
2008-02-13,15.47
2008-02-14,15.72
2008-02-15,15.54
2008-02-19,15.72
2008-02-20,15.18
2008-02-21,14.92
2008-02-22,15.11
2008-02-25,15.18
2008-02-26,15.35
2008-02-27,15.53
2008-02-28,15.5
2008-02-29,15.33
2008-03-03,15.06
2008-03-04,14.91
2008-03-05,15.2
2008-03-06,15.16
2008-03-07,14.75
2008-03-10,14.54
2008-03-11,14.54
2008-03-12,14.5
2008-03-13,14.71
2008-03-14,15.4
2008-03-17,14.6
2008-03-18,15.07
2008-03-19,15.7
2008-03-20,16.18
2008-03-24,16.75
2008-03-25,17.31
2008-03-26,17.04
2008-03-27,16.64
2008-03-28,16.58
2008-03-31,16.44
2008-04-01,17.15
2008-04-02,17.22
2008-04-03,16.86
2008-04-04,17.29
2008-04-07,17.22
2008-04-08,16.56
2008-04-09,16.68
2008-04-10,16.58
2008-04-11,16.68
2008-04-14,16.58
2008-04-15,16.65
2008-04-16,16.54
2008-04-17,16.5
2008-04-18,17.04
2008-04-21,16.87
2008-04-22,17.11
2008-04-23,17.1
2008-04-24,16.95
2008-04-25,17.13
2008-04-28,17.26
2008-04-29,16.96
2008-04-30,17.06
2008-05-01,16.7
2008-05-02,17.15
2008-05-05,16.44
2008-05-06,16.74
2008-05-07,16.94
2008-05-08,16.72
2008-05-09,16.32
2008-05-12,16.29
2008-05-13,16.41
2008-05-14,16.5
2008-05-15,16.97
2008-05-16,17.07
2008-05-19,16.88
2008-05-20,16.8
2008-05-21,16.78
2008-05-22,16.27
2008-05-23,16.22
2008-05-27,16.23
2008-05-28,16.65
2008-05-29,16.85
2008-05-30,17.18
2008-06-02,17.07
2008-06-03,16.88
2008-06-04,16.74
2008-06-05,17.01
2008-06-06,17.34
2008-06-09,16.97
2008-06-10,17.01
2008-06-11,17.13
2008-06-12,16.92
2008-06-13,16.77
2008-06-16,17.21
2008-06-17,17.3
2008-06-18,16.92
2008-06-19,17.01
2008-06-20,16.81
2008-06-23,16.76
2008-06-24,16.77
2008-06-25,16.56
2008-06-26,15.21
2008-06-27,14.93
2008-06-30,15.12
2008-07-01,14.9
2008-07-02,14.83
2008-07-03,14.57
2008-07-07,14.64
2008-07-08,14.1
2008-07-09,14.52
2008-07-10,14.21
2008-07-11,13.78
2008-07-14,14.26
2008-07-15,14.17
2008-07-16,14.4
2008-07-17,14.63
2008-07-18,14.68
2008-07-21,14.32
2008-07-22,14.3
2008-07-23,14.64
2008-07-24,14.84
2008-07-25,14.62
2008-07-28,14.53
2008-07-29,14.28
2008-07-30,14.82
2008-07-31,14.94
2008-08-01,14.6
2008-08-04,14.9
2008-08-05,15.03
2008-08-06,15.37
2008-08-07,15.4
2008-08-08,15.26
2008-08-11,15.76
2008-08-12,15.68
2008-08-13,15.61
2008-08-14,15.42
2008-08-15,15.5
2008-08-18,15.62
2008-08-19,15.3
2008-08-20,15.27
2008-08-21,15.02
2008-08-22,15.24
2008-08-25,15.16
2008-08-26,14.95
2008-08-27,14.78
2008-08-28,14.98
2008-08-29,15.3
2008-09-02,15.39
2008-09-03,15.18
2008-09-04,15.24
2008-09-05,14.85
2008-09-08,15.0
2008-09-09,15.08
2008-09-10,14.97
2008-09-11,14.81
2008-09-12,15.15
2008-09-15,15.11
2008-09-16,14.78
2008-09-17,14.88
2008-09-18,15.06
2008-09-19,16.66
2008-09-22,16.3
2008-09-23,15.85
2008-09-24,15.21
2008-09-25,15.6
2008-09-26,16.04
2008-09-29,16.74
2008-09-30,16.48
2008-10-01,16.55
2008-10-02,16.28
2008-10-03,16.1
2008-10-06,15.5
2008-10-07,15.49
2008-10-08,14.26
2008-10-09,14.02
2008-10-10,12.58
2008-10-13,13.92
2008-10-14,14.52
2008-10-15,14.0
2008-10-16,13.16
2008-10-17,13.66
2008-10-20,14.57
2008-10-21,14.75
2008-10-22,13.88
2008-10-23,13.05
2008-10-24,11.9
2008-10-27,11.8
2008-10-28,11.92
2008-10-29,13.04
2008-10-30,13.63
2008-10-31,13.8
2008-11-03,14.34
2008-11-04,14.22
2008-11-05,14.0
2008-11-06,12.98
2008-11-07,12.66
2008-11-10,12.68
2008-11-11,11.98
2008-11-12,11.28
2008-11-13,11.13
2008-11-14,11.96
2008-11-17,11.51
2008-11-18,11.53
2008-11-19,11.62
2008-11-20,10.82
2008-11-21,11.1
2008-11-24,12.04
2008-11-25,12.82
2008-11-26,12.16
2008-11-28,13.5
2008-12-01,13.07
2008-12-02,12.17
2008-12-03,12.23
2008-12-04,12.79
2008-12-05,12.74
2008-12-08,13.63
2008-12-09,13.82
2008-12-10,12.9
2008-12-11,12.54
2008-12-12,11.92
2008-12-15,12.5
2008-12-16,12.07
2008-12-17,12.18
2008-12-18,12.67
2008-12-19,13.32
2008-12-22,12.82
2008-12-23,12.3
2008-12-24,12.01
2008-12-26,12.32
2008-12-29,12.42
2008-12-30,12.33
2008-12-31,12.45
2009-01-02,12.74
2009-01-05,13.16
2009-01-06,13.45
2009-01-07,12.9
2009-01-08,12.57
2009-01-09,12.86
2009-01-12,12.35
2009-01-13,12.45
2009-01-14,12.06
2009-01-15,11.66
2009-01-16,11.84
2009-01-20,11.53
2009-01-21,11.17
2009-01-22,11.26
2009-01-23,11.19
2009-01-26,11.45
2009-01-27,11.48
2009-01-28,11.58
2009-01-29,11.78
2009-01-30,11.57
2009-02-02,11.14
2009-02-03,11.17
2009-02-04,11.6
2009-02-05,11.44
2009-02-06,11.83
2009-02-09,12.18
2009-02-10,11.82
2009-02-11,11.34
2009-02-12,10.92
2009-02-13,11.06
2009-02-17,10.68
2009-02-18,10.58
2009-02-19,10.98
2009-02-20,10.58
2009-02-23,10.86
2009-02-24,10.41
2009-02-25,10.66
2009-02-26,10.62
2009-02-27,10.06
2009-03-02,10.21
2009-03-03,10.09
2009-03-04,10.18
2009-03-05,10.34
2009-03-06,10.06
2009-03-09,9.84
2009-03-10,9.74
2009-03-11,10.5
2009-03-12,10.86
2009-03-13,11.19
2009-03-16,11.25
2009-03-17,10.96
2009-03-18,11.49
2009-03-19,10.94
2009-03-20,11.74
2009-03-23,11.49
2009-03-24,11.68
2009-03-25,11.53
2009-03-26,11.67
2009-03-27,11.86
2009-03-30,11.5
2009-03-31,11.68
2009-04-01,11.54
2009-04-02,11.9
2009-04-03,12.56
2009-04-06,12.82
2009-04-07,12.59
2009-04-08,12.49
2009-04-09,12.81
2009-04-13,13.18
2009-04-14,13.15
2009-04-15,12.85
2009-04-16,13.05
2009-04-17,13.51
2009-04-20,13.47
2009-04-21,13.08
2009-04-22,13.23
2009-04-23,13.75
2009-04-24,13.68
2009-04-27,13.5
2009-04-28,13.36
2009-04-29,13.9
2009-04-30,13.38
2009-05-01,13.22
2009-05-04,13.23
2009-05-05,13.6
2009-05-06,13.86
2009-05-07,13.83
2009-05-08,13.44
2009-05-11,13.4
2009-05-12,13.12
2009-05-13,12.6
2009-05-14,12.35
2009-05-15,12.52
2009-05-18,12.53
2009-05-19,12.88
2009-05-20,13.08
2009-05-21,12.59
2009-05-22,12.84
2009-05-26,12.99
2009-05-27,13.54
2009-05-28,13.61
2009-05-29,13.82
2009-06-01,14.46
2009-06-02,14.75
2009-06-03,14.35
2009-06-04,14.54
2009-06-05,14.65
2009-06-08,14.53
2009-06-09,14.5
2009-06-10,14.72
2009-06-11,14.29
2009-06-12,14.1
2009-06-15,14.1
2009-06-16,13.99
2009-06-17,13.79
2009-06-18,13.8
2009-06-19,14.21
2009-06-22,14.05
2009-06-23,13.8
2009-06-24,13.49
2009-06-25,12.66
2009-06-26,12.68
2009-06-29,12.79
2009-06-30,12.96
2009-07-01,13.04
2009-07-02,12.94
2009-07-06,12.68
2009-07-07,12.92
2009-07-08,12.75
2009-07-09,12.96
2009-07-10,12.67
2009-07-13,12.86
2009-07-14,12.87
2009-07-15,13.09
2009-07-16,13.2
2009-07-17,13.29
2009-07-20,13.15
2009-07-21,13.36
2009-07-22,13.0
2009-07-23,12.88
2009-07-24,12.78
2009-07-27,13.05
2009-07-28,13.0
2009-07-29,13.12
2009-07-30,13.73
2009-07-31,13.92
2009-08-03,14.24
2009-08-04,14.12
2009-08-05,14.38
2009-08-06,14.31
2009-08-07,14.49
2009-08-10,14.47
2009-08-11,14.23
2009-08-12,14.15
2009-08-13,14.34
2009-08-14,14.42
2009-08-17,14.02
2009-08-18,13.88
2009-08-19,13.77
2009-08-20,14.2
2009-08-21,14.0
2009-08-24,13.92
2009-08-25,14.07
2009-08-26,13.82
2009-08-27,13.88
2009-08-28,14.26
2009-08-31,13.98
2009-09-01,13.73
2009-09-02,13.53
2009-09-03,13.37
2009-09-04,13.47
2009-09-08,13.66
2009-09-09,13.73
2009-09-10,13.84
2009-09-11,13.89
2009-09-14,13.62
2009-09-15,13.69
2009-09-16,13.69
2009-09-17,14.25
2009-09-18,14.56
2009-09-21,14.51
2009-09-22,14.74
2009-09-23,14.7
2009-09-24,14.58
2009-09-25,14.58
2009-09-28,14.68
2009-09-29,14.81
2009-09-30,16.0
2009-10-01,16.0
2009-10-02,15.38
2009-10-05,15.47
2009-10-06,15.73
2009-10-07,15.74
2009-10-08,15.93
2009-10-09,16.03
2009-10-12,15.96
2009-10-13,15.82
2009-10-14,16.02
2009-10-15,16.18
2009-10-16,16.08
2009-10-19,16.26
2009-10-20,16.38
2009-10-21,16.28
2009-10-22,16.2
2009-10-23,16.26
2009-10-26,16.02
2009-10-27,15.91
2009-10-28,15.91
2009-10-29,15.75
2009-10-30,15.84
2009-11-02,15.58
2009-11-03,15.56
2009-11-04,15.7
2009-11-05,15.87
2009-11-06,16.16
2009-11-09,16.12
2009-11-10,16.34
2009-11-11,16.15
2009-11-12,16.24
2009-11-13,16.07
2009-11-16,16.16
2009-11-17,16.47
2009-11-18,16.2
2009-11-19,15.98
2009-11-20,15.84
2009-11-23,16.2
2009-11-24,16.17
2009-11-25,16.13
2009-11-27,16.13
2009-11-30,16.2
2009-12-01,16.32
2009-12-02,16.13
2009-12-03,16.32
2009-12-04,16.32
2009-12-07,16.08
2009-12-08,16.0
2009-12-09,15.88
2009-12-10,15.6
2009-12-11,15.79
2009-12-14,16.0
2009-12-15,15.98
2009-12-16,16.17
2009-12-17,15.89
2009-12-18,16.1
2009-12-21,16.13
2009-12-22,16.22
2009-12-23,16.27
2009-12-24,16.36
2009-12-28,16.31
2009-12-29,16.38
2009-12-30,16.46
2009-12-31,16.55
2010-01-04,16.52
2010-01-05,16.28
2010-01-06,16.35
2010-01-07,16.28
2010-01-08,16.45
2010-01-11,16.48
2010-01-12,16.15
2010-01-13,16.28
2010-01-14,16.37
2010-01-15,16.2
2010-01-19,16.05
2010-01-20,16.05
2010-01-21,16.08
2010-01-22,15.88
2010-01-25,15.84
2010-01-26,15.83
2010-01-27,15.92
2010-01-28,16.06
2010-01-29,15.91
2010-02-01,15.99
2010-02-02,16.07
2010-02-03,15.92
2010-02-04,15.88
2010-02-05,15.5
2010-02-08,15.4
2010-02-09,15.44
2010-02-10,15.63
2010-02-11,15.61
2010-02-12,15.63
2010-02-16,15.7
2010-02-17,15.97
2010-02-18,16.12
2010-02-19,16.04
2010-02-22,16.14
2010-02-23,16.08
2010-02-24,16.0
2010-02-25,16.25
2010-02-26,16.56
2010-03-01,16.98
2010-03-02,17.02
2010-03-03,16.92
2010-03-04,17.0
2010-03-05,16.96
2010-03-08,16.99
2010-03-09,17.19
2010-03-10,17.23
2010-03-11,17.28
2010-03-12,17.36
2010-03-15,17.44
2010-03-16,17.58
2010-03-17,17.6
2010-03-18,18.34
2010-03-19,18.56
2010-03-22,18.22
2010-03-23,18.6
2010-03-24,18.59
2010-03-25,18.54
2010-03-26,18.45
2010-03-29,18.54
2010-03-30,18.5
2010-03-31,18.37
2010-04-01,18.49
2010-04-05,18.55
2010-04-06,18.38
2010-04-07,18.49
2010-04-08,18.36
2010-04-09,18.54
2010-04-12,18.82
2010-04-13,18.86
2010-04-14,18.9
2010-04-15,18.89
2010-04-16,18.9
2010-04-19,18.74
2010-04-20,19.0
2010-04-21,19.1
2010-04-22,19.07
2010-04-23,19.46
2010-04-26,19.48
2010-04-27,19.42
2010-04-28,19.24
2010-04-29,19.28
2010-04-30,19.36
2010-05-03,19.0
2010-05-04,19.5
2010-05-05,19.22
2010-05-06,18.64
2010-05-07,17.84
2010-05-10,18.47
2010-05-11,18.95
2010-05-12,19.18
2010-05-13,19.41
2010-05-14,18.66
2010-05-17,18.43
2010-05-18,18.54
2010-05-19,18.14
2010-05-20,17.63
2010-05-21,17.28
2010-05-24,17.79
2010-05-25,17.52
2010-05-26,18.38
2010-05-27,18.32
2010-05-28,18.4
2010-06-01,17.86
2010-06-02,17.83
2010-06-03,18.3
2010-06-04,18.09
2010-06-07,17.64
2010-06-08,17.4
2010-06-09,17.63
2010-06-10,17.8
2010-06-11,17.82
2010-06-14,18.12
2010-06-15,18.07
2010-06-16,18.34
2010-06-17,18.6
2010-06-18,18.7
2010-06-21,18.87
2010-06-22,18.61
2010-06-23,18.16
2010-06-24,17.5
2010-06-25,17.46
2010-06-28,17.62
2010-06-29,17.41
2010-06-30,16.98
2010-07-01,16.97
2010-07-02,17.05
2010-07-06,17.05
2010-07-07,16.87
2010-07-08,17.31
2010-07-09,17.54
2010-07-12,17.49
2010-07-13,17.6
2010-07-14,17.54
2010-07-15,17.58
2010-07-16,17.59
2010-07-19,17.28
2010-07-20,16.98
2010-07-21,17.53
2010-07-22,17.6
2010-07-23,17.88
2010-07-26,18.18
2010-07-27,18.42
2010-07-28,18.41
2010-07-29,18.41
2010-07-30,18.25
2010-08-02,18.6
2010-08-03,18.55
2010-08-04,18.3
2010-08-05,18.36
2010-08-06,18.36
2010-08-09,18.54
2010-08-10,18.36
2010-08-11,18.19
2010-08-12,17.75
2010-08-13,17.85
2010-08-16,17.53
2010-08-17,17.94
2010-08-18,17.92
2010-08-19,17.95
2010-08-20,17.68
2010-08-23,17.91
2010-08-24,17.51
2010-08-25,17.36
2010-08-26,17.66
2010-08-27,17.68
2010-08-30,17.68
2010-08-31,17.5
2010-09-01,17.78
2010-09-02,18.02
2010-09-03,18.44
2010-09-07,18.44
2010-09-08,18.56
2010-09-09,18.71
2010-09-10,18.54
2010-09-13,18.6
2010-09-14,18.62
2010-09-15,18.79
2010-09-16,19.08
2010-09-17,19.23
2010-09-20,19.32
2010-09-21,19.48
2010-09-22,19.37
2010-09-23,19.22
2010-09-24,20.34
2010-09-27,19.86
2010-09-28,19.77
2010-09-29,20.07
2010-09-30,20.0
2010-10-01,20.24
2010-10-04,19.98
2010-10-05,20.15
2010-10-06,20.26
2010-10-07,20.32
2010-10-08,20.24
2010-10-11,20.4
2010-10-12,20.75
2010-10-13,20.6
2010-10-14,20.43
2010-10-15,20.56
2010-10-18,20.5
2010-10-19,20.12
2010-10-20,20.26
2010-10-21,20.4
2010-10-22,20.53
2010-10-25,20.64
2010-10-26,20.41
2010-10-27,20.31
2010-10-28,20.33
2010-10-29,20.24
2010-11-01,20.47
2010-11-02,20.45
2010-11-03,20.43
2010-11-04,20.68
2010-11-05,20.81
2010-11-08,20.92
2010-11-09,20.91
2010-11-10,20.78
2010-11-11,20.84
2010-11-12,20.8
2010-11-15,20.73
2010-11-16,20.4
2010-11-17,20.2
2010-11-18,20.54
2010-11-19,20.72
2010-11-22,21.27
2010-11-23,21.26
2010-11-24,21.36
2010-11-26,21.58
2010-11-29,21.35
2010-11-30,21.12
2010-12-01,21.87
2010-12-02,21.96
2010-12-03,21.88
2010-12-06,21.88
2010-12-07,22.1
2010-12-08,21.86
2010-12-09,22.04
2010-12-10,21.94
2010-12-13,22.41
2010-12-14,22.24
2010-12-15,22.32
2010-12-16,22.14
2010-12-17,22.34
2010-12-20,22.63
2010-12-21,22.75
2010-12-22,21.75
2010-12-23,21.73
2010-12-27,21.5
2010-12-28,21.56
2010-12-29,21.64
2010-12-30,21.32
2010-12-31,21.35
2011-01-03,21.46
2011-01-04,21.4
2011-01-05,20.91
2011-01-06,21.11
2011-01-07,20.92
2011-01-10,20.81
2011-01-11,21.05
2011-01-12,21.1
2011-01-13,20.96
2011-01-14,20.66
2011-01-18,21.1
